,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,64.0099338931,62.9014190695,63.9621958425,1.02197845787,1.66832437374,0.892791074408
autos,91.4076413137,91.8941439191,91.2845352531,5.19167372482,4.79062001321,4.85188608647
balance-scale,90.8234548475,90.8413822387,90.7597130119,2.10287380614,2.01860313186,2.10523619541
car,98.964007259,98.9409866918,98.9698548192,0.619312937654,0.625938768786,0.624792131177
cleveland,81.7315799727,82.0671731931,82.1700564972,5.14053922004,5.19147242576,5.24457488369
credit-approval,87.9637733768,88.2242619975,87.9938415274,2.70442768891,2.67741301093,2.65761379366
dermatology,99.9166237666,100.0,99.8888459888,0.333454379354,0.0,0.380848429407
diabetes,76.7185298362,76.7577455225,76.8350734233,3.10347140966,2.71526756388,2.88873653303
ecoli,96.1769442452,96.2928735501,96.1729777596,2.46077551682,2.43548796615,2.5816653936
flare,81.7852628822,81.4678165379,81.6992330876,1.22167306567,1.24376680127,1.08644794004
german,76.56,76.43,76.65,1.98113552267,1.92992016331,1.98013089652
glass,82.8890633914,83.4416356254,82.7940920836,5.16289799953,5.28255213437,5.6921606859
heart-statlog,82.6296296296,82.8148148148,82.8888888889,5.08721285282,4.9214882346,4.49828810727
hepatitis,83.6474462366,83.2497311828,83.7141129032,5.49936080842,4.84257526845,5.46912846285
horse,86.2056960267,86.13902936,86.2396128554,3.5123041035,3.75080370417,3.5059718581
ionosphere,93.1955734406,93.1959758551,92.9674044266,2.70455643044,2.48143659983,2.70632325797
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,98.7583926562,98.7179401219,98.7195436512,0.328156144613,0.299204689754,0.310627732988
letter,99.9402854044,99.8720050831,99.9397143826,0.0317041602815,0.0476657633275,0.0312562169535
libras-movement,97.2066666667,94.9133333333,97.1,1.79048885507,1.33301016492,1.77951304201
lung-cancer,100.0,97.2789473684,100.0,0.0,2.84753529097,0.0
mfeat-karhunen,99.255,97.72,99.255,0.358888590524,0.680710912898,0.355316760089
mfeat-morphological,99.82,99.85,99.8,0.20849313599,0.195615199109,0.214285714286
mfeat-zernike,99.025,98.775,99.05,0.469068769163,0.505707223518,0.448921610356
mushroom,100.0,100.0,100.0,0.0,0.0,0.0
optdigits,99.2117488169,98.6548498699,99.2135535761,0.265365699778,0.272760938687,0.269123731313
page-blocks,97.5424950292,97.5497458885,97.5187824738,0.46991666406,0.452650974488,0.441812384507
pendigits,99.549665015,99.5487559294,99.54966212,0.119574974371,0.121878783327,0.122707850649
scene-classification,85.3924744007,83.9716683488,85.3632991074,1.26072238716,1.04275572489,1.34348520188
segment,99.6883116883,99.7272727273,99.6883116883,0.244103331552,0.234718116442,0.240154456882
shuttle,99.9983250843,99.997832488,99.9979309956,0.00440710984157,0.00457799294216,0.00457042406733
sonar,81.001593604,80.273316587,80.8064716528,6.2233876546,6.46808491364,6.21896703888
spambase,94.9533777805,95.0012133757,94.9121182799,0.645243976356,0.699060723751,0.669652474188
tic-tac,95.7288038367,92.4213868468,95.74996383,1.5366252169,1.75990327739,1.50791054736
vehicle,98.5583217158,98.5935470046,98.5702977637,0.763994295858,0.789685907,0.799610165461
vowel,98.6666666667,97.6060606061,98.6666666667,1.00886339353,0.894253503112,0.98272530124
waveform-5000,89.1157532138,89.0177331137,89.0877811738,0.923378211026,0.872601694728,0.952734539422
wdbc,95.6563293574,95.7625240477,95.7963832243,2.02667763232,1.98091435085,2.1029344207
wpbc,77.063562753,77.8398110661,76.3941295547,2.21204350093,3.36647766607,1.48338013556
yeast,75.8587434324,75.9122125905,75.9125730711,2.01336129996,2.00155345392,1.91711842932
zoo,99.4215083162,100.0,99.3215083162,1.83308902178,0.0,1.93446525802
