,mean,mean,mean,mean,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,62.9587839509,63.9621958425,63.7801337579,63.7274531775,1.64739238867,0.892791074408,0.573700806728,1.16760180512
autos,91.0860640611,91.2845352531,91.37789986,91.6642028973,5.12517453269,4.85188608647,5.03030971835,5.14696570646
balance-scale,90.8717233025,90.7597130119,90.9691281705,90.6153072821,2.00342864281,2.10523619541,2.02829225922,2.17463422093
car,98.888795537,98.9698548192,98.9408522651,98.9466662186,0.600075493397,0.624792131177,0.642650079969,0.595803913513
cleveland,82.1712059225,82.1700564972,81.732729398,82.102805377,5.01461022225,5.24457488369,5.3876214228,5.09325748566
credit-approval,88.1482731009,87.9938415274,87.6253189559,88.0554992082,2.69724892616,2.65761379366,2.64192046145,2.66889004128
dermatology,99.9714285714,99.8888459888,99.9166237666,99.8888459888,0.20203050891,0.380848429407,0.333454379354,0.380848429407
diabetes,76.7052032934,76.8350734233,76.209574739,76.7571513454,2.74370434524,2.88873653303,3.04812736177,2.8297061699
ecoli,96.2339840511,96.1729777596,96.0855562297,96.2037070474,2.48105462102,2.5816653936,2.56756137736,2.39971927085
flare,81.6625386689,81.6992330876,82.0074287382,81.2157417631,1.30412582484,1.08644794004,1.14358857817,1.38311668513
german,76.52,76.65,76.22,76.67,1.99734517675,1.98013089652,1.9773203884,1.96294759617
glass,83.1255964965,82.7940920836,82.4718195241,83.2176566328,5.21058859726,5.6921606859,5.70794611055,5.44777991957
heart-statlog,83.0740740741,82.8888888889,82.3703703704,82.6666666667,5.3829315917,4.49828810727,4.85274898954,5.04396837579
hepatitis,84.0994623656,83.7141129032,83.3081989247,84.0974462366,5.41173921836,5.46912846285,5.19076196533,5.64991571507
horse,86.3368435677,86.2396128554,85.5711957025,86.141233676,3.73877097943,3.5059718581,3.69850322018,3.65015699149
ionosphere,93.3661971831,92.9674044266,92.9384305835,93.0816901408,2.33559377749,2.70632325797,2.68722327359,2.75928894516
iris,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
landsat-satellite,98.717932879,98.7195436512,98.7397360755,98.7210989042,0.29671739696,0.310627732988,0.332171949787,0.300582607723
letter,99.8534372269,99.9397143826,99.9354290728,99.9397138527,0.052388363525,0.0312562169535,0.0319054263136,0.0315228056082
libras-movement,95.2466666667,97.1,97.0266666667,97.1266666667,1.38801151426,1.77951304201,1.72987619653,1.68881877167
lung-cancer,97.0684210526,100.0,100.0,100.0,3.20719219033,0.0,0.0,0.0
mfeat-karhunen,97.685,99.255,99.245,99.24,0.719286068946,0.355316760089,0.372833879953,0.403934729017
mfeat-morphological,99.85,99.8,99.815,99.79,0.195615199109,0.214285714286,0.213151761591,0.222233559801
mfeat-zernike,98.77,99.05,98.99,99.055,0.531747216298,0.448921610356,0.451640998844,0.45257201479
mushroom,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
optdigits,98.6584307547,99.2135535761,99.1833390736,99.2117424844,0.263112908665,0.269123731313,0.252573740989,0.266656273796
page-blocks,97.5808045225,97.5187824738,97.6064354574,97.5296544818,0.43524840162,0.441812384507,0.462274729771,0.4549850877
pendigits,99.550576592,99.54966212,99.5405720479,99.5505799038,0.126889089742,0.122707850649,0.125756760706,0.118629409164
scene-classification,83.9923980556,85.3632991074,85.2217624862,85.3964682125,1.07335683147,1.34348520188,1.36293922249,1.32648493401
segment,99.7012987013,99.6883116883,99.6883116883,99.6926406926,0.258300630927,0.240154456882,0.259298148339,0.243828992006
shuttle,99.9975369167,99.9979309956,99.9982265913,99.9985221723,0.00469442676983,0.00457042406733,0.00442391144609,0.0042515037798
sonar,79.9897090997,80.8064716528,80.8085784512,80.8064716528,6.40542827783,6.21896703888,6.50459336403,6.23845820901
spambase,94.8969126854,94.9121182799,95.0163717112,95.0403674863,0.704731837919,0.669652474188,0.64950928598,0.633709031372
tic-tac,91.9621212892,95.74996383,95.781104755,95.6767744758,1.77761347211,1.50791054736,1.503133499,1.54132324055
vehicle,98.6053813241,98.5702977637,98.570224006,98.5580415743,0.806615147844,0.799610165461,0.861614150704,0.80108827532
vowel,97.4646464646,98.6666666667,98.7676767677,98.6464646465,0.862729038373,0.98272530124,0.952599563873,0.959568835125
waveform-5000,89.0497331497,89.0877811738,89.0797911798,89.0737631718,0.851852540305,0.952734539422,0.885241823768,0.924265426609
wdbc,95.7094267026,95.7963832243,95.6560215467,95.8323970758,1.96563798667,2.1029344207,1.92973232867,1.97343928101
wpbc,77.7885290148,76.3941295547,78.3608636977,76.8570850202,3.11144404129,1.48338013556,4.68612178873,2.10794983544
yeast,75.9587810519,75.9125730711,75.6580796108,76.0271920078,2.05009092524,1.91711842932,1.96714232208,1.91324184808
zoo,99.8947368421,99.3215083162,99.4224424698,99.7994987469,0.744322927565,1.93446525802,1.58240313218,0.993514996456
