,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.213358867501,0.213774858099,0.213564721628,0.00310282135432,0.00372169063541,0.00268007863036
autos,0.0712539787279,0.0703744208169,0.072248542741,0.0272652704575,0.0249438573447,0.0263667456359
balance-scale,0.0587359562865,0.0588955881253,0.058827077636,0.00808562512101,0.00795028468145,0.0079768725199
car,0.00915564076407,0.00931524924891,0.00920177071543,0.00327897455486,0.00330598427861,0.00321704720347
cleveland,0.125724820901,0.125152628902,0.125535520134,0.0250425177762,0.0248573296383,0.0244862044472
credit-approval,0.0925735304676,0.0926281344268,0.0947139726542,0.0161634342806,0.0156351178465,0.0147102997309
dermatology,0.00105127980888,0.000746856949078,0.00108484850472,0.00155856699822,0.000978184170076,0.00159537699383
diabetes,0.159743935271,0.159677821072,0.159636918104,0.0116499181501,0.011352534207,0.0111513644992
ecoli,0.0339569658566,0.0333179614915,0.0351564432871,0.019636320429,0.0189879921782,0.0181888652222
flare,0.134068476503,0.134205099534,0.138969546299,0.00767792258687,0.0080173547469,0.0070638227944
german,0.160849610537,0.160926182963,0.160941913315,0.0084210607794,0.00833633533066,0.00831561871181
glass,0.123862021764,0.12500073638,0.12436390092,0.0281843388546,0.028141523291,0.0275658875841
heart-statlog,0.124349331727,0.124430797771,0.125154063931,0.0256072924262,0.0256443093535,0.0235654886923
hepatitis,0.112949872082,0.114048497151,0.112447677931,0.027776900066,0.0239628139955,0.0278759776801
horse,0.101279673455,0.101288039642,0.103323455426,0.0209990310491,0.0213357345984,0.0198722976884
ionosphere,0.0513211296863,0.0510463444011,0.0533040699583,0.0162241249793,0.015753737252,0.0156169845069
iris,0.000221339869007,1.65057258518e-05,1.21548215118e-05,0.000592012406017,8.27345259436e-05,8.16548246153e-05
landsat-satellite,0.0086565197938,0.00896685965668,0.00870658852616,0.00191121017475,0.0017939351451,0.0017984089038
letter,0.000612654950321,0.00120428307171,0.000617840281813,0.000221994519462,0.000334117382226,0.000219583118229
libras-movement,0.025869847442,0.0344771883584,0.0266212745381,0.0119007540122,0.00843721293105,0.0115579830402
lung-cancer,0.000451663305552,0.0179917733784,0.000332156290605,0.00125752325232,0.0144625742479,0.000985860481962
mfeat-karhunen,0.00565804548807,0.016801327792,0.00567233718985,0.00264571229778,0.00418787846223,0.00259326472857
mfeat-morphological,0.00174076923209,0.00160044640012,0.00258777734216,0.00193025088953,0.00192610193124,0.0017645735022
mfeat-zernike,0.00779961816784,0.00920543792003,0.00803932333337,0.00310648937932,0.00368111802032,0.00297076730989
mushroom,1.15632028566e-05,1.54976390768e-05,1.25541618038e-05,1.78009846592e-05,2.86268974838e-05,1.91176832182e-05
optdigits,0.00631472354849,0.0103494478093,0.00631293962255,0.00176314809125,0.00206254047335,0.00174201001614
page-blocks,0.0194595574622,0.0197303712485,0.0205728652793,0.00250780357225,0.00240725954037,0.00226377721894
pendigits,0.0035062372179,0.00348434842972,0.00360309871665,0.000842186946945,0.000833896447764,0.00079711830032
scene-classification,0.10633046109,0.112159659704,0.107126395229,0.00675603778921,0.00558060762314,0.00631328288673
segment,0.00240500677518,0.0024279657711,0.00242742075928,0.00163067112515,0.00160900766498,0.00164543440761
shuttle,3.06163378123e-05,3.11107497066e-05,3.4625541492e-05,2.9723832903e-05,3.15777801393e-05,3.09490997352e-05
sonar,0.121173713107,0.124281282433,0.121493527081,0.0285268404489,0.0274234366798,0.0283341492591
spambase,0.038432391392,0.0380265294397,0.0393100872943,0.00449470603578,0.00437765675778,0.00396143922641
tic-tac,0.033167121376,0.0513736389741,0.0332594241863,0.00855229719014,0.0101983507271,0.00848693403166
vehicle,0.0120462208531,0.0121120844283,0.0121303985899,0.0049787224325,0.00516382687592,0.00483484580189
vowel,0.00992582716514,0.0169549612445,0.00997908549147,0.00489100946405,0.0054986366743,0.00473905120701
waveform-5000,0.0753859620393,0.0760320549375,0.0754625813985,0.00504510181507,0.00494528691931,0.00503973291826
wdbc,0.0305552736534,0.0307713236028,0.032496789217,0.012747269151,0.0123707349217,0.011387113462
wpbc,0.172758447878,0.171188419537,0.175800384633,0.0136833300338,0.0161493203103,0.0117349157243
yeast,0.160661178735,0.160684720843,0.160785990593,0.00787307504439,0.00805498540117,0.00764384029615
zoo,0.00451056453326,0.00177003196089,0.00438137976245,0.00641898418925,0.00347327075132,0.00643535130073
