,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_ab,isotonic,sigmoid,None,beta,beta_ab,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.214307155562,0.213358867501,0.213774858099,0.21211711646,0.214062009817,0.00493004896656,0.00310282135432,0.00372169063541,0.00295985186377,0.00316699467003
autos,0.085155353839,0.0712539787279,0.0703744208169,0.0707502813446,0.0707614902612,0.0191462069587,0.0272652704575,0.0249438573447,0.027184993602,0.0274058696911
balance-scale,0.0628477618257,0.0587359562865,0.0588955881253,0.0591656922802,0.0586860884475,0.00695981809625,0.00808562512101,0.00795028468145,0.00869412122428,0.00869707419109
car,0.0221458045063,0.00915564076407,0.00931524924891,0.00947171673201,0.00909873448908,0.00245568266287,0.00327897455486,0.00330598427861,0.00352109209514,0.00325757131926
cleveland,0.127151748646,0.125724820901,0.125152628902,0.126785670113,0.124939953111,0.0207909884831,0.0250425177762,0.0248573296383,0.029269909546,0.0265157590552
credit-approval,0.0958788649658,0.0925735304676,0.0926281344268,0.0928997744703,0.0905775587832,0.0140111679704,0.0161634342806,0.0156351178465,0.0176768897961,0.0169282968621
dermatology,0.00545695646837,0.00105127980888,0.000746856949078,0.00125355933552,0.000858338120836,0.00201005265189,0.00155856699822,0.000978184170076,0.00146697245752,0.0015109959154
diabetes,0.158918940761,0.159743935271,0.159677821072,0.161650910539,0.159693044105,0.0116063806468,0.0116499181501,0.011352534207,0.0126331907461,0.0125279628446
ecoli,0.0353288130405,0.0339569658566,0.0333179614915,0.0341111999966,0.0331836607654,0.0155356871554,0.019636320429,0.0189879921782,0.0199599672697,0.020090933766
flare,0.133756350614,0.134068476503,0.134205099534,0.134492590496,0.134431111768,0.00861828483931,0.00767792258687,0.0080173547469,0.00804440747112,0.00850130951679
german,0.161828466667,0.160849610537,0.160926182963,0.161847954585,0.1604034932,0.00776398035729,0.0084210607794,0.00833633533066,0.00939140310113,0.00881235258395
glass,0.127636381228,0.123862021764,0.12500073638,0.126164171605,0.124135224518,0.0240541563982,0.0281843388546,0.028141523291,0.0324617031754,0.0292408414136
heart-statlog,0.126751604938,0.124349331727,0.124430797771,0.12712621989,0.124116042123,0.0212669579751,0.0256072924262,0.0256443093535,0.0277987604341,0.0265496450987
hepatitis,0.1098562365,0.112949872082,0.114048497151,0.115897461998,0.113116174509,0.0252019524087,0.027776900066,0.0239628139955,0.0319393837289,0.0304869995617
horse,0.106055800337,0.101279673455,0.101288039642,0.104144039371,0.101099751979,0.0172656551344,0.0209990310491,0.0213357345984,0.0236739050978,0.0220419035224
ionosphere,0.0557338739996,0.0513211296863,0.0510463444011,0.0513083130251,0.0520708143451,0.0125410138896,0.0162241249793,0.015753737252,0.01673938913,0.0170379595798
iris,0.0001956,0.000221339869007,1.65057258518e-05,2.20876898523e-05,3.40202902358e-10,0.000293218134384,0.000592012406017,8.27345259436e-05,5.09633325649e-05,6.42562299816e-10
landsat-satellite,0.0107455288986,0.0086565197938,0.00896685965668,0.00872364424942,0.00897935490804,0.00142060709219,0.00191121017475,0.0017939351451,0.00187516763201,0.00200513723694
letter,0.00176368832578,0.000612654950321,0.00120428307171,0.000607148755619,0.000611867440251,0.000259591307904,0.000221994519462,0.000334117382226,0.000238472697053,0.000241239981494
libras-movement,0.0332807807407,0.025869847442,0.0344771883584,0.0264790756933,0.025785578955,0.00801855955983,0.0119007540122,0.00843721293105,0.0122417028741,0.0125222115105
lung-cancer,0.0246408929825,0.000451663305552,0.0179917733784,0.00220013515365,0.000533952244076,0.00640420821026,0.00125752325232,0.0144625742479,0.00270554006876,0.00134678257311
mfeat-karhunen,0.020906065,0.00565804548807,0.016801327792,0.00584639323536,0.00564089347412,0.00244384583316,0.00264571229778,0.00418787846223,0.00276757792258,0.00270734402347
mfeat-morphological,0.00201001666667,0.00174076923209,0.00160044640012,0.00176124710166,0.00185595668196,0.00187710499271,0.00193025088953,0.00192610193124,0.00196416414792,0.00197789701848
mfeat-zernike,0.0111154805556,0.00779961816784,0.00920543792003,0.00803530372099,0.00776404791762,0.00281484281184,0.00310648937932,0.00368111802032,0.00332375661369,0.00323775792616
mushroom,3.58326133588e-05,1.15632028566e-05,1.54976390768e-05,1.78157456107e-06,8.88508771548e-09,4.00069510729e-05,1.78009846592e-05,2.86268974838e-05,6.1105863821e-06,3.4850624081e-08
optdigits,0.0129212709968,0.00631472354849,0.0103494478093,0.00644592954458,0.00637176501837,0.00151818851792,0.00176314809125,0.00206254047335,0.00176704423668,0.00186621602215
page-blocks,0.0185459100816,0.0194595574622,0.0197303712485,0.0183786444426,0.0189175337168,0.0027014844228,0.00250780357225,0.00240725954037,0.00297674618664,0.0032646388596
pendigits,0.00531890162716,0.0035062372179,0.00348434842972,0.00358175218569,0.00346227554821,0.000664813599213,0.000842186946945,0.000833896447764,0.000900421203328,0.000868676957688
scene-classification,0.116621468317,0.10633046109,0.112159659704,0.10721650547,0.106086177699,0.00445872771315,0.00675603778921,0.00558060762314,0.0072229701797,0.0069865559411
segment,0.00323468253968,0.00240500677518,0.0024279657711,0.00250466775817,0.00240103359544,0.00146395382114,0.00163067112515,0.00160900766498,0.0016722576336,0.00175682938477
shuttle,4.08981068378e-05,3.06163378123e-05,3.11107497066e-05,1.64037270837e-05,1.57526700177e-05,3.07430333971e-05,2.9723832903e-05,3.15777801393e-05,3.77046388479e-05,3.76789172052e-05
sonar,0.142170937315,0.121173713107,0.124281282433,0.123879685599,0.121877930531,0.0151484132163,0.0285268404489,0.0274234366798,0.0277207391341,0.0291390797896
spambase,0.0423589126021,0.038432391392,0.0380265294397,0.0376036365171,0.0373720750487,0.00355527182783,0.00449470603578,0.00437765675778,0.00453989904958,0.00467434263353
tic-tac,0.0757996323291,0.033167121376,0.0513736389741,0.0335102840057,0.0332405364217,0.00608186752236,0.00855229719014,0.0101983507271,0.00860908523291,0.00860491602081
vehicle,0.019981890407,0.0120462208531,0.0121120844283,0.0124050899599,0.0119204760137,0.00356676138509,0.0049787224325,0.00516382687592,0.00548508444073,0.0051272601476
vowel,0.0194462109989,0.00992582716514,0.0169549612445,0.0101369574122,0.00979999867002,0.00396208883768,0.00489100946405,0.0054986366743,0.00533843106405,0.0050506430004
waveform-5000,0.0885073266267,0.0753859620393,0.0760320549375,0.0759293004013,0.0754302145628,0.00340308307171,0.00504510181507,0.00494528691931,0.00491363470543,0.00530837248395
wdbc,0.0332920097302,0.0305552736534,0.0307713236028,0.0307480414213,0.0308624927859,0.0101052838177,0.012747269151,0.0123707349217,0.0128991594152,0.0137417735319
wpbc,0.17304858442,0.172758447878,0.171188419537,0.169574755846,0.174009786839,0.0165548943241,0.0136833300338,0.0161493203103,0.0218901385793,0.0126761241892
yeast,0.160025881461,0.160661178735,0.160684720843,0.161564473982,0.16105514027,0.00824131282295,0.00787307504439,0.00805498540117,0.00824182508286,0.00853586725836
zoo,0.00580440929765,0.00451056453326,0.00177003196089,0.0042931736181,0.00270119035541,0.00570016267724,0.00641898418925,0.00347327075132,0.00592418864972,0.00440891213188
