,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.214307155562,0.213564721628,0.21211711646,0.214062009817,0.00493004896656,0.00268007863036,0.00295985186377,0.00316699467003
autos,0.085155353839,0.072248542741,0.0707502813446,0.0707614902612,0.0191462069587,0.0263667456359,0.027184993602,0.0274058696911
balance-scale,0.0628477618257,0.058827077636,0.0591656922802,0.0586860884475,0.00695981809625,0.0079768725199,0.00869412122428,0.00869707419109
car,0.0221458045063,0.00920177071543,0.00947171673201,0.00909873448908,0.00245568266287,0.00321704720347,0.00352109209514,0.00325757131926
cleveland,0.127151748646,0.125535520134,0.126785670113,0.124939953111,0.0207909884831,0.0244862044472,0.029269909546,0.0265157590552
credit-approval,0.0958788649658,0.0947139726542,0.0928997744703,0.0905775587832,0.0140111679704,0.0147102997309,0.0176768897961,0.0169282968621
dermatology,0.00545695646837,0.00108484850472,0.00125355933552,0.000858338120836,0.00201005265189,0.00159537699383,0.00146697245752,0.0015109959154
diabetes,0.158918940761,0.159636918104,0.161650910539,0.159693044105,0.0116063806468,0.0111513644992,0.0126331907461,0.0125279628446
ecoli,0.0353288130405,0.0351564432871,0.0341111999966,0.0331836607654,0.0155356871554,0.0181888652222,0.0199599672697,0.020090933766
flare,0.133756350614,0.138969546299,0.134492590496,0.134431111768,0.00861828483931,0.0070638227944,0.00804440747112,0.00850130951679
german,0.161828466667,0.160941913315,0.161847954585,0.1604034932,0.00776398035729,0.00831561871181,0.00939140310113,0.00881235258395
glass,0.127636381228,0.12436390092,0.126164171605,0.124135224518,0.0240541563982,0.0275658875841,0.0324617031754,0.0292408414136
heart-statlog,0.126751604938,0.125154063931,0.12712621989,0.124116042123,0.0212669579751,0.0235654886923,0.0277987604341,0.0265496450987
hepatitis,0.1098562365,0.112447677931,0.115897461998,0.113116174509,0.0252019524087,0.0278759776801,0.0319393837289,0.0304869995617
horse,0.106055800337,0.103323455426,0.104144039371,0.101099751979,0.0172656551344,0.0198722976884,0.0236739050978,0.0220419035224
ionosphere,0.0557338739996,0.0533040699583,0.0513083130251,0.0520708143451,0.0125410138896,0.0156169845069,0.01673938913,0.0170379595798
iris,0.0001956,1.21548215118e-05,2.20876898523e-05,3.40202902358e-10,0.000293218134384,8.16548246153e-05,5.09633325649e-05,6.42562299816e-10
landsat-satellite,0.0107455288986,0.00870658852616,0.00872364424942,0.00897935490804,0.00142060709219,0.0017984089038,0.00187516763201,0.00200513723694
letter,0.00176368832578,0.000617840281813,0.000607148755619,0.000611867440251,0.000259591307904,0.000219583118229,0.000238472697053,0.000241239981494
libras-movement,0.0332807807407,0.0266212745381,0.0264790756933,0.025785578955,0.00801855955983,0.0115579830402,0.0122417028741,0.0125222115105
lung-cancer,0.0246408929825,0.000332156290605,0.00220013515365,0.000533952244076,0.00640420821026,0.000985860481962,0.00270554006876,0.00134678257311
mfeat-karhunen,0.020906065,0.00567233718985,0.00584639323536,0.00564089347412,0.00244384583316,0.00259326472857,0.00276757792258,0.00270734402347
mfeat-morphological,0.00201001666667,0.00258777734216,0.00176124710166,0.00185595668196,0.00187710499271,0.0017645735022,0.00196416414792,0.00197789701848
mfeat-zernike,0.0111154805556,0.00803932333337,0.00803530372099,0.00776404791762,0.00281484281184,0.00297076730989,0.00332375661369,0.00323775792616
mushroom,3.58326133588e-05,1.25541618038e-05,1.78157456107e-06,8.88508771548e-09,4.00069510729e-05,1.91176832182e-05,6.1105863821e-06,3.4850624081e-08
optdigits,0.0129212709968,0.00631293962255,0.00644592954458,0.00637176501837,0.00151818851792,0.00174201001614,0.00176704423668,0.00186621602215
page-blocks,0.0185459100816,0.0205728652793,0.0183786444426,0.0189175337168,0.0027014844228,0.00226377721894,0.00297674618664,0.0032646388596
pendigits,0.00531890162716,0.00360309871665,0.00358175218569,0.00346227554821,0.000664813599213,0.00079711830032,0.000900421203328,0.000868676957688
scene-classification,0.116621468317,0.107126395229,0.10721650547,0.106086177699,0.00445872771315,0.00631328288673,0.0072229701797,0.0069865559411
