,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.61358460791,0.614789879473,0.614079789608,0.00967297077026,0.0116936149402,0.00783415179618
autos,0.257165133164,0.253013750911,0.259869292336,0.0990837338559,0.0776052466023,0.0968878623784
balance-scale,0.184989149612,0.185770254212,0.185156734136,0.0206256058057,0.0203151014529,0.0203715936993
car,0.0349688255021,0.0356536585502,0.0353039208577,0.00978914661171,0.00967295183804,0.0095911309689
cleveland,0.399157986418,0.398160912296,0.398667347135,0.0693601341707,0.0680118379009,0.0688770248085
credit-approval,0.336456999757,0.336404997237,0.339299558867,0.0800474436108,0.0746328291738,0.0725702629417
dermatology,0.00424534495907,0.0036803275206,0.00430006512745,0.00464027808269,0.00375600306458,0.00468654553991
diabetes,0.483235518011,0.483121915357,0.482382894495,0.0292970746028,0.0285342908999,0.0275586984258
ecoli,0.145026136344,0.146607039292,0.169794392307,0.11869503446,0.130075516835,0.159265118278
flare,0.419080065471,0.418827290166,0.439891137915,0.0214199733203,0.0221599660286,0.0237732186097
german,0.490595655635,0.490682414344,0.490380237974,0.0233511479043,0.0229800497973,0.0237919599646
glass,0.390768836743,0.394748548718,0.391163226731,0.0700486704946,0.0700383835381,0.0686476849671
heart-statlog,0.397807338369,0.397635011024,0.398272051853,0.0695131983338,0.0685063884607,0.0624941031717
hepatitis,0.354185395917,0.356360434328,0.35241876077,0.0797613944341,0.071935614973,0.0778672210909
horse,0.348562249901,0.349516460635,0.354332640964,0.0686603903828,0.0714700397051,0.0614962318207
ionosphere,0.186495678542,0.188423147554,0.208196015919,0.0781021291766,0.0837054629606,0.102105331849
iris,0.00224092640537,0.000549363887442,0.000317485321002,0.00477451240533,0.00119898407302,0.00109737776278
landsat-satellite,0.0297499225825,0.0309645412495,0.031047603654,0.00601827639112,0.00580579506039,0.00599648422395
letter,0.00282331207722,0.00473049902282,0.00286896671122,0.000994934572017,0.00116401840251,0.001010207913
libras-movement,0.097777023295,0.117665372047,0.099821936584,0.0442623243995,0.0327734232391,0.0421081061146
lung-cancer,0.00307955753476,0.0553774404359,0.00255844257169,0.0053710606745,0.0372224260702,0.00467751887204
mfeat-karhunen,0.0226863541141,0.0563339273034,0.0229480991733,0.0105446198051,0.0127235892421,0.0104369338712
mfeat-morphological,0.0162623834389,0.0160658125911,0.0298479286259,0.0392571782404,0.0392611566958,0.0415932658656
mfeat-zernike,0.0352103936526,0.0389653091072,0.0415407804103,0.0127348747503,0.014313555507,0.0204042919792
mushroom,0.000282102925331,0.000301366324682,0.000286951057542,0.000147124276635,0.000187846740079,0.000153400604452
optdigits,0.0232645967114,0.0365420994733,0.0233089449272,0.00667474246631,0.00714107690331,0.00677864717568
page-blocks,0.0751842089693,0.0766173613987,0.0842751269343,0.0168659874931,0.0149066719353,0.0163773399318
pendigits,0.014736116847,0.0146897040617,0.0151887785798,0.00416526859299,0.00408175238204,0.0034446636731
scene-classification,0.340298020123,0.354436304727,0.342750945991,0.0185349729269,0.0151413233908,0.0179800363769
segment,0.00989178523857,0.0101484620338,0.0102472446118,0.00737255606236,0.00670712054356,0.00775080368194
shuttle,0.000191180527531,0.000194274089564,0.000223919386864,8.75054249122e-05,9.43996247635e-05,9.25399369616e-05
sonar,0.370885039941,0.378735091024,0.371461676317,0.0703044785897,0.0655672862182,0.0696036607416
spambase,0.148066699941,0.14944747138,0.15584487093,0.0195539856172,0.0204184822905,0.0195595683142
tic-tac,0.117824742872,0.167713796027,0.118233295854,0.0236167629741,0.0269292951995,0.02343268014
vehicle,0.0471721695853,0.0473293166156,0.0469715859774,0.0177556957759,0.0183909266646,0.0169841711836
vowel,0.0359672890188,0.0565397412166,0.0362595143028,0.0143842355404,0.0163972672483,0.0139010371017
waveform-5000,0.23673643984,0.239032825222,0.236952035224,0.0141410863917,0.0138788568492,0.0141281061736
wdbc,0.120847763839,0.120349852159,0.139932329059,0.0771018746195,0.0733309230605,0.0840316759954
wpbc,0.529978044042,0.527563780579,0.537024356696,0.0368728627175,0.040690300769,0.0329214522706
yeast,0.48299418061,0.483133546071,0.483234478929,0.0195181257953,0.0199725417176,0.0190308385526
zoo,0.0149662193813,0.00724457786057,0.0144595663764,0.0186132849479,0.0114928710966,0.0185881633291
