,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.613501939404,0.610853341037,0.610792884852,0.613960024025,0.015204508042,0.00919229953592,0.0132685491019,0.00694045843464
autos,0.29955148138,0.242142125348,0.371267240358,0.243155686338,0.0456114836616,0.0783312627453,0.455611125386,0.0751897469865
balance-scale,0.208083402278,0.183793253052,0.179824898249,0.188417738068,0.0180182197014,0.0208533594399,0.0226383271688,0.0229195550295
car,0.105731398601,0.0336269482009,0.0442633085168,0.0335374418688,0.0069173627281,0.00997403603528,0.0404179519302,0.010306179676
cleveland,0.402381975715,0.396372487102,0.584653335124,0.394307651448,0.0520672749943,0.0697412164239,0.359706937371,0.0676278126487
credit-approval,0.332256154827,0.324510856051,0.426433460052,0.309713987308,0.0414006612541,0.0566995136682,0.209777871779,0.0516795698778
dermatology,0.0362687579214,0.00414474835049,0.00531800192924,0.00298087997146,0.00773246833334,0.00496567937022,0.00485172404227,0.00443255403789
diabetes,0.478862975234,0.481048977914,0.538437501741,0.483887316632,0.028123779443,0.0285207575505,0.127498656419,0.0299920082204
ecoli,0.147444123854,0.135634905449,0.319488626432,0.133440878446,0.0936357594836,0.0937751604191,0.452623678476,0.0807811385151
flare,0.495727830167,0.419766245107,0.424502922931,0.423621947624,0.106640692198,0.0212461281004,0.0271657890512,0.0223423640136
german,0.491472325149,0.487737243623,0.533414212038,0.487343800819,0.0201686948915,0.0240775508706,0.119986129566,0.0234605546873
glass,0.401587624319,0.388978949784,0.485383449767,0.395362201059,0.0556593093999,0.0717690647426,0.32215111942,0.0760332225685
heart-statlog,0.402179947093,0.394408627757,0.619915245706,0.390634427937,0.0532071251426,0.072709053304,0.447438067264,0.069312488897
hepatitis,0.346075585153,0.358220243275,0.635502898751,0.363881064638,0.0673212361107,0.0795117302774,0.687566275836,0.0795990797997
horse,0.36239356356,0.347506818448,0.566647065762,0.338747636848,0.0446618464779,0.0661535507015,0.358659229963,0.0605940946593
ionosphere,0.207908484951,0.178965331201,0.372600817369,0.178328797756,0.0393241161926,0.0599110225312,0.366254693096,0.0539084834586
iris,0.00411967025221,0.00184051525667,0.000768343389071,1.42897595025e-05,0.00308177175749,0.00462431634129,0.00121332061978,2.39644870637e-06
landsat-satellite,0.0456752441,0.029397709872,0.0348231752481,0.0317106617149,0.00384972368979,0.00574739767858,0.0144629300086,0.00661354053399
letter,0.00987285891699,0.00275940548578,0.00487571722373,0.00284182624444,0.000679592409009,0.000981901171542,0.00511740354694,0.00124472102339
libras-movement,0.119442065653,0.0974951854138,0.144233451341,0.10010264039,0.0225250064115,0.0450385515194,0.2280354582,0.0468778383672
lung-cancer,0.116970221877,0.0020191814239,0.0118700813173,0.0022172011694,0.014335418742,0.00354720140348,0.0119908793229,0.00443904604248
mfeat-karhunen,0.0926253561086,0.0227347833611,0.0415873606723,0.0227808193201,0.00560701190859,0.0113376206215,0.0459478930841,0.0114959088188
mfeat-morphological,0.0356739557133,0.016796149301,0.0194743824248,0.0136435767736,0.0590277607978,0.0392816767139,0.0406734343009,0.0173933575336
