,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.615277312729,0.614079789608,0.61271282622,0.614696651158,0.0157101225273,0.00783415179618,0.0170725942193,0.00688315079461
autos,0.300141163697,0.259869292336,0.51239278091,0.254847103477,0.0471754608076,0.0968878623784,0.684363111559,0.0920640356772
balance-scale,0.207662222281,0.185156734136,0.181257040086,0.18959040867,0.0177737044419,0.0203715936993,0.0226075779766,0.0219674004797
car,0.106039271265,0.0353039208577,0.0457293845551,0.0349135046832,0.00695987302879,0.0095911309689,0.0392240661491,0.00986607333001
cleveland,0.403280384004,0.398667347135,0.568477271432,0.396509036175,0.0516192104615,0.0688770248085,0.368585776345,0.069918002461
credit-approval,0.341158727022,0.339299558867,0.406953503941,0.310543114532,0.0713670253462,0.0725702629417,0.181629546628,0.050430679246
dermatology,0.0357741769434,0.00430006512745,0.00541879898937,0.00317642134558,0.00740850468975,0.00468654553991,0.00472866183122,0.00433040537912
diabetes,0.479954785237,0.482382894495,0.543892461648,0.485880548436,0.0290315709369,0.0275586984258,0.105628075079,0.0297879926125
ecoli,0.157083852604,0.169794392307,0.321394336451,0.135200094042,0.124861596118,0.159265118278,0.399594992004,0.077194968501
flare,0.49734778539,0.439891137915,0.425571740444,0.423607803216,0.111385813019,0.0237732186097,0.0291280307454,0.0228379202624
german,0.492635893511,0.490380237974,0.515837585071,0.489987843052,0.0207879859537,0.0237919599646,0.0834926167077,0.0223881415143
glass,0.402423034492,0.391163226731,0.520056631468,0.396087977003,0.0562211708117,0.0686476849671,0.349450266376,0.0729079103874
heart-statlog,0.403971356748,0.398272051853,0.682911350373,0.395601744766,0.0524773904588,0.0624941031717,0.489043090272,0.066903265577
hepatitis,0.344353210352,0.35241876077,0.573270235004,0.361050092461,0.0677196397306,0.0778672210909,0.645497395902,0.0828061497496
horse,0.36189769089,0.354332640964,0.579641872184,0.339445333063,0.0472676280837,0.0614962318207,0.417658713989,0.06056954883
ionosphere,0.217569806014,0.208196015919,0.351192499326,0.181877325259,0.088510683961,0.102105331849,0.335371134276,0.0541377632553
iris,0.0042358951115,0.000317485321002,0.000849687110748,1.44077481282e-05,0.00340446562685,0.00109737776278,0.00116292231861,3.33554787061e-06
landsat-satellite,0.0457559380819,0.031047603654,0.0363133673109,0.0320909076164,0.00384748231097,0.00599648422395,0.0147971018369,0.00670962524425
letter,0.00986856894746,0.00286896671122,0.00458875090662,0.00289224497761,0.000685339443985,0.001010207913,0.00451503469289,0.00116945599644
libras-movement,0.118168712623,0.099821936584,0.17698849521,0.100645673064,0.0228582423155,0.0421081061146,0.243723312907,0.0471475789388
lung-cancer,0.117588010185,0.00255844257169,0.0127853098429,0.00320442827512,0.0143936597527,0.00467751887204,0.0122716252673,0.00588980767431
mfeat-karhunen,0.0924320100291,0.0229480991733,0.043362502393,0.0224965062598,0.00543340203923,0.0104369338712,0.0447400743204,0.0104745938073
mfeat-morphological,0.0339836285667,0.0298479286259,0.0185667472425,0.013240302894,0.0580699873166,0.0415932658656,0.0405250914827,0.017269099135
mfeat-zernike,0.0571450967265,0.0415407804103,0.0645221158045,0.0339207673321,0.0205648093429,0.0204042919792,0.0445727374707,0.0130317115886
mushroom,0.000668074857574,0.000286951057542,3.48084331601e-05,1.48671710249e-05,0.000266267398132,0.000153400604452,5.65737296306e-05,3.45185052352e-06
optdigits,0.0594654762505,0.0233089449272,0.0298752203426,0.0241377825818,0.00384889341399,0.00677864717568,0.0199638228499,0.0069573243185
page-blocks,0.0858500862497,0.0842751269343,0.0698728431009,0.0720587642438,0.0296525215342,0.0163773399318,0.0240296475841,0.0113476475511
pendigits,0.0252292645962,0.0151887785798,0.0216546269234,0.0137814045315,0.00284470761231,0.0034446636731,0.0122006912415,0.00341101504703
scene-classification,0.37216364983,0.342750945991,0.355215149027,0.340981257549,0.011625275589,0.0179800363769,0.04218758622,0.0188420401976
segment,0.0162726212682,0.0102472446118,0.0259875443874,0.010674633086,0.00431696159573,0.00775080368194,0.0406721243033,0.00836940014699
shuttle,0.000270297182903,0.000223919386864,0.000225732241588,0.000100617228183,9.08485919368e-05,9.25399369616e-05,0.00127791939355,0.000288143979947
sonar,0.449576133054,0.371461676317,0.434396852222,0.374619691957,0.0325246460616,0.0696036607416,0.256362918475,0.0719308465269
spambase,0.170890969327,0.15584487093,0.142997405624,0.137505262646,0.0187855413347,0.0195595683142,0.023564985446,0.0156171714703
tic-tac,0.284873478819,0.118233295854,0.118649213963,0.118377121267,0.0137346067561,0.02343268014,0.0372625759487,0.0237869561073
vehicle,0.091399195588,0.0469715859774,0.116899101865,0.0475833515909,0.00952578814888,0.0169841711836,0.112709643136,0.0188651761903
vowel,0.0797894261868,0.0362595143028,0.0462227267558,0.0366409084465,0.00939651869503,0.0139010371017,0.0622698144252,0.0159095203163
waveform-5000,0.294986895053,0.236952035224,0.244349824343,0.239362445568,0.00869555862276,0.0141281061736,0.0224582276941,0.0148176277628
wdbc,0.135330766469,0.139932329059,0.179355413088,0.113042060209,0.0759349360773,0.0840316759954,0.179724636298,0.045551575751
wpbc,0.531983866974,0.537024356696,0.595374371827,0.532576918379,0.044888765484,0.0329214522706,0.304308812871,0.0339244756376
yeast,0.480475960823,0.483234478929,0.494615662715,0.487312569976,0.0208327954646,0.0190308385526,0.0391333798436,0.0200962596627
zoo,0.0316840889938,0.0144595663764,0.0157792834525,0.00934513381501,0.0186063295664,0.0185881633291,0.0179160160063,0.0136166134256
