,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.628370891645,0.613501939404,0.0142257943225,0.015204508042
abalone,beta,0.640508301053,0.610853341037,0.0096320238531,0.00919229953592
abalone,beta_ab,0.629471343175,0.611442945154,0.0136100179481,0.0106446284038
abalone,beta_am,0.639430482785,0.611534216254,0.010975154155,0.00852013179494
abalone,isotonic,0.636317792408,0.610792884852,0.00649195157702,0.0132685491019
abalone,sigmoid,0.638376788518,0.613960024025,0.0114575768118,0.00694045843464
autos,None,0.910367440353,0.29955148138,0.0495261055403,0.0456114836616
autos,beta,0.916635981949,0.242142125348,0.0512889597171,0.0783312627453
autos,beta_ab,0.91470012903,0.243111904498,0.0479100666492,0.0697337914659
autos,beta_am,0.915368647874,0.244746089496,0.0533292692228,0.0747736520106
autos,isotonic,0.918246652053,0.371267240358,0.0456217494852,0.455611125386
autos,sigmoid,0.917749510498,0.243155686338,0.0518648319857,0.0751897469865
balance-scale,None,0.907255067251,0.208083402278,0.0244271998502,0.0180182197014
balance-scale,beta,0.90693629563,0.183793253052,0.0242800778156,0.0208533594399
balance-scale,beta_ab,0.908857729822,0.183985519773,0.0246815039354,0.0206478773285
balance-scale,beta_am,0.906621395477,0.183871231913,0.0232963825519,0.0204772673292
balance-scale,isotonic,0.909039751227,0.179824898249,0.0244783400331,0.0226383271688
balance-scale,sigmoid,0.906612403682,0.188417738068,0.0237724926189,0.0229195550295
car,None,0.989291907514,0.105731398601,0.00627864726478,0.0069173627281
car,beta,0.989465990052,0.0336269482009,0.00686523891544,0.00997403603528
car,beta_ab,0.989638728324,0.0344237815069,0.00646525122161,0.0101478248677
car,beta_am,0.989697203925,0.0340623664871,0.00662336249198,0.0101499114579
car,isotonic,0.989235448313,0.0442633085168,0.00651201726585,0.0404179519302
car,sigmoid,0.989986557333,0.0335374418688,0.00628035592744,0.010306179676
cleveland,None,0.820769140853,0.402381975715,0.0475930122374,0.0520672749943
cleveland,beta,0.818384765244,0.396372487102,0.049225033217,0.0697412164239
cleveland,beta_ab,0.824148061562,0.395063768055,0.0480724799849,0.0683891973729
cleveland,beta_am,0.819401714397,0.394021023462,0.0484350390807,0.0661161829125
cleveland,isotonic,0.823390025326,0.584653335124,0.050085696999,0.359706937371
cleveland,sigmoid,0.817700564972,0.394307651448,0.0490502012157,0.0676278126487
credit-approval,None,0.880397658321,0.332256154827,0.0278354447006,0.0414006612541
credit-approval,beta,0.879630722967,0.324510856051,0.0267021391727,0.0566995136682
credit-approval,beta_ab,0.879481574405,0.324347145666,0.0271612515675,0.0550658408774
credit-approval,beta_am,0.879469919394,0.32536856533,0.0258514914974,0.0506037693577
credit-approval,isotonic,0.878261321376,0.426433460052,0.027363837735,0.209777871779
