,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,64.7379131322,64.742674873,64.7929658437,1.21430710683,1.12668421706,1.18600347897
autos,86.9587613193,87.8487039471,86.1847378946,5.55329757749,5.19500641414,5.95326909971
balance-scale,97.5207685487,97.5367726949,97.5680004496,1.48221169956,1.44205396709,1.44515702544
car,97.49979836,97.4999327867,97.4419276785,0.827036069676,0.773078016578,0.820046449678
cleveland,82.7664718488,83.003253458,83.132008572,4.6262087305,4.50805043939,4.52222260851
credit-approval,87.2576131248,87.3506130002,87.5035285325,3.07165363632,2.933695777,2.94670390772
dermatology,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751
diabetes,76.614973262,76.9017910194,76.9410067057,3.43640572825,3.11034591636,3.13038366119
ecoli,95.7863689707,95.7881381994,95.6678306463,2.54557847731,2.55638694479,2.59756498395
flare,81.9560857297,81.6034154623,82.0067324494,1.37684618351,1.37521687638,1.37538638874
german,76.04,75.23,76.02,1.7665832351,2.11459939758,1.94558631843
glass,75.6785663948,75.0968673445,76.3225963959,6.25191609206,5.75098014297,5.93488386255
heart-statlog,82.2962962963,82.4814814815,82.7777777778,4.79354567319,4.50838982245,4.6766321507
hepatitis,84.0158602151,84.2845430108,84.4134408602,4.22786145536,5.1050072196,4.46705995428
horse,84.2066407335,84.2066222099,84.5083171251,3.82318341313,3.79280564941,3.4123638634
ionosphere,90.7150905433,91.3987927565,90.3746478873,3.89209536222,3.20691736408,3.8916828392
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,99.0676727412,99.0661199443,99.0614530892,0.260174253596,0.258017850958,0.260093377057
letter,99.8782945997,99.8745816598,99.8788666416,0.0474304794851,0.0489059238117,0.0468954866338
libras-movement,98.3066666667,98.3933333333,98.3666666667,1.368316575,1.31740485636,1.30105486593
lung-cancer,98.4368421053,80.4105263158,98.4368421053,2.84296541863,10.9218336009,2.84296541863
mfeat-karhunen,99.575,99.585,99.565,0.35083719115,0.333541601603,0.349233855338
mfeat-morphological,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,99.335,99.355,99.34,0.288424644422,0.31979744865,0.306227873003
mushroom,100.0,100.0,100.0,0.0,0.0,0.0
optdigits,99.453700218,99.4358588042,99.4429922334,0.220010420423,0.232172702091,0.22588114075
page-blocks,97.0272450162,96.9614897694,96.9815543838,0.505201166832,0.524102179625,0.539815129789
pendigits,99.8034873108,99.8007583803,99.8016666429,0.0819325692339,0.0841999980469,0.0831284789587
scene-classification,85.0183048872,84.9102739509,84.9934085857,1.2819837219,1.38235220957,1.36224520736
segment,99.7316017316,99.7402597403,99.7402597403,0.225366322304,0.205109758216,0.222977815428
shuttle,99.9131031756,99.9127090239,99.914088373,0.0251544658942,0.026333601293,0.0252803476381
sonar,84.4260054561,84.2808794533,84.5678091997,4.57507948578,4.71759666707,4.93875344322
spambase,94.7294195763,94.7859413823,94.7772504457,0.648484681485,0.718200762185,0.663430567964
tic-tac,84.405426003,84.4160062823,84.2496617543,1.97678625801,2.04358626355,2.08058269146
vehicle,97.5073383212,97.4712021657,97.4128005501,1.13964058032,1.19427610961,1.19704644927
vowel,98.4949494949,98.404040404,98.4646464646,0.766897911273,0.779487955906,0.742550091213
waveform-5000,88.6019388079,88.6519408459,88.67395086,1.09510883127,1.11958276419,1.10546970251
wdbc,97.5024240092,97.5729126587,97.6083108888,1.27367685963,1.11881257787,1.11234632887
wpbc,78.9331983806,78.8175438596,78.5753711201,3.82311253893,4.5054651291,3.32754376596
yeast,74.5056576473,74.24840781,74.4861120482,1.72765430871,1.88530969424,1.65849015878
zoo,100.0,100.0,100.0,0.0,0.0,0.0
