,mean,mean,mean,mean,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,64.7787349825,64.7929658437,64.7283180165,64.7379131528,1.18158551656,1.18600347897,1.18542312048,1.23913841097
autos,87.4051248763,86.1847378946,87.2952940879,87.3940954646,5.27598928727,5.95326909971,5.03529875655,5.68133763159
balance-scale,97.4401171431,97.5680004496,97.3593408515,97.5039963533,1.49840822015,1.44515702544,1.47496649252,1.44198578513
car,97.4650826724,97.4419276785,97.488271273,97.4187390778,0.810022000666,0.820046449678,0.885812381167,0.827353479473
cleveland,83.0038184298,83.132008572,82.362478083,82.9325735437,4.47223104756,4.52222260851,4.60245838878,4.65057741452
credit-approval,87.5345290841,87.5035285325,87.120897169,87.4875584975,2.92027162083,2.94670390772,2.93126131062,3.00332691
dermatology,99.7229300729,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751,0.559843572751
diabetes,76.940667176,76.9410067057,76.7837195484,77.0060266531,3.14391733544,3.13038366119,3.29133944118,3.11607348006
ecoli,95.7863816948,95.6678306463,95.7270804331,95.6972151921,2.57276786281,2.59756498395,2.62322966214,2.62555902851
flare,81.631936777,82.0067324494,81.9788344789,81.3654471666,1.35567720304,1.37538638874,1.36554225836,1.33328160867
german,75.22,76.02,75.67,75.94,2.08287477947,1.94558631843,2.13954505941,2.03950774373
glass,75.7506661297,76.3225963959,74.7935769657,75.6764706869,5.99834725106,5.93488386255,5.43238331697,6.25392027646
heart-statlog,82.5555555556,82.7777777778,82.4814814815,82.6296296296,4.31614384951,4.6766321507,4.63091440979,4.54980310199
hepatitis,85.4658602151,84.4134408602,84.1596774194,84.6032258065,5.67194168014,4.46705995428,4.96094413728,4.56063564069
horse,84.8050569603,84.5083171251,84.0772066315,84.8416875058,3.87119865034,3.4123638634,3.79796336811,3.33219836994
ionosphere,91.3134808853,90.3746478873,90.8012072435,90.6583501006,3.10765219949,3.8916828392,3.84889125551,4.05838315218
iris,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
landsat-satellite,99.058352314,99.0614530892,99.0458925026,99.042796546,0.258507604165,0.260093377057,0.273613760444,0.265534562979
letter,99.8717221043,99.8788666416,99.8837237922,99.8788641135,0.0478094810659,0.0468954866338,0.0502150203343,0.0469921124901
libras-movement,98.34,98.3666666667,98.2666666667,98.2133333333,1.41179032701,1.30105486593,1.30930734142,1.47505332545
lung-cancer,65.2210526316,98.4368421053,98.0210526316,94.5842105263,11.3827683266,2.84296541863,3.14903878167,4.58618574269
mfeat-karhunen,99.565,99.565,99.55,99.565,0.349233855338,0.349233855338,0.357142857143,0.360024092164
mfeat-morphological,99.85,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,99.365,99.34,99.395,99.355,0.328144132095,0.306227873003,0.290539610563,0.327677355
mushroom,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
optdigits,99.4251841194,99.4429922334,99.4661384258,99.4376666336,0.228394801328,0.22588114075,0.234968574239,0.223438598833
page-blocks,96.9852240901,96.9815543838,96.9998476918,96.9761167225,0.522636128534,0.539815129789,0.552798062984,0.520986221311
pendigits,99.7971191157,99.8016666429,99.7916517413,99.7989323279,0.0828509342736,0.0831284789587,0.0905925501799,0.0848166255046
scene-classification,84.8187887656,84.9934085857,85.0431405512,84.9434086217,1.38693063745,1.36224520736,1.32136581404,1.30337456494
segment,99.7402597403,99.7402597403,99.696969697,99.7186147186,0.205109758216,0.222977815428,0.222977815428,0.232425732504
shuttle,99.9127089802,99.914088373,99.9146794963,99.9135957185,0.0263713474411,0.0252803476381,0.0260955180251,0.0266361121331
sonar,84.1287848094,84.5678091997,84.0449990546,84.3703643681,4.98842432145,4.93875344322,5.06065727361,5.09116664608
spambase,94.7880987572,94.7772504457,94.7706932546,94.8033138035,0.690371450555,0.663430567964,0.642431381371,0.649313993973
tic-tac,84.1665977177,84.2496617543,84.2812884306,84.2393524672,2.10062011864,2.08058269146,1.95427285977,2.09119347093
vehicle,97.4358343049,97.4128005501,97.4490046764,97.3887780119,1.15430012729,1.19704644927,1.20400268778,1.19324994327
vowel,98.2929292929,98.4646464646,98.5353535354,98.4646464646,0.888881861257,0.742550091213,0.751539201154,0.735506201291
waveform-5000,88.5579207459,88.67395086,88.623996866,88.5599307639,1.0982989027,1.10546970251,1.09176161502,1.07096588441
wdbc,97.5378222393,97.6083108888,97.3446710273,97.6955752212,1.05370407788,1.11234632887,1.36856901068,1.17914798167
wpbc,79.3819163293,78.5753711201,79.2359649123,79.3909581646,4.26614771476,3.32754376596,4.23707682061,3.90358855899
yeast,74.3633469548,74.4861120482,74.2568550067,74.3708123995,1.87052725441,1.65849015878,1.84540206889,1.78393842819
zoo,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
