,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.210038996363,0.210009697604,0.210408780961,0.00414032975398,0.00393473116934,0.00426713009601
autos,0.100590129666,0.0995899768043,0.103728361762,0.0248319655842,0.0244843243453,0.023157594914
balance-scale,0.0221244807004,0.0223271203873,0.0222424401449,0.0103090683107,0.0102393659687,0.00985375431727
car,0.0192814719123,0.0191605793542,0.0196076846184,0.0054222168417,0.00528086280721,0.00547334395688
cleveland,0.126980999373,0.126411682068,0.126567821195,0.0259306428919,0.0257745570953,0.0254009310553
credit-approval,0.10005193449,0.0994889476853,0.0996216351051,0.0175614050203,0.0172096651264,0.01710783655
dermatology,0.00255786810375,0.00221072445839,0.00256456623369,0.00470004006147,0.00437849902945,0.00466424634821
diabetes,0.155706335623,0.155854895223,0.15537283031,0.0126226643985,0.0121077958425,0.0126229515415
ecoli,0.0335154105885,0.0326898368201,0.0334747066106,0.019490164794,0.0186784745603,0.0183330649513
flare,0.130523603739,0.130631488242,0.130342475359,0.00829576617919,0.00840771555502,0.00827153896873
german,0.168609543077,0.170192381057,0.168779086859,0.00811218384261,0.00904387294474,0.0078672441958
glass,0.165951721241,0.166877144725,0.166276438273,0.0224063400594,0.0208810467714,0.0204559534685
heart-statlog,0.127055783019,0.12660052359,0.126684484202,0.0239367071464,0.0233927807428,0.0231160790234
hepatitis,0.11706161575,0.119244575623,0.114984266051,0.0272349061218,0.0272417646224,0.0268603101812
horse,0.123089029835,0.12281730492,0.123478381542,0.0199883529796,0.0202372738593,0.0192048378536
ionosphere,0.0656686735697,0.0658451318601,0.0662464843231,0.0222237535779,0.0209871731746,0.0218141344419
iris,0.000293674831327,7.97925566211e-05,0.000190772125826,0.000757460099257,0.000286069008459,0.000522867376397
landsat-satellite,0.00698606560763,0.00695338815143,0.0070028956298,0.00158242273816,0.00156357794608,0.00158239240696
letter,0.000940707030674,0.000947778007804,0.000950935681825,0.000275800839433,0.000262071128186,0.000270911160064
libras-movement,0.0163405828163,0.0157176168714,0.0169629149293,0.0104228657193,0.0105251632173,0.00964098999236
lung-cancer,0.0139027091781,0.127586284632,0.0139232529414,0.0129485664742,0.0319930763749,0.0134695752936
mfeat-karhunen,0.00355319542056,0.00341697479478,0.00362610960608,0.00254108605702,0.00257599033727,0.00244523078157
mfeat-morphological,0.00154798435857,0.00150387074788,0.00155506918362,0.0019191574825,0.00195326824317,0.00192024236026
mfeat-zernike,0.00520955443609,0.00498415970222,0.00515508887902,0.0024412354719,0.00244697724285,0.00238228907374
mushroom,7.90040748526e-06,9.86057243243e-06,8.09735625105e-06,1.2283963606e-05,1.55136660868e-05,1.39205532164e-05
optdigits,0.00417703249164,0.00427265316155,0.00419363360271,0.0014294309179,0.00147740548527,0.00139978353761
page-blocks,0.0232544542287,0.0235867132061,0.0233368082724,0.00344121232201,0.00330438820445,0.00342603392544
pendigits,0.00162490758177,0.00159564191825,0.00161865886838,0.000642848724471,0.000641960029215,0.000630978810768
scene-classification,0.108055033546,0.108652444904,0.10812343673,0.00588748753522,0.0061194951452,0.00585129020501
segment,0.00244509930939,0.00242779608155,0.00245012721453,0.00180997023581,0.00186755941867,0.00184163168868
shuttle,0.000784545111063,0.000793586812661,0.000887504367715,0.000217863341832,0.000223658994968,0.000217733465128
sonar,0.111137741202,0.1113731479,0.111611406714,0.0272798492308,0.026763194758,0.0262896743765
spambase,0.0429638143418,0.0430423229623,0.0430640428336,0.00401746472412,0.00399215735195,0.0039792733111
tic-tac,0.116950088508,0.116709308812,0.119800500159,0.0110232736484,0.0107662426766,0.0102831044118
vehicle,0.0191022028847,0.0190216053061,0.0191624615615,0.00796030568216,0.00776175600138,0.00750561101687
vowel,0.0113627362553,0.0118650886925,0.0115316270341,0.00542463037627,0.00552682858416,0.00530055202686
waveform-5000,0.0802192223759,0.0802721914599,0.0802748874881,0.00463065349205,0.00467533080719,0.00463322021424
wdbc,0.0190859666333,0.0189433149982,0.0193817526131,0.00831997745842,0.00779688779142,0.00792169943346
wpbc,0.154265463252,0.157488691218,0.154795137461,0.0174958935405,0.0203005760295,0.016199234669
yeast,0.167249432186,0.167356665088,0.167259280206,0.00722157450489,0.00744520420852,0.00699822310267
zoo,0.000727897364613,0.000509923345588,0.001053778269,0.00196723092957,0.0019763977798,0.00275424402543
