,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_ab,beta_am,isotonic,sigmoid,None,beta,beta_ab,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,,,
abalone,0.210449012802,0.210038996363,0.210009697604,0.210408780961,0.210262764018,0.211150110436,0.00419415813294,0.00414032975398,0.00393473116934,0.00426713009601,0.0044479932832,0.00437679039367
autos,0.0971166819506,0.100590129666,0.0995899768043,0.103728361762,0.0985854643464,0.101292698004,0.0262412484197,0.0248319655842,0.0244843243453,0.023157594914,0.0268142036561,0.0247604200633
balance-scale,0.0286064202091,0.0221244807004,0.0223271203873,0.0222424401449,0.0217556600159,0.0218319683541,0.00697759644807,0.0103090683107,0.0102393659687,0.00985375431727,0.0106907569034,0.0107579360834
car,0.0270443914906,0.0192814719123,0.0191605793542,0.0196076846184,0.0193434558746,0.0192886683767,0.00407315628752,0.0054222168417,0.00528086280721,0.00547334395688,0.0054848177459,0.00568226017405
cleveland,0.126323910494,0.126980999373,0.126411682068,0.126567821195,0.127981216002,0.127359941909,0.0301681964284,0.0259306428919,0.0257745570953,0.0254009310553,0.0267468689642,0.0273313978223
credit-approval,0.0984105129645,0.10005193449,0.0994889476853,0.0996216351051,0.100387845172,0.0987092072037,0.0194002192323,0.0175614050203,0.0172096651264,0.01710783655,0.0182798792781,0.0185679145246
dermatology,0.00288916272625,0.00255786810375,0.00221072445839,0.00256456623369,0.00236340630744,0.00261059722631,0.00277430969598,0.00470004006147,0.00437849902945,0.00466424634821,0.00385864874019,0.0048736646988
diabetes,0.155321343785,0.155706335623,0.155854895223,0.15537283031,0.156703964522,0.156484809186,0.0135523735421,0.0126226643985,0.0121077958425,0.0126229515415,0.0134410588609,0.0139784753395
ecoli,0.0339552297974,0.0335154105885,0.0326898368201,0.0334747066106,0.0337268042447,0.033849571388,0.0157749994874,0.019490164794,0.0186784745603,0.0183330649513,0.0198479512237,0.0195169433204
flare,0.130606186645,0.130523603739,0.130631488242,0.130342475359,0.131688419253,0.131796598928,0.00869254251836,0.00829576617919,0.00840771555502,0.00827153896873,0.00855309621475,0.00927834669686
german,0.17307818239,0.168609543077,0.170192381057,0.168779086859,0.168750646688,0.16880756945,0.0132575361743,0.00811218384261,0.00904387294474,0.0078672441958,0.00920870498026,0.00791495831551
glass,0.163923921805,0.165951721241,0.166877144725,0.166276438273,0.168448569015,0.165796237974,0.0242098285747,0.0224063400594,0.0208810467714,0.0204559534685,0.0261812016281,0.0231663555517
heart-statlog,0.12641358346,0.127055783019,0.12660052359,0.126684484202,0.12863472217,0.127874080871,0.0287303442754,0.0239367071464,0.0233927807428,0.0231160790234,0.0268367850975,0.025714177364
hepatitis,0.1150811181,0.11706161575,0.119244575623,0.114984266051,0.11740880403,0.115818582595,0.038184924442,0.0272349061218,0.0272417646224,0.0268603101812,0.0296504244114,0.028063900935
horse,0.11914736313,0.123089029835,0.12281730492,0.123478381542,0.122931494631,0.120014072023,0.0251089098848,0.0199883529796,0.0202372738593,0.0192048378536,0.0222866737221,0.0207554408704
ionosphere,0.0675954279397,0.0656686735697,0.0658451318601,0.0662464843231,0.066485672845,0.066740678419,0.0221627277454,0.0222237535779,0.0209871731746,0.0218141344419,0.0225373983544,0.0241283971959
iris,0.0021358058841,0.000293674831327,7.97925566211e-05,0.000190772125826,0.000722561953223,6.11115050835e-05,0.001425644391,0.000757460099257,0.000286069008459,0.000522867376397,0.00143372829067,0.000286483332477
landsat-satellite,0.00695637505917,0.00698606560763,0.00695338815143,0.0070028956298,0.00712245809003,0.00742642518231,0.0016067820051,0.00158242273816,0.00156357794608,0.00158239240696,0.0016764662205,0.00189064175521
letter,0.00103789407572,0.000940707030674,0.000947778007804,0.000950935681825,0.000915679687997,0.000944387651096,0.000246207635401,0.000275800839433,0.000262071128186,0.000270911160064,0.000287800488837,0.000302236399296
libras-movement,0.0166709138321,0.0163405828163,0.0157176168714,0.0169629149293,0.0163320065465,0.0162672336405,0.00980859293455,0.0104228657193,0.0105251632173,0.00964098999236,0.0101151389336,0.0106583762789
lung-cancer,0.241934665191,0.0139027091781,0.127586284632,0.0139232529414,0.0194199773211,0.0399343290705,0.0820899172524,0.0129485664742,0.0319930763749,0.0134695752936,0.0189236991018,0.0150877510775
mfeat-karhunen,0.00394157039178,0.00355319542056,0.00341697479478,0.00362610960608,0.00369132821504,0.00354047378469,0.00237390499589,0.00254108605702,0.00257599033727,0.00244523078157,0.00254036377582,0.00267441765276
mfeat-morphological,0.00152619446589,0.00154798435857,0.00150387074788,0.00155506918362,0.00155561771154,0.00156995975604,0.00194035498847,0.0019191574825,0.00195326824317,0.00192024236026,0.00191442810588,0.00190445478648
