,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.604051424208,0.603765466307,0.605226620079,0.0100777345674,0.00990717984808,0.0100138043154
autos,0.33493683209,0.333246929791,0.342959648015,0.0719897565503,0.0703260392857,0.0684233875062
balance-scale,0.0806463496475,0.081224289155,0.0815134166956,0.0332976981283,0.0327487759268,0.0317254427391
car,0.0691572706526,0.0687368431037,0.0707858518908,0.018520428972,0.017769944793,0.019445052561
cleveland,0.405547449141,0.403217010699,0.402622047079,0.0713809537415,0.0702290341347,0.0685127096798
credit-approval,0.341824145077,0.340012772384,0.339790280985,0.0539177579666,0.0522998360548,0.0516422889121
dermatology,0.0106651180515,0.00855010973643,0.0105002261833,0.0201618385225,0.015240870128,0.0196211887837
diabetes,0.476609942284,0.476867411402,0.475852927292,0.0332331613995,0.0319586807292,0.032417836698
ecoli,0.136560730991,0.131170140407,0.13155121116,0.0792875500518,0.0732198786259,0.0730398360833
flare,0.40508946499,0.404987801721,0.40579550681,0.0222440898799,0.0225337339165,0.0226346902304
german,0.511606998484,0.515166277384,0.511443781247,0.0219041425222,0.0246143174713,0.0216576114579
glass,0.500036864643,0.502196459339,0.498221721172,0.059775880191,0.0576205292503,0.0522907267646
heart-statlog,0.403826721196,0.401806561404,0.401223194039,0.0620171132329,0.0601119594776,0.0592161778785
hepatitis,0.383287330482,0.386865099009,0.375711817025,0.0888106087745,0.0873504156871,0.0823437288632
horse,0.403382853534,0.403958346835,0.404544598178,0.051108836307,0.052439540673,0.0503486847134
ionosphere,0.224153270146,0.226662425968,0.224094306882,0.0646838458681,0.0599247864743,0.0632319267739
iris,0.00152501504306,0.00068550827868,0.00120674979821,0.00332390115662,0.00169016354186,0.0026295719399
landsat-satellite,0.0254268561097,0.0253075937367,0.0254399532576,0.00531085907271,0.00521222561505,0.00518391662922
letter,0.00362646094928,0.00365087568701,0.00368527291557,0.00101564167563,0.000952927441567,0.00101755669653
libras-movement,0.0766296276693,0.0741014864868,0.0802067636156,0.0535658223281,0.0485435413571,0.052933693779
lung-cancer,0.0518863476886,0.394867961267,0.0513791624847,0.0373390989726,0.0775149112017,0.0383754969197
mfeat-karhunen,0.0179868606481,0.0172008360512,0.0186038305159,0.0153723858827,0.0145805517287,0.0158593108089
mfeat-morphological,0.0144670597815,0.0141324309204,0.0175723880052,0.0273747582647,0.0276698502558,0.030191541965
mfeat-zernike,0.0238193364884,0.0228209890864,0.0231010882304,0.0150939442937,0.0149375235975,0.0153211764591
mushroom,0.000114151120897,0.000127058698714,0.000113323546789,8.09627937529e-05,9.66914977981e-05,8.35815167642e-05
optdigits,0.0185440780147,0.018983905784,0.0183257188061,0.00935393688301,0.0100665465252,0.00937366496197
page-blocks,0.0840781829702,0.0853412985537,0.0874369787581,0.0127362963918,0.0124316809495,0.0136110320093
pendigits,0.0073299962304,0.0071801333826,0.00714424733888,0.00306018611833,0.00298485290706,0.00281916860368
scene-classification,0.344560218542,0.346043440408,0.344492509381,0.016801428318,0.0179209066225,0.0166958727673
segment,0.0130460578486,0.0134307655663,0.0144515438208,0.012390648306,0.0109477899506,0.0144437652209
shuttle,0.00474548523226,0.00482143050637,0.00550034867115,0.00218129959634,0.0022464835443,0.00235188677351
sonar,0.354735192507,0.355578563932,0.354259416761,0.0755240583548,0.0741308532965,0.0709479348363
spambase,0.159788441275,0.16071239007,0.161106797624,0.0154699513291,0.0155724984799,0.0159831037242
tic-tac,0.379547513504,0.378829235976,0.390191917258,0.0287440538504,0.0280733325926,0.0288282996513
vehicle,0.0752112757066,0.0748035780593,0.0745948090857,0.0322552164159,0.0310641887131,0.03155934533
vowel,0.0400098316605,0.0412877656582,0.0407591138519,0.0176575861389,0.0180366990522,0.0169201487835
waveform-5000,0.255816136167,0.255931314096,0.25598468839,0.0117599973312,0.0118726246095,0.0117661265405
wdbc,0.0736591626139,0.0733008974498,0.0758295927681,0.0307842624165,0.0291879981291,0.0317751531293
wpbc,0.478588257319,0.486010644142,0.479279275386,0.0461012947344,0.0506466098058,0.0442752225734
yeast,0.496709764966,0.496990572675,0.496252863324,0.0194865588653,0.0202138024951,0.0193805226525
zoo,0.00388218921212,0.00287556507351,0.00475735269337,0.00791767999206,0.00781116641825,0.0097911222327
