,mean,mean,mean,mean,mean,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.605345740091,0.604051424208,0.605226620079,0.612973667326,0.607569117645,0.00988216726875,0.0100777345674,0.0100138043154,0.0237993198069,0.00997504813425
autos,0.317943479358,0.33493683209,0.342959648015,0.490873310193,0.338663197655,0.085437141103,0.0719897565503,0.0684233875062,0.434039795659,0.0644275534339
balance-scale,0.105970796873,0.0806463496475,0.0815134166956,0.129437835556,0.0841688350467,0.0179099221969,0.0332976981283,0.0317254427391,0.150301124149,0.0368029544163
car,0.105445342025,0.0691572706526,0.0707858518908,0.100170282336,0.0702219455047,0.0108773125868,0.018520428972,0.019445052561,0.0689507725106,0.0196828430829
cleveland,0.407834445697,0.405547449141,0.402622047079,0.506461459093,0.411282776557,0.097176221871,0.0713809537415,0.0685127096798,0.308739085656,0.06962168806
credit-approval,0.344924660331,0.341824145077,0.339790280985,0.422931789749,0.336392386076,0.0706597823928,0.0539177579666,0.0516422889121,0.192710967274,0.051311596491
dermatology,0.0187816197047,0.0106651180515,0.0105002261833,0.00848043651048,0.0120218890115,0.00791355945055,0.0201618385225,0.0196211887837,0.011604306586,0.0238904342679
diabetes,0.475628337095,0.476609942284,0.475852927292,0.537150278697,0.479106468564,0.0362191232667,0.0332331613995,0.032417836698,0.12928535654,0.0328782064201
ecoli,0.133433388363,0.136560730991,0.13155121116,0.354719168325,0.13235785998,0.0494078287363,0.0792875500518,0.0730398360833,0.446949668881,0.0734325696049
flare,0.405588810139,0.40508946499,0.40579550681,0.412417178647,0.413975532052,0.0245928818444,0.0222440898799,0.0226346902304,0.035823108547,0.024492470153
german,0.546404756515,0.511606998484,0.511443781247,0.532804871908,0.513766094263,0.0541367727983,0.0219041425222,0.0216576114579,0.062486935417,0.019060558336
glass,0.491400355717,0.500036864643,0.498221721172,0.645262801919,0.500670826634,0.063252590176,0.059775880191,0.0522907267646,0.322061519882,0.0552600631905
heart-statlog,0.407206399934,0.403826721196,0.401223194039,0.528784708902,0.41210131318,0.090725383613,0.0620171132329,0.0592161778785,0.334443875676,0.0632086743553
hepatitis,0.395675205873,0.383287330482,0.375711817025,0.63377572618,0.38202501184,0.141521036913,0.0888106087745,0.0823437288632,0.719621057553,0.0787239567149
horse,0.408133097262,0.403382853534,0.404544598178,0.492467392561,0.39550636215,0.0917266329222,0.051108836307,0.0503486847134,0.230831983934,0.0511688610518
ionosphere,0.229087799833,0.224153270146,0.224094306882,0.305393105988,0.23415098624,0.0752283863342,0.0646838458681,0.0632319267739,0.305603654604,0.068114907976
iris,0.0267295942105,0.00152501504306,0.00120674979821,0.00384090769284,0.000486345467517,0.00670136166748,0.00332390115662,0.0026295719399,0.00547678413685,0.00153309930492
landsat-satellite,0.0250972597273,0.0254268561097,0.0254399532576,0.0333062549862,0.0317883524774,0.00572869027945,0.00531085907271,0.00518391662922,0.0167543568042,0.00715663580839
letter,0.00419256348178,0.00362646094928,0.00368527291557,0.00460980976893,0.00422353732278,0.000839859490977,0.00101564167563,0.00101755669653,0.00267646255997,0.00136804168127
