,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.647787349825,0.605345740091,0.0118158551656,0.00988216726875
abalone,beta,0.647379131322,0.604051424208,0.0121430710683,0.0100777345674
abalone,beta_ab,0.64742674873,0.603765466307,0.0112668421706,0.00990717984808
abalone,beta_am,0.647929658437,0.605226620079,0.0118600347897,0.0100138043154
abalone,isotonic,0.647283180165,0.612973667326,0.0118542312048,0.0237993198069
abalone,sigmoid,0.647379131528,0.607569117645,0.0123913841097,0.00997504813425
autos,None,0.874051248763,0.317943479358,0.0527598928727,0.085437141103
autos,beta,0.869587613193,0.33493683209,0.0555329757749,0.0719897565503
autos,beta_ab,0.878487039471,0.333246929791,0.0519500641414,0.0703260392857
autos,beta_am,0.861847378946,0.342959648015,0.0595326909971,0.0684233875062
autos,isotonic,0.872952940879,0.490873310193,0.0503529875655,0.434039795659
autos,sigmoid,0.873940954646,0.338663197655,0.0568133763159,0.0644275534339
balance-scale,None,0.974401171431,0.105970796873,0.0149840822015,0.0179099221969
balance-scale,beta,0.975207685487,0.0806463496475,0.0148221169956,0.0332976981283
balance-scale,beta_ab,0.975367726949,0.081224289155,0.0144205396709,0.0327487759268
balance-scale,beta_am,0.975680004496,0.0815134166956,0.0144515702544,0.0317254427391
balance-scale,isotonic,0.973593408515,0.129437835556,0.0147496649252,0.150301124149
balance-scale,sigmoid,0.975039963533,0.0841688350467,0.0144198578513,0.0368029544163
car,None,0.974650826724,0.105445342025,0.00810022000666,0.0108773125868
car,beta,0.9749979836,0.0691572706526,0.00827036069676,0.018520428972
car,beta_ab,0.974999327867,0.0687368431037,0.00773078016578,0.017769944793
car,beta_am,0.974419276785,0.0707858518908,0.00820046449678,0.019445052561
car,isotonic,0.97488271273,0.100170282336,0.00885812381167,0.0689507725106
car,sigmoid,0.974187390778,0.0702219455047,0.00827353479473,0.0196828430829
cleveland,None,0.830038184298,0.407834445697,0.0447223104756,0.097176221871
cleveland,beta,0.827664718488,0.405547449141,0.046262087305,0.0713809537415
cleveland,beta_ab,0.83003253458,0.403217010699,0.0450805043939,0.0702290341347
cleveland,beta_am,0.83132008572,0.402622047079,0.0452222260851,0.0685127096798
cleveland,isotonic,0.82362478083,0.506461459093,0.0460245838878,0.308739085656
cleveland,sigmoid,0.829325735437,0.411282776557,0.0465057741452,0.06962168806
credit-approval,None,0.875345290841,0.344924660331,0.0292027162083,0.0706597823928
credit-approval,beta,0.872576131248,0.341824145077,0.0307165363632,0.0539177579666
credit-approval,beta_ab,0.873506130002,0.340012772384,0.02933695777,0.0522998360548
credit-approval,beta_am,0.875035285325,0.339790280985,0.0294670390772,0.0516422889121
credit-approval,isotonic,0.87120897169,0.422931789749,0.0293126131062,0.192710967274
