,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,64.0578439315,63.6507404366,64.0768308513,0.880375409224,0.627280375005,0.807981381968
autos,81.9896663752,77.9896456302,81.926761464,6.6874749271,4.54445072139,6.20280066516
balance-scale,96.8950145492,96.9739987262,96.8952705656,1.61731978407,1.47106469821,1.65669512614
car,94.2245597527,94.0104852803,94.2304073128,1.40538542171,1.46483171239,1.44053922068
cleveland,82.7274498344,82.9981492305,82.6596532242,4.61516730025,4.64495790542,4.74437844951
credit-approval,86.4001512482,86.3993362871,86.4763750245,3.02772900136,2.94821066397,3.00585146301
dermatology,99.7784856285,99.9451951952,99.7784856285,0.512790448611,0.271239952847,0.512790448611
diabetes,76.0930311519,76.3929208047,76.4187250658,3.01725701529,2.78947638792,2.84881849657
ecoli,96.9832604367,97.0127248329,96.8607029595,2.47809194861,2.35890184501,2.32814193397
flare,82.224277932,82.2818610141,82.2099393566,1.17026470478,1.14400989118,1.18544146302
german,76.52,76.39,76.46,1.97422162393,1.83027264613,1.89208879284
glass,76.4662975268,75.2201969865,76.2332779623,6.41813368286,5.54723487851,6.28832338188
heart-statlog,83.4814814815,83.5555555556,83.5925925926,4.50264239395,4.24337304884,4.50528401482
hepatitis,83.8409946237,83.3807795699,84.0284946237,5.60128005894,4.23772043784,5.40746563576
horse,85.7407613226,84.7695378346,85.6407427989,3.32294157077,3.58676183567,3.33794031648
ionosphere,94.9026156942,93.7621730382,94.7609657948,2.85655464567,2.36710614932,2.84712534205
iris,99.8666666667,99.6666666667,99.8666666667,0.659828879074,1.01015254455,0.659828879074
landsat-satellite,98.7195605707,98.741303422,98.8097389275,0.318612387674,0.309522046404,0.298957475719
letter,99.687722892,99.5600123119,99.6877223216,0.0629925410063,0.0769777408933,0.0644323913425
libras-movement,98.3466666667,97.0866666667,98.3733333333,1.4692000384,1.59621150117,1.41203123179
lung-cancer,100.0,96.8842105263,100.0,0.0,3.47062326486,0.0
mfeat-karhunen,99.555,99.45,99.555,0.336131959024,0.342559394522,0.336131959024
mfeat-morphological,99.825,99.85,99.825,0.190662111643,0.195615199109,0.190662111643
mfeat-zernike,99.405,99.43,99.405,0.360307408433,0.360838026866,0.356749783691
mushroom,100.0,100.0,100.0,0.0,0.0,0.0
optdigits,99.4768323442,99.3826092919,99.4750846212,0.225721148571,0.226023876159,0.221040782882
page-blocks,96.4242768338,96.2762327739,96.3566399986,0.432823536246,0.432617997455,0.434972310462
pendigits,99.7944059151,99.8098666749,99.7971319442,0.0797034909495,0.0820389319177,0.078632458618
scene-classification,84.9060119248,84.6028226479,84.9516464877,1.41121840755,1.26896597801,1.36809076761
segment,99.70995671,99.658008658,99.7142857143,0.221299163081,0.231766601131,0.21171605156
shuttle,99.9001968978,99.8847287475,99.9006894941,0.0192429258739,0.0235111254448,0.0193086097736
sonar,83.365448505,82.3365205413,83.3552116252,5.09256217267,5.08750175545,5.25899318026
spambase,93.2276715828,93.0777399312,93.1668161234,0.857711286796,0.801881045853,0.812733987465
tic-tac,88.1842113592,86.0655673824,88.226258093,2.10578485243,2.10661596834,2.05763049317
vehicle,97.472460301,97.3307278238,97.4723940176,1.18621631052,1.32716808552,1.18068906367
vowel,97.9494949495,97.2424242424,97.9494949495,0.926278800596,0.974480146371,0.914969881903
waveform-5000,89.8319357559,89.9179358559,89.8699137859,0.795852536454,0.842021929382,0.825208514211
wdbc,97.2741823778,97.3269719123,97.2558676414,1.32117724214,1.50665361458,1.33807095072
wpbc,78.0384615385,77.2807692308,77.9858299595,3.32622283289,2.58538665444,3.29587368941
yeast,73.7866118939,73.4705984333,73.6111747268,2.13136743373,1.98042138262,2.06025117829
zoo,99.9047619048,99.6133515607,99.9047619048,0.673435029701,1.32663923393,0.673435029701
