,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_ab,isotonic,sigmoid,None,beta,beta_ab,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,63.9765010862,64.0578439315,63.6507404366,63.8784089849,64.0529130954,0.83871983641,0.880375409224,0.627280375005,1.37327812757,0.797520488082
autos,79.0917293477,81.9896663752,77.9896456302,82.2786046191,81.9325654718,4.33567920954,6.6874749271,4.54445072139,6.13700561958,6.16085472194
balance-scale,96.9587688734,96.8950145492,96.9739987262,96.7171893148,96.8952705656,1.53503399841,1.61731978407,1.47106469821,1.59412178968,1.66443629897
car,94.1203790832,94.2245597527,94.0104852803,94.4328538782,94.2188130125,1.4886759307,1.40538542171,1.46483171239,1.53493831066,1.43243251877
cleveland,83.0981297487,82.7274498344,82.9981492305,82.8590882525,82.6929865576,4.70503281062,4.61516730025,4.64495790542,4.76213908413,4.64394667734
credit-approval,86.3839516717,86.4001512482,86.3993362871,86.2936297799,86.4457232335,2.98419634736,3.02772900136,2.94821066397,2.9597761573,2.98851580568
dermatology,99.9451951952,99.7784856285,99.9451951952,99.7784856285,99.7784856285,0.271239952847,0.512790448611,0.271239952847,0.512790448611,0.512790448611
diabetes,76.4452083864,76.0930311519,76.3929208047,75.8331211272,76.4317969612,2.73086917653,3.01725701529,2.78947638792,2.82562835396,2.80148092731
ecoli,97.2480958735,96.9832604367,97.0127248329,96.8312784707,96.9204576976,2.17812885933,2.47809194861,2.35890184501,2.57238389102,2.27900892471
flare,82.2891073909,82.224277932,82.2818610141,82.2171078153,82.2099393566,1.13316749267,1.17026470478,1.14400989118,1.19481585915,1.18544146302
german,76.47,76.52,76.39,76.18,76.54,1.86648747925,1.97422162393,1.83027264613,2.06960510874,1.97907420121
glass,75.6045907581,76.4662975268,75.2201969865,75.7745444478,76.329886909,6.23730921376,6.41813368286,5.54723487851,5.94946908528,6.19280031573
heart-statlog,83.6666666667,83.4814814815,83.5555555556,83.5555555556,83.5185185185,4.45341121166,4.50264239395,4.24337304884,4.69738775226,4.46220311996
hepatitis,84.4075268817,83.8409946237,83.3807795699,83.2619623656,83.959811828,4.19049485145,5.60128005894,4.23772043784,6.03371264535,5.3173929003
horse,84.8023061962,85.7407613226,84.7695378346,85.4412521997,85.7068630175,3.72830197678,3.32294157077,3.58676183567,3.39735325915,3.29222965298
ionosphere,93.5911468813,94.9026156942,93.7621730382,94.4474849095,94.7895372233,2.37375559297,2.85655464567,2.36710614932,2.69476082391,2.83477141161
iris,99.6,99.8666666667,99.6666666667,99.6,99.8666666667,1.09420240886,0.659828879074,1.01015254455,1.09420240886,0.659828879074
landsat-satellite,98.7350970342,98.7195605707,98.741303422,98.7833666909,98.8081800904,0.315409194315,0.318612387674,0.309522046404,0.314449254652,0.300263158421
letter,99.5588705153,99.687722892,99.5600123119,99.7020027024,99.6894362823,0.0761911214129,0.0629925410063,0.0769777408933,0.0624176539309,0.0640932665689
libras-movement,97.3933333333,98.3466666667,97.0866666667,98.38,98.3466666667,1.5903478705,1.4692000384,1.59621150117,1.44907508229,1.4692000384
lung-cancer,97.8,100.0,96.8842105263,100.0,100.0,2.82018038041,0.0,3.47062326486,0.0,0.0
mfeat-karhunen,99.435,99.555,99.45,99.525,99.555,0.341851202862,0.336131959024,0.342559394522,0.368567275724,0.336131959024
mfeat-morphological,99.85,99.825,99.85,99.84,99.825,0.195615199109,0.190662111643,0.195615199109,0.194043967246,0.190662111643
mfeat-zernike,99.425,99.405,99.43,99.405,99.41,0.358034600996,0.360307408433,0.360838026866,0.318998752477,0.359846906223
mushroom,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
optdigits,99.3790457661,99.4768323442,99.3826092919,99.4857324938,99.4750687903,0.219529678825,0.225721148571,0.226023876159,0.225414484935,0.223971175605
page-blocks,96.2689385125,96.4242768338,96.2762327739,96.4937083978,96.3493407286,0.433964411775,0.432823536246,0.432617997455,0.439470802253,0.429090679012
pendigits,99.8062274151,99.7944059151,99.8098666749,99.7789406078,99.7962224399,0.0815824192491,0.0797034909495,0.0820389319177,0.0923487478707,0.077567323359
scene-classification,84.6277621541,84.9060119248,84.6028226479,84.7978256744,84.9225835555,1.26000745357,1.41121840755,1.26896597801,1.46833992205,1.38195795699
segment,99.658008658,99.70995671,99.658008658,99.7229437229,99.7142857143,0.231766601131,0.221299163081,0.231766601131,0.205296136954,0.21171605156
shuttle,99.8845317468,99.9001968978,99.8847287475,99.9124137728,99.9008865141,0.0231960310711,0.0192429258739,0.0235111254448,0.0215834998309,0.0196967204911
sonar,82.2435513059,83.365448505,82.3365205413,83.6930286579,83.403992113,4.85891408101,5.09256217267,5.08750175545,5.99363547142,5.28924848512
spambase,93.0625390625,93.2276715828,93.0777399312,93.1559252787,93.1776880644,0.826037173863,0.857711286796,0.801881045853,0.851109302806,0.819705438836
