,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.220749456742,0.220593272038,0.221905524135,0.0030387546666,0.00236234841095,0.00287239482753
autos,0.122008533784,0.140419234034,0.122532226342,0.024185084192,0.0185819523037,0.0242086585346
balance-scale,0.0254431331222,0.0255512700462,0.0255075973579,0.00804805254966,0.00799315123431,0.00805133959501
car,0.0386220926502,0.0388595938114,0.0386274046817,0.00753930719113,0.00757126484729,0.00751283061106
cleveland,0.125713271529,0.125686473353,0.125795448239,0.0289462301772,0.0290999988224,0.028688924944
credit-approval,0.10275349964,0.103071352463,0.102349672546,0.0203411258555,0.0203343292672,0.0201941144379
dermatology,0.00128395952938,0.000415042274827,0.00129001467078,0.0025420949903,0.0010222593119,0.00254990770013
diabetes,0.159506126396,0.160428739867,0.159970346678,0.0124768814995,0.0116340837426,0.0123824625697
ecoli,0.0264573452393,0.0257984665546,0.0269068825513,0.0182000316286,0.0181352844472,0.0177345330865
flare,0.14227636356,0.142398130123,0.142511705832,0.00747312340928,0.00709434515787,0.00756891364462
german,0.162967302863,0.163457682619,0.162811921385,0.00854014249335,0.00834024881772,0.00852712920783
glass,0.170342746455,0.17394915961,0.171426457799,0.0296327333665,0.0259898080597,0.0287029876301
heart-statlog,0.12287031383,0.122916775923,0.123011000647,0.0260676868321,0.0256059823195,0.0256362727561
hepatitis,0.11696884625,0.12103994401,0.116662234988,0.0291913749507,0.024230244221,0.0287094262405
horse,0.112577151875,0.114556235721,0.112520329379,0.0208469373033,0.0204727075984,0.0206735143453
ionosphere,0.0421750573648,0.0453071422418,0.0418800720315,0.0183547090108,0.0177656451303,0.0180160005386
iris,0.00162442053909,0.00173548330662,0.00163396602908,0.00343677362851,0.00363556354364,0.00346017789999
landsat-satellite,0.0092599951549,0.00921133687081,0.0091998436015,0.00213616957457,0.0021377987314,0.00211619784416
letter,0.00230072408303,0.00319079874879,0.0022989622224,0.000432558030454,0.000513963997702,0.000433542710972
libras-movement,0.0138478780608,0.0240206473147,0.0138901535671,0.0115956939793,0.0101064162186,0.0115808719622
lung-cancer,5.33567441186e-05,0.0228522391687,3.41376323025e-05,0.000166733996162,0.0159733112565,9.78675880454e-05
mfeat-karhunen,0.00397553509815,0.00472066086742,0.00397658582311,0.00268053567294,0.00289979095108,0.00265425446567
mfeat-morphological,0.0017459764762,0.00149893841671,0.001743570556,0.00182333781134,0.00195151424295,0.00182441938633
mfeat-zernike,0.00495673417325,0.00498226039668,0.00490551571206,0.00269579604495,0.00296824914093,0.00267408401094
mushroom,5.18349160236e-06,2.30948636168e-05,5.13240876212e-06,3.0138991551e-05,4.41618127453e-05,2.75398585912e-05
optdigits,0.00389735179411,0.00484729821177,0.00388638695238,0.00149887637091,0.00163627008972,0.00147232829089
page-blocks,0.0275383676472,0.0289995682932,0.0283087153457,0.00341416632466,0.00314248028224,0.0033885761683
pendigits,0.00147233301086,0.00150036091969,0.00145960495482,0.000541945993594,0.000591922872668,0.000528533847208
scene-classification,0.10728854123,0.109254137724,0.107424380976,0.0071350991062,0.00669942408292,0.00732241950711
segment,0.00280540019043,0.00289252519011,0.00279440031757,0.00178080528139,0.00193706172846,0.00178773024126
shuttle,0.00085762251864,0.000925992050332,0.000855932825089,0.000153715402962,0.000165671908332,0.000152750596341
sonar,0.111572020014,0.115033685842,0.112640214941,0.0268246212884,0.024151677322,0.0266955187771
spambase,0.0547152620597,0.0555627856291,0.0550957732282,0.00584137845007,0.00592495211597,0.0058953385478
tic-tac,0.0879324197368,0.102292861062,0.0879704661871,0.0107301922966,0.011129059288,0.0108271639539
vehicle,0.0209774554837,0.021799582373,0.0209628616533,0.0076701078736,0.00802332619186,0.00763367603797
vowel,0.0162754029481,0.0200697094243,0.016344588927,0.00602819235836,0.00635209890885,0.00600213066931
waveform-5000,0.0722372394539,0.0723199549616,0.0721967622567,0.0045971222372,0.00462124302025,0.00462561738582
wdbc,0.0215802486929,0.0213973299508,0.0217955504678,0.00914732186189,0.00943820737685,0.00895266426753
wpbc,0.162944903375,0.164713493042,0.162960164378,0.0165883869043,0.0143895281592,0.0159469874405
yeast,0.171702155941,0.172691276928,0.172696774788,0.00906037089986,0.00744453206573,0.00936513563666
zoo,0.00219153915008,0.00377957010631,0.00220833141512,0.00433878700123,0.0067604271123,0.00436830464532
