,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.222699196228,0.220749456742,0.221905524135,0.212749545196,0.222273411261,0.00299116543479,0.0030387546666,0.00287239482753,0.0042340586522,0.00278161212126
autos,0.158098745537,0.122008533784,0.122532226342,0.118853774599,0.122973587261,0.0120339719229,0.024185084192,0.0242086585346,0.0254768308394,0.0243632131407
balance-scale,0.0673547212246,0.0254431331222,0.0255075973579,0.0263978984379,0.0254165164608,0.00538264383368,0.00804805254966,0.00805133959501,0.00828117454501,0.00809839706251
car,0.0854527980406,0.0386220926502,0.0386274046817,0.0374141091598,0.0387407638412,0.00393174297795,0.00753930719113,0.00751283061106,0.00657010849671,0.00761658884512
cleveland,0.146704051446,0.125713271529,0.125795448239,0.12789090796,0.125514285333,0.0179832628963,0.0289462301772,0.028688924944,0.0309919203157,0.0291819122401
credit-approval,0.127770704454,0.10275349964,0.102349672546,0.104135353873,0.10254183209,0.0119746791792,0.0203411258555,0.0201941144379,0.0205061714354,0.0203305189824
dermatology,0.0681349083892,0.00128395952938,0.00129001467078,0.00124775292899,0.00122703232672,0.00331164217118,0.0025420949903,0.00254990770013,0.00183575590485,0.00243685588
diabetes,0.165826927592,0.159506126396,0.159970346678,0.160563487419,0.160750507865,0.00875078297164,0.0124768814995,0.0123824625697,0.0127803784237,0.0126368782546
ecoli,0.0649681397038,0.0264573452393,0.0269068825513,0.0266258259368,0.0265463525875,0.010858212644,0.0182000316286,0.0177345330865,0.0191361985,0.0180140883127
flare,0.15325155796,0.14227636356,0.142511705832,0.146621813461,0.14245626349,0.00520911999135,0.00747312340928,0.00756891364462,0.00901558761165,0.00756641883511
german,0.170194278366,0.162967302863,0.162811921385,0.164065331912,0.163033445294,0.00585192114163,0.00854014249335,0.00852712920783,0.00909415400055,0.00864160611766
glass,0.180754732711,0.170342746455,0.171426457799,0.172767276787,0.171287402249,0.0183028491224,0.0296327333665,0.0287029876301,0.0362570229313,0.0292101460543
heart-statlog,0.145110655256,0.12287031383,0.123011000647,0.125463843927,0.122668203547,0.0158200276195,0.0260676868321,0.0256362727561,0.0273352042369,0.0261518728716
hepatitis,0.142777206505,0.11696884625,0.116662234988,0.120909199784,0.116730203881,0.0135025372709,0.0291913749507,0.0287094262405,0.0339253960542,0.02886174134
horse,0.143838814163,0.112577151875,0.112520329379,0.114295721204,0.112459481907,0.0109561353878,0.0208469373033,0.0206735143453,0.0224001442556,0.0210422274286
ionosphere,0.0954491396215,0.0421750573648,0.0418800720315,0.0440187482855,0.0418699471971,0.00842306056231,0.0183547090108,0.0180160005386,0.0188738865833,0.0182782678438
iris,0.0643787520326,0.00162442053909,0.00163396602908,0.00180801701662,0.00163978471487,0.00319937993663,0.00343677362851,0.00346017789999,0.00341307254784,0.00348293167584
landsat-satellite,0.0320948324502,0.0092599951549,0.0091998436015,0.00918440462657,0.00928990653013,0.00137008815425,0.00213616957457,0.00211619784416,0.00199838399455,0.00218694368612
letter,0.0164364742791,0.00230072408303,0.0022989622224,0.00225049375082,0.00229795294252,0.000399511362596,0.000432558030454,0.000433542710972,0.000434573318187,0.000443953102167
libras-movement,0.0756112563684,0.0138478780608,0.0138901535671,0.0138207158199,0.0138528453255,0.00404715093647,0.0115956939793,0.0115808719622,0.0112205074669,0.0115917113799
lung-cancer,0.0965903810923,5.33567441186e-05,3.41376323025e-05,0.00155263860032,4.64079098941e-05,0.00339469618677,0.000166733996162,9.78675880454e-05,0.00250548311998,0.000151000888316
