,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.632239846571,0.631760779039,0.634874508018,0.00643082493226,0.00510708150489,0.00607262130849
autos,0.381254203063,0.425545740618,0.3840344567,0.0607578626987,0.0456018236557,0.0611013731759
balance-scale,0.0864168486553,0.0869118069599,0.0864547120994,0.0225420712002,0.0221159525346,0.0223771960177
car,0.123676852309,0.124374211657,0.123755520094,0.0208129912794,0.0208717695687,0.020768563796
cleveland,0.40775083196,0.408796538104,0.406912404812,0.0860215034058,0.0861088265978,0.0821254945438
credit-approval,0.344718482936,0.345762723497,0.343297102941,0.0576502862372,0.0573090994425,0.0565295067453
dermatology,0.00362967235056,0.00161877878042,0.00364656921681,0.00636773212317,0.00285629365348,0.00638753248304
diabetes,0.483225879482,0.485909418294,0.486219364126,0.0291297785789,0.0269993279008,0.0288496177005
ecoli,0.125214270431,0.123443184584,0.12516469298,0.0976827203436,0.0944066146059,0.0965897369725
flare,0.445992689811,0.446288105338,0.446997864396,0.0187055332273,0.0177086365436,0.0189406638173
german,0.496348330299,0.497543340554,0.49584934863,0.022580301794,0.0221941987345,0.0221037262951
glass,0.520528973023,0.527738109006,0.522836958875,0.0774078816166,0.0684705046183,0.0735546443587
heart-statlog,0.400560551569,0.40120232705,0.3986117211,0.0719592725477,0.0707016702038,0.0689951246562
hepatitis,0.385669933947,0.394869099658,0.383722524846,0.0854832597124,0.074718437833,0.0828817653754
horse,0.374352856133,0.379448643508,0.373054806739,0.0579309233728,0.056014145906,0.0569210490274
ionosphere,0.159773374931,0.165238003096,0.158264350609,0.0651709599789,0.0586025705983,0.0639010285261
iris,0.00458939835322,0.00492733701417,0.00460809197651,0.0093925729675,0.00975433051687,0.00944151804435
landsat-satellite,0.0334638333917,0.0332948240003,0.0338792342947,0.00676947370428,0.00675127572432,0.00690798000619
letter,0.00861775167633,0.0114813065101,0.00860554643219,0.00160562244284,0.00185450547744,0.00159321983104
libras-movement,0.0856523787908,0.0933176829044,0.0855878193293,0.133531948202,0.0430693100191,0.133557141831
lung-cancer,0.000975616050839,0.06935227583,0.000739751416592,0.00186258333741,0.0450020792672,0.00136071049902
mfeat-karhunen,0.0188218217347,0.0217383684588,0.0187972669735,0.014169904954,0.0139543148357,0.0138875279435
mfeat-morphological,0.0118886461922,0.0123088833283,0.0118643832239,0.0156928348806,0.0166365009678,0.015710534285
mfeat-zernike,0.0235287746481,0.0235784276921,0.0226736473833,0.0125521305625,0.0129785468984,0.0116170626663
mushroom,7.34468191281e-05,0.000184580903068,7.61763662e-05,0.000177379869317,0.000257473275889,0.000175885321009
optdigits,0.0160758389997,0.0193081580579,0.0159871700634,0.0061126030003,0.0063144128867,0.00604329947504
page-blocks,0.101162982385,0.106632466327,0.108259303192,0.0114154869176,0.0105119792256,0.0122776736786
pendigits,0.00647750340888,0.00638161639372,0.00616942656778,0.00267481110779,0.00252735185035,0.00237417057619
scene-classification,0.346278171525,0.351394179804,0.346790710926,0.0193459639318,0.0178476937688,0.0198318158587
segment,0.0156582030816,0.0160363167757,0.0157620935872,0.0113589766193,0.0103438873794,0.0112033984606
shuttle,0.00441499283156,0.0046063093681,0.00446824983633,0.000796481171508,0.000818525059687,0.000817841452726
sonar,0.349455161722,0.358003343882,0.353508808454,0.0712402929182,0.0604149006012,0.0727386316949
spambase,0.198955066908,0.201260398349,0.201729996561,0.0202516863425,0.0205021210569,0.0210290419177
tic-tac,0.285362917346,0.329962742978,0.285400247354,0.0288043563875,0.0281196518116,0.0289486345129
vehicle,0.081138503496,0.0837615616505,0.0810937038641,0.0268090039212,0.0265124315571,0.0265141533294
vowel,0.0613298034388,0.0725088609171,0.0616457134852,0.02322785714,0.0220409825098,0.0233435179069
waveform-5000,0.232810269795,0.233413618661,0.232606869161,0.0138328837492,0.0139807609409,0.013845390004
wdbc,0.0816015995165,0.0825384255419,0.0837447351659,0.0337815105159,0.0339820695065,0.0349932882564
wpbc,0.50218179929,0.505428720287,0.501803091009,0.0416252779243,0.0385535833542,0.040005055183
yeast,0.512129048932,0.51382790358,0.516199324285,0.0213915899359,0.018230644152,0.021840499768
zoo,0.00711364103876,0.0123301506824,0.00714517564794,0.012872345967,0.0206913458521,0.0129421540233
