,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.639765010862,0.636270439149,0.0083871983641,0.00652475376579
abalone,beta,0.640578439315,0.632239846571,0.00880375409224,0.00643082493226
abalone,beta_ab,0.636507404366,0.631760779039,0.00627280375005,0.00510708150489
abalone,beta_am,0.640768308513,0.634874508018,0.00807981381968,0.00607262130849
abalone,isotonic,0.638784089849,0.616204462506,0.0137327812757,0.0193720443624
abalone,sigmoid,0.640529130954,0.635690208793,0.00797520488082,0.00585640991374
autos,None,0.790917293477,0.495888292703,0.0433567920954,0.0263714942156
autos,beta,0.819896663752,0.381254203063,0.066874749271,0.0607578626987
autos,beta_ab,0.779896456302,0.425545740618,0.0454445072139,0.0456018236557
autos,beta_am,0.81926761464,0.3840344567,0.0620280066516,0.0611013731759
autos,isotonic,0.822786046191,0.379802562868,0.0613700561958,0.154682295461
autos,sigmoid,0.819325654718,0.386680940905,0.0616085472194,0.0612114273179
balance-scale,None,0.969587688734,0.263671062799,0.0153503399841,0.0143196481715
balance-scale,beta,0.968950145492,0.0864168486553,0.0161731978407,0.0225420712002
balance-scale,beta_ab,0.969739987262,0.0869118069599,0.0147106469821,0.0221159525346
balance-scale,beta_am,0.968952705656,0.0864547120994,0.0165669512614,0.0223771960177
balance-scale,isotonic,0.967171893148,0.12900061772,0.0159412178968,0.125113044245
balance-scale,sigmoid,0.968952705656,0.0862980794991,0.0166443629897,0.0225289895596
car,None,0.941203790832,0.324200921253,0.014886759307,0.00941796250789
car,beta,0.942245597527,0.123676852309,0.0140538542171,0.0208129912794
car,beta_ab,0.940104852803,0.124374211657,0.0146483171239,0.0208717695687
car,beta_am,0.942304073128,0.123755520094,0.0144053922068,0.020768563796
car,isotonic,0.944328538782,0.130030959623,0.0153493831066,0.04257467966
car,sigmoid,0.942188130125,0.124652755624,0.0143243251877,0.0212066622816
cleveland,None,0.830981297487,0.46945939978,0.0470503281062,0.0397642230875
cleveland,beta,0.827274498344,0.40775083196,0.0461516730025,0.0860215034058
cleveland,beta_ab,0.829981492305,0.408796538104,0.0464495790542,0.0861088265978
cleveland,beta_am,0.826596532242,0.406912404812,0.0474437844951,0.0821254945438
cleveland,isotonic,0.828590882525,0.540604089187,0.0476213908413,0.331429020516
cleveland,sigmoid,0.826929865576,0.406270425654,0.0464394667734,0.0819973729018
credit-approval,None,0.863839516717,0.429769774605,0.0298419634736,0.0260955845189
credit-approval,beta,0.864001512482,0.344718482936,0.0302772900136,0.0576502862372
credit-approval,beta_ab,0.863993362871,0.345762723497,0.0294821066397,0.0573090994425
credit-approval,beta_am,0.864763750245,0.343297102941,0.0300585146301,0.0565295067453
credit-approval,isotonic,0.862936297799,0.479900556037,0.029597761573,0.228877999813
