,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,64.098347592,63.7418213777,64.0624193453,0.765458156123,1.12627856978,0.750179358741
autos,92.4036222412,93.0136789441,92.0271408715,4.1637515698,3.91349818614,4.16520024409
balance-scale,98.815362232,98.7992331997,98.863237296,1.11867835703,1.12249204669,1.10552726913
car,95.1154725097,95.0460747412,95.0056123135,1.02328209731,1.0831671155,1.0464614505
cleveland,81.3372881356,81.4373270992,81.539606468,4.2975231119,4.44397533566,4.37502044018
credit-approval,86.0658837346,86.4647128952,86.1881421378,2.87187960438,3.08187846461,3.00726343564
dermatology,99.6094380094,99.6372157872,99.6094380094,0.632789928671,0.618392145302,0.632789928671
diabetes,75.2722179781,75.6629318394,75.3761989644,3.51506409501,3.15471400015,3.12277660398
ecoli,95.4604994095,95.6692153312,95.6116705742,2.64044869007,2.52256834014,2.68778901357
flare,82.2456291301,82.2891073909,82.2891073909,1.1434001073,1.13316749267,1.13316749267
german,75.72,76.16,75.57,1.95395987259,2.28669621765,1.85442108245
glass,78.186204235,79.8028172086,79.116384778,6.12361692485,5.4338257353,5.30463920983
heart-statlog,80.6296296296,80.962962963,80.8888888889,5.05020842483,5.19812659929,5.17653960154
hepatitis,81.6454301075,81.5557795699,82.0931451613,4.06127718912,6.11889830731,3.95987120764
horse,81.7018616282,83.6443271279,82.8725571918,4.08302095686,4.17055318284,3.7505475006
ionosphere,92.7360160966,92.4233400402,92.8498993964,3.20677115338,2.92469110204,3.19681383597
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,98.1927351438,98.2036590329,98.1973874625,0.384371475228,0.38534642362,0.389568812034
letter,98.598007593,98.634302567,98.5788663711,0.145870141157,0.141731238261,0.138740116035
libras-movement,97.8333333333,97.6733333333,97.7733333333,1.62219581875,1.57141414135,1.61264841817
lung-cancer,94.2473684211,94.2473684211,94.2473684211,5.71651371286,5.71651371286,5.71651371286
mfeat-karhunen,99.34,99.37,99.305,0.403302691814,0.432246150583,0.392174731986
mfeat-morphological,99.015,99.8,98.17,5.41808432521,0.208248281959,7.98682588737
mfeat-zernike,99.145,99.12,99.145,0.440575921786,0.446757022032,0.452007991622
mushroom,100.0,99.9975369458,100.0,0.0,0.0174164231819,0.0
optdigits,98.8239492837,98.8417700653,98.8559418086,0.291690451437,0.292715387035,0.266253448683
page-blocks,96.1996622899,96.2124059423,96.2179071321,0.539160561922,0.544071202069,0.552240266491
pendigits,99.3550259805,99.3459205911,99.3531957958,0.125374162575,0.131085532763,0.130900426517
scene-classification,83.0614335409,82.9866758755,83.1030309794,1.53338498216,1.50126591624,1.52825042603
segment,99.70995671,99.7229437229,99.7056277056,0.233901987002,0.223149270905,0.23040118751
shuttle,99.995960659,99.9958621029,99.9957635953,0.00602816735817,0.00616385061646,0.00613566425537
sonar,83.2631877482,83.1724873727,83.5581395349,5.78299336429,5.47544052379,5.80014866227
spambase,93.9622045867,93.9469753627,93.9687286965,0.651038276453,0.678380865156,0.654028512596
tic-tac,83.4747375417,83.8711235973,83.3704612348,2.55202647359,1.95378031525,2.6358104303
vehicle,97.7660472829,97.8968662533,97.8015560284,0.878957814381,0.975300018767,0.947033801475
vowel,97.3232323232,97.3333333333,97.3939393939,1.18224888948,0.935394451408,1.08157747194
waveform-5000,88.1198484098,88.0537883738,88.0738103918,0.890271398983,0.886658729114,0.876511376461
wdbc,96.8891111966,97.0642554829,96.7670642555,1.93272700709,1.69623809992,1.91460422017
wpbc,76.9217948718,74.954048583,76.5587044534,2.41551987693,4.89681843382,1.95516941874
yeast,72.4693855949,72.5503581316,72.2542475425,2.18063402216,2.16235756211,1.98944153921
zoo,100.0,100.0,100.0,0.0,0.0,0.0
