,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,63.7394261682,64.098347592,64.0624193453,63.4977188502,63.8851877844,1.12308632173,0.765458156123,0.750179358741,0.247043092584,0.912721781123
autos,93.0136789441,92.4036222412,92.0271408715,85.6731469061,92.7159363295,3.91349818614,4.1637515698,4.16520024409,7.26670237132,3.93102040843
balance-scale,98.7992331997,98.815362232,98.863237296,98.3506675159,98.9273725226,1.12249204669,1.11867835703,1.10552726913,1.21878869285,1.03983333671
car,95.0460747412,95.1154725097,95.0056123135,94.7454630999,95.0575010082,1.0831671155,1.02328209731,1.0464614505,1.04194323831,1.06704881626
cleveland,81.4373270992,81.3372881356,81.539606468,73.8562439119,81.4723748295,4.44397533566,4.2975231119,4.37502044018,5.88252872426,4.32855657321
credit-approval,86.4647128952,86.0658837346,86.1881421378,83.5340895745,86.3726400826,3.08187846461,2.87187960438,3.00726343564,3.42520166964,2.97634308677
dermatology,99.6372157872,99.6094380094,99.6094380094,99.6372157872,99.6372157872,0.618392145302,0.632789928671,0.632789928671,0.618392145302,0.618392145302
diabetes,75.6629318394,75.2722179781,75.3761989644,69.0144300144,75.4155844156,3.15471400015,3.51506409501,3.12277660398,3.90277098783,3.12611610335
ecoli,95.6692153312,95.4604994095,95.6116705742,93.6014181325,95.7003836006,2.52256834014,2.64044869007,2.68778901357,5.85698455729,2.63023653199
flare,82.2891073909,82.2456291301,82.2891073909,82.2891073909,82.1162785686,1.13316749267,1.1434001073,1.13316749267,1.13316749267,1.23964752347
german,76.16,75.72,75.57,71.43,76.0,2.28669621765,1.95395987259,1.85442108245,1.36280772597,1.90327322778
glass,79.8028172086,78.186204235,79.116384778,70.8090707742,80.036150542,5.4338257353,6.12361692485,5.30463920983,4.76021492774,5.25093490148
heart-statlog,80.962962963,80.6296296296,80.8888888889,75.0740740741,80.8148148148,5.19812659929,5.05020842483,5.17653960154,5.81059829502,5.36665495581
hepatitis,82.1224462366,81.6454301075,82.0931451613,71.359811828,81.4204301075,6.21091458346,4.06127718912,3.95987120764,12.2749995874,4.36539331734
horse,83.6443271279,81.7018616282,82.8725571918,76.5579142354,83.378169862,4.17055318284,4.08302095686,3.7505475006,5.45981978154,4.15329466714
ionosphere,92.4233400402,92.7360160966,92.8498993964,87.4088531187,92.6229376258,2.92469110204,3.20677115338,3.19681383597,5.30029774191,2.94196720541
iris,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,98.2036590329,98.1927351438,98.1973874625,97.8866572086,98.1990199804,0.38534642362,0.384371475228,0.389568812034,0.408475989404,0.370224576612
letter,98.634302567,98.598007593,98.5788663711,98.4797181069,98.6231595341,0.141731238261,0.145870141157,0.138740116035,0.1343249572,0.145120824718
libras-movement,97.6733333333,97.8333333333,97.7733333333,97.8066666667,97.8133333333,1.57141414135,1.62219581875,1.61264841817,1.59376620084,1.5967086328
lung-cancer,94.4473684211,94.2473684211,94.2473684211,94.4473684211,94.0368421053,5.83742712416,5.71651371286,5.71651371286,5.83742712416,5.69412003704
mfeat-karhunen,99.37,99.34,99.305,99.285,99.355,0.432246150583,0.403302691814,0.392174731986,0.465684705458,0.39798600119
mfeat-morphological,99.8,99.015,98.17,98.99,99.795,0.208248281959,5.41808432521,7.98682588737,2.68734752771,0.212432462257
mfeat-zernike,99.12,99.145,99.145,98.875,99.115,0.446757022032,0.440575921786,0.452007991622,0.544569667213,0.44667136255
mushroom,99.9975369458,100.0,100.0,99.9975369458,99.9975369458,0.0174164231819,0.0,0.0,0.0174164231819,0.0174164231819
optdigits,98.8417700653,98.8239492837,98.8559418086,98.6335496612,98.8363923689,0.292715387035,0.291690451437,0.266253448683,0.413129707114,0.306553970289
page-blocks,96.2124059423,96.1996622899,96.2179071321,95.074128031,96.2069498854,0.544071202069,0.539160561922,0.552240266491,0.754313360101,0.542963332364
pendigits,99.3459205911,99.3550259805,99.3531957958,99.2449245212,99.3541181287,0.131085532763,0.125374162575,0.130900426517,0.141708918781,0.12101789875
scene-classification,82.9866758755,83.0614335409,83.1030309794,80.0662777164,83.1653406918,1.50126591624,1.53338498216,1.52825042603,0.894898839383,1.55577130056
segment,99.7229437229,99.70995671,99.7056277056,99.7056277056,99.70995671,0.223149270905,0.233901987002,0.23040118751,0.250291977054,0.233901987002
shuttle,99.9958621029,99.995960659,99.9957635953,99.9918227911,99.9955665995,0.00616385061646,0.00602816735817,0.00613566425537,0.00700958219816,0.00639170651498
sonar,83.1724873727,83.2631877482,83.5581395349,74.7551792129,83.2700483483,5.47544052379,5.78299336429,5.80014866227,6.30041301104,5.49223404579
spambase,93.9469753627,93.9622045867,93.9687286965,92.8100718455,93.9817674643,0.678380865156,0.651038276453,0.654028512596,1.04112196853,0.678480203122
tic-tac,83.8711235973,83.4747375417,83.3704612348,77.9942071544,83.6103734888,1.95378031525,2.55202647359,2.6358104303,3.60203679292,2.65992148104
vehicle,97.8968662533,97.7660472829,97.8015560284,97.1984939821,97.8135992034,0.975300018767,0.878957814381,0.947033801475,1.24541587629,0.940486510232
vowel,97.3333333333,97.3232323232,97.3939393939,96.7272727273,97.4545454545,0.935394451408,1.18224888948,1.08157747194,1.18660001257,0.906682717022
waveform-5000,88.0537883738,88.1198484098,88.0738103918,86.0058606799,88.1118603939,0.886658729114,0.890271398983,0.876511376461,1.30827555036,0.893191436171
wdbc,97.0642554829,96.8891111966,96.7670642555,96.3096575606,97.0465563678,1.69623809992,1.93272700709,1.91460422017,2.11949317974,1.65978326147
wpbc,75.4169365722,76.9217948718,76.5587044534,76.2495276653,76.1390013495,5.17681961473,2.41551987693,1.95516941874,1.38310929213,3.27306033812
yeast,72.5503581316,72.4693855949,72.2542475425,69.0691252808,72.5429861581,2.16235756211,2.18063402216,1.98944153921,0.691711994606,2.10804868948
zoo,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
