,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.213765120776,0.213839807799,0.213999097231,0.00378390428266,0.0039332095256,0.00377712800329
autos,0.0765800589115,0.076048651368,0.0822959697684,0.0217011508805,0.020249596558,0.0176332969415
balance-scale,0.00868746652724,0.00886510404851,0.00876120591129,0.00575074085481,0.0061906220106,0.00565953734677
car,0.0342571476636,0.0343538209804,0.0344039201579,0.00614297216609,0.00611663067749,0.0059449617133
cleveland,0.137578853211,0.137071674686,0.137689299723,0.019486412229,0.0192821033093,0.0189637601493
credit-approval,0.104395763275,0.10384121976,0.104305169193,0.0148708987924,0.0147673457077,0.0144543159711
dermatology,0.00372877731741,0.0066490880969,0.00357527510514,0.00600615658647,0.0177535610387,0.00587391234621
diabetes,0.162603600679,0.162273758279,0.162614013121,0.0114414885659,0.0111503569131,0.0110892906437
ecoli,0.0413109714222,0.0401432650268,0.0414286893819,0.0177443764798,0.016711531236,0.0161738249615
flare,0.130067692604,0.130147464725,0.130033133302,0.00824880967861,0.0080071161453,0.00807726474859
german,0.167591293301,0.167847613532,0.167467977572,0.00868591394069,0.00918472622672,0.00852794918761
glass,0.165087343217,0.165221312503,0.165638865946,0.0207118180011,0.019845829546,0.0189575410087
heart-statlog,0.141806384202,0.141390627338,0.141717158566,0.0230102643941,0.0226762942586,0.0224547023047
hepatitis,0.131269060979,0.13881865483,0.131349431702,0.0181821750025,0.0193175657379,0.0169246098913
horse,0.138618933017,0.141723580082,0.14011359564,0.0200169914218,0.0191368059216,0.0177688063797
ionosphere,0.0612732115045,0.0607474938864,0.0619681765909,0.0171540824189,0.016394977719,0.0156997612545
iris,1.85907187325e-10,2.12541215363e-10,2.1840422568e-10,0.0,0.0,0.0
landsat-satellite,0.0126876383914,0.0127047903914,0.0126639096483,0.00217341682056,0.00219471012785,0.00215616416952
letter,0.0103125247995,0.0102762256643,0.0104914395803,0.000715139455288,0.000702679344256,0.000673931508655
libras-movement,0.0206612518566,0.0201489224532,0.0206760077756,0.0131821479898,0.013580904147,0.0128951679843
lung-cancer,0.0491142002034,0.0483965183208,0.0484296340135,0.0443384712224,0.0449347196154,0.0449041190385
mfeat-karhunen,0.00538977861995,0.00513783495207,0.00567759785377,0.0027578377641,0.00291287427322,0.00253344316139
mfeat-morphological,0.0111700224962,0.00203945576807,0.0140292884632,0.0255205563894,0.00197203349625,0.0355506530049
mfeat-zernike,0.00789130706115,0.00771376564682,0.00782583973949,0.00328783665497,0.00334397132422,0.00322391679186
mushroom,1.18547338088e-05,1.81260144894e-05,1.62434597458e-05,4.11071729017e-05,5.91656095503e-05,5.32549593451e-05
optdigits,0.00911272906121,0.00909360339663,0.00918622676377,0.00180949691622,0.00178194870344,0.00165650053365
page-blocks,0.0279261048128,0.0279790069466,0.0278811479737,0.00338934435041,0.00329232427616,0.00341066113982
pendigits,0.00496054419995,0.00500041006231,0.00499804293924,0.00081801419361,0.000815172866998,0.000788880951963
scene-classification,0.120370043217,0.121666895482,0.120633272569,0.00578158190955,0.00599657155326,0.00559829981916
segment,0.00236990753159,0.00228693616406,0.00234795185723,0.00170448835515,0.00171045425814,0.00164007112005
shuttle,4.15084207251e-05,4.17102393977e-05,4.31732088749e-05,4.74379364822e-05,4.79614463879e-05,4.78849307094e-05
sonar,0.126768202375,0.12645261455,0.127394832264,0.0274939479398,0.0267820650784,0.0258402565267
spambase,0.0470003349045,0.0470531860152,0.0470127174794,0.00406604341334,0.00411227118986,0.00408811630995
tic-tac,0.109447107463,0.112823705533,0.109328043854,0.0142546551679,0.0132277222876,0.0142330012786
vehicle,0.0178890448369,0.0174342846772,0.0178583800301,0.00605691387141,0.00596811845921,0.00586421424381
vowel,0.0208145027187,0.0211795449595,0.0209970151919,0.00624683954567,0.00593907951452,0.00602001705583
waveform-5000,0.0824251434015,0.0825692312717,0.0825213776086,0.00542776029345,0.00549184305594,0.00545282447344
wdbc,0.0241522467794,0.0237182541967,0.0245759021624,0.0120429178209,0.0111775115307,0.0111785143636
wpbc,0.165484567175,0.17622289487,0.165623690924,0.0127910734269,0.0158377339768,0.0104460628129
yeast,0.175421513025,0.175374520116,0.175667082098,0.00792976516166,0.00787472524338,0.0072346669167
zoo,0.000276693455581,0.000276695449857,0.000276694873803,0.000512255961707,0.000512255518304,0.000512254683966
