,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.637394261682,0.615258102613,0.0112308632173,0.0109714159607
abalone,beta,0.64098347592,0.614152151706,0.00765458156123,0.00976268297567
abalone,beta_ab,0.637418213777,0.614274889614,0.0112627856978,0.0102949157808
abalone,beta_am,0.640624193453,0.614694688212,0.00750179358741,0.00933702764422
abalone,isotonic,0.634977188502,8.9813431383,0.00247043092584,3.13196832563
abalone,sigmoid,0.638851877844,0.616174059573,0.00912721781123,0.0088868322794
autos,None,0.930136789441,0.491699930457,0.0391349818614,0.46477303347
autos,beta,0.924036222412,0.296195930401,0.041637515698,0.0745088296711
autos,beta_ab,0.930136789441,0.298562027128,0.0391349818614,0.0708929568915
autos,beta_am,0.920271408715,0.314992556703,0.0416520024409,0.0658413885469
autos,isotonic,0.856731469061,1.91494684454,0.0726670237132,1.5063070173
autos,sigmoid,0.927159363295,0.258223694372,0.0393102040843,0.0716743406606
balance-scale,None,0.987992331997,0.0433564055367,0.0112249204669,0.011465613365
balance-scale,beta,0.98815362232,0.0310054576318,0.0111867835703,0.0177477871242
balance-scale,beta_ab,0.987992331997,0.0321055391417,0.0112249204669,0.0189166732536
balance-scale,beta_am,0.98863237296,0.0313126052745,0.0110552726913,0.0173774257941
balance-scale,isotonic,0.983506675159,0.36965445891,0.0121878869285,0.35732219658
balance-scale,sigmoid,0.989273725226,0.030037668963,0.0103983333671,0.0190732951233
car,None,0.950460747412,0.114943615439,0.010831671155,0.0137425266345
car,beta,0.951154725097,0.110072371231,0.0102328209731,0.0174834117859
car,beta_ab,0.950460747412,0.110099630911,0.010831671155,0.017316394973
car,beta_am,0.950056123135,0.110898345553,0.010464614505,0.0172050312132
car,isotonic,0.947454630999,1.35646143296,0.0104194323831,0.350248560302
car,sigmoid,0.950575010082,0.121505384985,0.0106704881626,0.0215789198982
cleveland,None,0.814373270992,0.534759610783,0.0444397533566,0.160907256974
cleveland,beta,0.813372881356,0.437598599114,0.042975231119,0.0477149268669
cleveland,beta_ab,0.814373270992,0.436648554066,0.0444397533566,0.0470766982545
cleveland,beta_am,0.81539606468,0.438175581253,0.0437502044018,0.0468520040702
cleveland,isotonic,0.738562439119,3.48070783255,0.0588252872426,1.36556643521
cleveland,sigmoid,0.814723748295,0.439607066974,0.0432855657321,0.0592163158704
credit-approval,None,0.864647128952,0.360831240741,0.0308187846461,0.0793944314576
credit-approval,beta,0.860658837346,0.350039137196,0.0287187960438,0.0407464090946
credit-approval,beta_ab,0.864647128952,0.348837148871,0.0308187846461,0.0401252786153
credit-approval,beta_am,0.861881421378,0.349302345995,0.0300726343564,0.0386736230653
credit-approval,isotonic,0.835340895745,3.27566354243,0.0342520166964,0.853719900548
