,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,63.6485600883,63.0211601448,63.6485600883,0.266475561434,1.22757427426,0.271912266037
autos,92.2122044894,92.2814036045,92.2182650955,3.57409040434,3.81794159202,3.6231409791
balance-scale,99.1040300726,99.0071247487,99.1040300726,0.976621632715,0.879005489261,0.976621632715
car,95.1211520366,95.0344804409,95.1269323834,1.1774795927,1.11021120243,1.18234967072
cleveland,77.261757257,77.3708747321,77.2284434054,5.9189670872,5.18089113898,5.74258278386
credit-approval,82.7746739266,83.464161284,82.8055605972,2.53688648656,2.72954981666,2.53023763265
dermatology,97.8962462462,99.3824538825,96.6080652081,4.83885584877,1.10975541798,6.48250235616
diabetes,70.8604532722,73.9708004414,70.6653085477,2.78376631721,2.95044844242,2.90958210862
ecoli,95.0798944042,95.1712164501,94.9301490598,2.75608517059,2.6828688817,2.79957051195
flare,82.3032901303,82.165920643,82.3032901303,1.16795916073,1.32985166816,1.16795916073
german,70.42,73.49,70.38,0.87691481447,2.44007778397,0.854519795928
glass,74.4624953858,78.5713127957,74.5170408403,5.82653503717,4.75219636473,5.26526614578
heart-statlog,74.7407407407,74.8148148148,74.6666666667,5.09916774737,5.17058737717,5.20350935583
hepatitis,80.8602150538,81.2936827957,81.1182795699,3.59874367664,6.3240545575,3.45257637649
horse,80.2994905992,81.7062332129,80.166703714,3.29660653003,4.56129821452,3.43608154966
ionosphere,92.538028169,92.8519114688,92.538028169,2.80309399463,2.60275206495,2.72821786718
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,98.6060696443,98.5020213253,98.6045192567,0.379769617878,0.528084602436,0.379287601348
letter,99.1862961895,99.1837264761,99.1848680654,0.0959982650506,0.0980914664607,0.0951836142133
libras-movement,97.28,97.5533333333,97.4333333333,1.94873061771,1.60866418295,1.6388840847
lung-cancer,94.0473684211,94.0473684211,94.0473684211,5.35892728492,5.35892728492,5.35892728492
mfeat-karhunen,99.115,99.22,99.12,0.468959986979,0.433424898751,0.469041575982
mfeat-morphological,99.56,99.72,99.745,1.39748316043,0.212132034356,0.234139762901
mfeat-zernike,99.065,99.07,99.065,0.462386224285,0.434600449862,0.4568358344
mushroom,100.0,100.0,100.0,0.0,0.0,0.0
optdigits,98.8488559401,98.8399573808,98.8470971481,0.268667240992,0.296507516579,0.271878747047
page-blocks,96.5468286169,96.7386900625,96.5395243382,0.478033612191,0.504885265768,0.479292814409
pendigits,99.6588490964,99.6224084574,99.6542999158,0.101600542744,0.208070603695,0.105972819774
scene-classification,80.727021887,80.6026698499,80.5899283779,0.92643986317,2.67230324594,0.978690221204
segment,99.7445887446,99.7532467532,99.7575757576,0.225917185623,0.190662832523,0.212617358536
shuttle,99.9975370477,99.9977340726,99.9977341018,0.00509883199009,0.00509495173741,0.00509493622293
sonar,81.5173810874,81.5683764147,81.4220889717,6.52566279626,6.20074836213,6.66166095238
spambase,94.1033507837,94.0207089092,94.0990124043,0.680542761344,0.713246456558,0.685229648563
tic-tac,94.8137461682,91.7136932697,94.8242173724,1.64978531579,2.20378625456,1.6545113208
vehicle,97.4346515552,97.5051029764,97.4348604107,1.05019200659,1.0889763434,1.07660418408
vowel,97.9191919192,97.8080808081,97.898989899,0.845357490094,0.857402752345,0.818577466302
waveform-5000,88.3540565741,88.018004214,88.3580565741,0.7948260046,1.70551108484,0.792463063319
wdbc,96.5894574836,96.8695652174,96.641323586,1.88316529161,1.82705782745,1.84279167297
wpbc,76.4980431849,75.0457489879,76.4493927126,2.35294017301,4.29419335683,2.34570216403
yeast,69.1647786604,72.78718747,69.1645738915,0.611167222027,2.39830092099,0.618183457346
zoo,100.0,100.0,100.0,0.0,0.0,0.0
