,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_ab,beta_am,sigmoid,None,beta,beta_ab,beta_am,sigmoid
dataset,,,,,,,,,,
abalone,63.0331161714,63.6485600883,63.0211601448,63.6485600883,63.6437753924,1.22820210817,0.266475561434,1.22757427426,0.271912266037,0.279524159017
autos,92.2814036045,92.2122044894,92.2814036045,92.2182650955,92.2182650955,3.81794159202,3.57409040434,3.81794159202,3.6231409791,3.6231409791
balance-scale,99.0071247487,99.1040300726,99.0071247487,99.1040300726,99.1195159417,0.879005489261,0.976621632715,0.879005489261,0.976621632715,0.94472895498
car,95.0344804409,95.1211520366,95.0344804409,95.1269323834,95.1153380831,1.11021120243,1.1774795927,1.11021120243,1.18234967072,1.18574148028
cleveland,77.3708747321,77.261757257,77.3708747321,77.2284434054,77.2284434054,5.18089113898,5.9189670872,5.18089113898,5.74258278386,5.74258278386
credit-approval,83.5560027759,82.7746739266,83.464161284,82.8055605972,82.8055605972,2.70945866904,2.53688648656,2.72954981666,2.53023763265,2.53023763265
dermatology,99.3824538825,97.8962462462,99.3824538825,96.6080652081,99.4102316602,1.10975541798,4.83885584877,1.10975541798,6.48250235616,1.10743416065
diabetes,73.9708004414,70.8604532722,73.9708004414,70.6653085477,70.6652236652,2.92996122715,2.78376631721,2.95044844242,2.90958210862,2.86846719331
ecoli,95.1712164501,95.0798944042,95.1712164501,94.9301490598,94.9310403254,2.6828688817,2.75608517059,2.6828688817,2.79957051195,2.78004962053
flare,82.1731670198,82.3032901303,82.165920643,82.3032901303,82.3032901303,1.33329627129,1.16795916073,1.32985166816,1.16795916073,1.16795916073
german,73.48,70.42,73.49,70.38,70.39,2.44523693606,0.87691481447,2.44007778397,0.854519795928,0.846903121944
glass,78.6178244236,74.4624953858,78.5713127957,74.5170408403,74.4715862948,4.76852713347,5.82653503717,4.75219636473,5.26526614578,5.35021910732
heart-statlog,74.8148148148,74.7407407407,74.8148148148,74.6666666667,74.6666666667,5.17058737717,5.09916774737,5.17058737717,5.20350935583,5.20350935583
