,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,63.0331161714,63.6485600883,63.6485600883,63.60266436,63.6437753924,1.22820210817,0.266475561434,0.271912266037,0.645727024632,0.279524159017
autos,92.2814036045,92.2122044894,92.2182650955,90.9061191728,92.2182650955,3.81794159202,3.57409040434,3.6231409791,5.05234024861,3.6231409791
balance-scale,99.0071247487,99.1040300726,99.1040300726,99.0711226006,99.1195159417,0.879005489261,0.976621632715,0.976621632715,0.986957179212,0.94472895498
car,95.0344804409,95.1211520366,95.1269323834,95.1211856432,95.1153380831,1.11021120243,1.1774795927,1.18234967072,1.09164096999,1.18574148028
cleveland,77.3708747321,77.261757257,77.2284434054,76.2801480616,77.2284434054,5.18089113898,5.9189670872,5.74258278386,5.54716124966,5.74258278386
credit-approval,83.5560027759,82.7746739266,82.8055605972,83.0644015018,82.8055605972,2.70945866904,2.53688648656,2.53023763265,2.80040699014,2.53023763265
dermatology,99.3824538825,97.8962462462,96.6080652081,98.9608108108,99.4102316602,1.10975541798,4.83885584877,6.48250235616,1.85201042396,1.10743416065
diabetes,73.9708004414,70.8604532722,70.6653085477,74.3225532637,70.6652236652,2.92996122715,2.78376631721,2.90958210862,2.79029468708,2.86846719331
ecoli,95.1712164501,95.0798944042,94.9301490598,94.6612799754,94.9310403254,2.6828688817,2.75608517059,2.79957051195,2.82901511639,2.78004962053
flare,82.1731670198,82.3032901303,82.3032901303,82.2158743895,82.3032901303,1.33329627129,1.16795916073,1.16795916073,1.19715756285,1.16795916073
german,73.48,70.42,70.38,74.0,70.39,2.44523693606,0.87691481447,0.854519795928,2.26102739876,0.846903121944
glass,78.6178244236,74.4624953858,74.5170408403,76.4753095741,74.4715862948,4.76852713347,5.82653503717,5.26526614578,5.46490518506,5.35021910732
heart-statlog,74.8148148148,74.7407407407,74.6666666667,74.1851851852,74.6666666667,5.17058737717,5.09916774737,5.20350935583,5.33592046934,5.20350935583
hepatitis,81.4228494624,80.8602150538,81.1182795699,81.2603494624,81.0537634409,6.26132967011,3.59874367664,3.45257637649,4.46466543031,3.42634429391
horse,81.7062332129,80.2994905992,80.166703714,80.5989441512,80.2000370473,4.56129821452,3.29660653003,3.43608154966,4.00661076462,3.49156234903
ionosphere,92.8519114688,92.538028169,92.538028169,91.8837022133,92.5094567404,2.60275206495,2.80309399463,2.72821786718,3.32104765384,2.73228508521
iris,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,98.6091873166,98.6060696443,98.6045192567,98.5952229451,98.6045192567,0.37082866462,0.379769617878,0.379287601348,0.383700243215,0.380578753047
letter,99.1837264761,99.1862961895,99.1848680654,99.1677415556,99.1851531297,0.0980914664607,0.0959982650506,0.0951836142133,0.101644238158,0.0963050077745
libras-movement,97.5533333333,97.28,97.4333333333,96.1666666667,97.3333333333,1.60866418295,1.94873061771,1.6388840847,5.13679095498,1.85408784133
lung-cancer,94.8789473684,94.0473684211,94.0473684211,93.9421052632,93.8368421053,5.51548988207,5.35892728492,5.35892728492,5.18292497433,5.3269734844
mfeat-karhunen,99.22,99.115,99.12,99.065,99.13,0.433424898751,0.468959986979,0.469041575982,0.491794921586,0.463570878274
mfeat-morphological,99.72,99.56,99.745,98.385,98.945,0.212132034356,1.39748316043,0.234139762901,3.43905020704,5.6607514645
mfeat-zernike,99.07,99.065,99.065,99.025,99.05,0.434600449862,0.462386224285,0.4568358344,0.487732152991,0.457366016959
mushroom,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
optdigits,98.8417446909,98.8488559401,98.8470971481,98.8275174281,98.8470971481,0.294007418881,0.268667240992,0.271878747047,0.309466611396,0.271878747047
page-blocks,96.7807260145,96.5468286169,96.5395243382,96.7971593711,96.5322233924,0.491263403361,0.478033612191,0.479292814409,0.459048362166,0.478625664811
pendigits,99.666125143,99.6588490964,99.6542999158,99.6633970464,99.6552102481,0.097096268887,0.101600542744,0.105972819774,0.116236308372,0.106404842956
scene-classification,81.4080897048,80.727021887,80.5899283779,81.5825279357,80.5816296228,1.65865717511,0.92643986317,0.978690221204,1.23528076341,0.982136992678
segment,99.7532467532,99.7445887446,99.7575757576,99.7402597403,99.7532467532,0.190662832523,0.225917185623,0.212617358536,0.218647736916,0.214274782178
shuttle,99.9977340726,99.9975370477,99.9977341018,99.997635565,99.997635565,0.00509495173741,0.00509883199009,0.00509493622293,0.00509786110368,0.00509786110368
sonar,81.5683764147,81.5173810874,81.4220889717,80.6404937471,81.4220889717,6.20074836213,6.52566279626,6.66166095238,6.24913602773,6.66166095238
spambase,94.0620203946,94.1033507837,94.0990124043,94.1012123124,94.0990124043,0.678182394325,0.680542761344,0.685229648563,0.716207946686,0.685229648563
tic-tac,91.7136932697,94.8137461682,94.8242173724,94.7300844795,94.8242173724,2.20378625456,1.64978531579,1.6545113208,1.92603149597,1.64773509766
vehicle,97.5051029764,97.4346515552,97.4348604107,97.4221972999,97.4348604107,1.0889763434,1.05019200659,1.07660418408,1.10561772193,1.07660418408
vowel,97.8080808081,97.9191919192,97.898989899,97.898989899,97.9090909091,0.857402752345,0.845357490094,0.818577466302,0.879875972261,0.822700669212
waveform-5000,88.366044562,88.3540565741,88.3580565741,88.342046568,88.3560545721,0.834836306342,0.7948260046,0.792463063319,0.724858601745,0.795344559969
wdbc,96.8695652174,96.5894574836,96.641323586,96.5000384763,96.6410157753,1.82705782745,1.88316529161,1.84279167297,2.08772852892,1.8767479713
wpbc,75.2010121457,76.4980431849,76.4493927126,76.0309716599,76.5020242915,4.57944096455,2.35294017301,2.34570216403,4.01641019714,2.31166839044
yeast,72.8073216982,69.1647786604,69.1645738915,72.1279614417,69.1645738915,2.41424315565,0.611167222027,0.618183457346,1.74926481694,0.618183457346
zoo,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
