,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.222856763012,0.221939068504,0.222913952344,0.00213926639511,0.002885756825,0.00216552179444
autos,0.0816969893561,0.0769087770318,0.084057996553,0.0186372041062,0.0198326709678,0.0187135397196
balance-scale,0.00746545348748,0.0080042278708,0.00748728207911,0.00584437350561,0.00635483929939,0.00596158110961
car,0.0335576964921,0.0336679126269,0.0335542484806,0.00601528883121,0.00608507226703,0.00602205509937
cleveland,0.18001470176,0.176046275009,0.180454862439,0.0158614564168,0.0173489303816,0.01575368345
credit-approval,0.139358226766,0.135577006944,0.139704346331,0.0142779259696,0.0145556656764,0.0142578512041
dermatology,0.0210740474393,0.00948244769535,0.0299247345009,0.0184258744581,0.0105623283506,0.0263620271915
diabetes,0.191190305037,0.187719164317,0.191541824875,0.00915155086177,0.0118005964365,0.00915664318761
ecoli,0.0494375492747,0.0467957837068,0.0495927991786,0.0189471688721,0.0174680789148,0.0180553093258
flare,0.134163723999,0.139462779878,0.134234285221,0.00880224503552,0.0109031002463,0.00880769524224
german,0.192258114791,0.190197762614,0.19245012556,0.00572348987313,0.00837575010947,0.00571587642296
glass,0.183899635868,0.182124916923,0.184364015538,0.0174808577503,0.019548106363,0.0172481883031
heart-statlog,0.182148867286,0.179764408645,0.182450337023,0.0182522796503,0.0194334377586,0.0181186954273
hepatitis,0.132722741018,0.144083776692,0.132963266562,0.0155913726328,0.018002694471,0.0153707818265
horse,0.163959789125,0.165656202503,0.164549163636,0.0145629238025,0.0154043642413,0.0144730190804
ionosphere,0.0633069329429,0.06010785845,0.0634014742485,0.0150934499329,0.0148874331072,0.0149085240967
iris,1.85907166304e-10,1.85907166304e-10,1.85909621068e-10,0.0,0.0,0.0
landsat-satellite,0.0109485286504,0.0116738761281,0.0109565839293,0.00227645097172,0.00323549171918,0.00227298545077
letter,0.00621522008788,0.00620475481757,0.00621361675648,0.000625595033192,0.000639163340922,0.00062699318644
libras-movement,0.0396480103988,0.0295930233192,0.0350120480201,0.0252794945069,0.0147846990791,0.0104300106401
lung-cancer,0.0475255771717,0.0475020629415,0.0471985149144,0.0396581375507,0.0397033763079,0.0406594921387
mfeat-karhunen,0.00724478724845,0.00692321679682,0.00739031621476,0.0028265760238,0.00305717234329,0.00278939991176
mfeat-morphological,0.0179714061908,0.00481285517658,0.0269586737593,0.0220387387035,0.00311478573802,0.0321179678459
mfeat-zernike,0.00894325988053,0.00863515597726,0.00931939923174,0.00326753705371,0.00336248807285,0.00330028739625
mushroom,0.000258291252205,1.67722987141e-07,0.000240703670486,0.00182629853837,1.11415538938e-06,0.00170193448596
optdigits,0.00967261626228,0.00944038022188,0.00973767139258,0.00181379516309,0.00189491983831,0.00181666051612
page-blocks,0.0273129168556,0.0267399020538,0.0273612162157,0.00269237965355,0.00282544958899,0.00269854996095
pendigits,0.00331071343512,0.00370749478106,0.00333567945915,0.000691514412576,0.00154759852674,0.000696520041276
scene-classification,0.134275763672,0.141816021713,0.134722294875,0.00455074680467,0.0166142404251,0.00456640760797
segment,0.00224535667495,0.0020229193393,0.00225111539794,0.00149055137283,0.00146594151421,0.00146568379013
shuttle,2.13395820254e-05,1.83613599486e-05,2.20377790518e-05,5.31913175126e-05,4.82957765853e-05,5.67490172389e-05
sonar,0.137122203366,0.135850495057,0.137502760039,0.0254359160596,0.0266313522917,0.0251223399041
spambase,0.0527855645564,0.0523830826746,0.0529717908467,0.00386485472477,0.00408036544478,0.00388214642522
tic-tac,0.044862416052,0.0568707952798,0.0447918895039,0.00986025479838,0.0117068611015,0.00988762564859
vehicle,0.0213265582212,0.0207305466696,0.0214244304427,0.00620562889311,0.00641792613849,0.00620680841794
vowel,0.0179104779743,0.0180540887159,0.0180251464123,0.00529064951404,0.00517419410565,0.00526691152386
waveform-5000,0.0860529616351,0.088678267097,0.0861405966176,0.00450825133534,0.00985218328215,0.00451084568504
wdbc,0.0280447924366,0.026975756162,0.02856058893,0.00998356665194,0.0103253625125,0.00984987909817
wpbc,0.166446078176,0.17728466849,0.166620187876,0.014399113796,0.0188865524333,0.0141801611462
yeast,0.188066533065,0.192520493561,0.188178301988,0.00365966385465,0.00554056005984,0.00362703378839
zoo,0.000314675583799,0.000314688994455,0.000314284322931,0.000544954967701,0.000544986260654,0.000544664579924
