,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.24928629737,0.222856763012,0.215419177546,0.222961095603,8.45996030701e-05,0.00213926639511,0.0032866803077,0.00215014599007
autos,0.182269023068,0.0816969893561,0.0830232851366,0.0829854677769,0.0101214022296,0.0186372041062,0.0244461520174,0.0185861308458
balance-scale,0.225538630702,0.00746545348748,0.00747616668707,0.00745602031866,0.00135335242741,0.00584437350561,0.00602356819213,0.0057658657614
car,0.228643528423,0.0335576964921,0.0340393988449,0.0335587317799,0.000751136891579,0.00601528883121,0.00597798645534,0.00597226857622
cleveland,0.242976776095,0.18001470176,0.174288513954,0.180405069427,0.0013454957843,0.0158614564168,0.0216438147553,0.0157607518836
credit-approval,0.243153517289,0.139358226766,0.127692114438,0.13968290526,0.000911156585202,0.0142779259696,0.0155622188962,0.0142544177888
dermatology,0.00535070733301,0.0210740474393,0.0140728300258,0.00842156205809,0.0103670688049,0.0184258744581,0.0130572856035,0.0113655088581
diabetes,0.246656975607,0.191190305037,0.176544862844,0.191524704507,0.000726106013803,0.00915155086177,0.0115432759231,0.00914041067809
ecoli,0.168256096102,0.0494375492747,0.0515727393435,0.0486990761901,0.0199459966216,0.0189471688721,0.0201666762445,0.0177011069241
flare,0.2311802526,0.134163723999,0.133098835089,0.13408988289,0.0056039271321,0.00880224503552,0.00926120766017,0.00874480415317
german,0.247955116945,0.192258114791,0.178381802543,0.192506245621,0.000344353957706,0.00572348987313,0.00910785595491,0.00569683974789
glass,0.238452627643,0.183899635868,0.17485929603,0.184269115041,0.0025361598699,0.0174808577503,0.0244877345059,0.0172824102476
heart-statlog,0.241913765702,0.182148867286,0.180820017915,0.182400113988,0.00133713886711,0.0182522796503,0.0242947974949,0.0181296063894
hepatitis,0.215483488409,0.132722741018,0.132705029872,0.132683497915,0.00552757752774,0.0155913726328,0.019676652575,0.0155209952789
horse,0.235564922652,0.163959789125,0.154696013123,0.164424174628,0.00323372671089,0.0145629238025,0.0191161279346,0.014494398722
ionosphere,0.18752591571,0.0633069329429,0.067559627009,0.0632432517202,0.00743271446957,0.0150934499329,0.0183793708702,0.0149784185811
iris,4.93038065763e-32,1.85907166304e-10,0.0,1.85907377073e-10,0.0,0.0,0.0,0.0
landsat-satellite,0.212691059127,0.0109485286504,0.011002805755,0.0109613630019,0.00357172922499,0.00227645097172,0.00234982882163,0.00227149215616
letter,0.194604604211,0.00621522008788,0.00621727786577,0.00621994819449,0.000711612158965,0.000625595033192,0.000656633367916,0.000622273872831
libras-movement,0.093152134677,0.0396480103988,0.0466252960771,0.0395987938032,0.0196778776865,0.0252794945069,0.0298157207398,0.0244593873371
lung-cancer,0.0512105263158,0.0475255771717,0.0478773904215,0.0479122962392,0.0551548988207,0.0396581375507,0.0391778079024,0.0392541853803
mfeat-karhunen,0.155104768251,0.00724478724845,0.00724797832542,0.00735936405734,0.0094138526874,0.0028265760238,0.00314996238652,0.00278290954598
mfeat-morphological,0.0286710596534,0.0179714061908,0.0196434515325,0.0214578646488,0.0158358946283,0.0220387387035,0.0135123367234,0.0409176990659
mfeat-zernike,0.124556428857,0.00894325988053,0.00919304196271,0.0091739019566,0.0148982793085,0.00326753705371,0.00372080721955,0.00327880909985
mushroom,0.174548927494,0.000258291252205,0.00010118471364,0.000259366579851,0.00283030836692,0.00182629853837,0.000704405845964,0.00183395989662
optdigits,0.204304868066,0.00967261626228,0.00919297519573,0.0097354055194,0.00338094257086,0.00181379516309,0.00196216879376,0.00181603009022
page-blocks,0.236587716267,0.0273129168556,0.0255390360487,0.0273853166363,0.000593975709088,0.00269237965355,0.00312845064015,0.00269215621812
pendigits,0.149263736813,0.00331071343512,0.002843573661,0.0033411600378,0.00596693343527,0.000691514412576,0.000770592092537,0.000697110341131
scene-classification,0.232507817016,0.134275763672,0.12912784193,0.134714984977,0.00475071062716,0.00455074680467,0.00555889128321,0.00456235350641
segment,0.066686980639,0.00224535667495,0.00260214151387,0.00222315693649,0.00929529522266,0.00149055137283,0.00165533805457,0.0014857083662
shuttle,0.150286020239,2.13395820254e-05,0.000117672369786,2.15051411581e-05,0.00749062568804,5.31913175126e-05,0.0005593655921,5.53509404242e-05
sonar,0.220949155659,0.137122203366,0.139375840455,0.137397984792,0.00366939171656,0.0254359160596,0.0265730022721,0.0251875186299
spambase,0.231224725513,0.0527855645564,0.0464401093332,0.052960568704,0.00244842269388,0.00386485472477,0.00440196155669,0.00387983743652
tic-tac,0.247795485041,0.044862416052,0.0430688453926,0.0451005736689,7.88187507799e-05,0.00986025479838,0.011217996858,0.00981651278037
vehicle,0.203479228531,0.0213265582212,0.0218537426226,0.0214060928837,0.00332367074469,0.00620562889311,0.00701491375601,0.0062057890662
vowel,0.135336964191,0.0179104779743,0.0180276284486,0.0179745305176,0.00615525566313,0.00529064951404,0.00575513386484,0.00528122237511
waveform-5000,0.239168810741,0.0860529616351,0.0842792096709,0.0861772765779,0.00273011600353,0.00450825133534,0.00468718362456,0.00450110036171
wdbc,0.151163482701,0.0280447924366,0.0283795302234,0.0283730147367,0.0120624628631,0.00998356665194,0.0107816748927,0.00990905774261
wpbc,0.224267935612,0.166446078176,0.167128537443,0.166562117179,0.00488248879436,0.014399113796,0.0186262259727,0.0142432167296
yeast,0.240758454811,0.188066533065,0.175897779995,0.188184411378,0.000934867787313,0.00365966385465,0.0066492925698,0.00362249318224
