,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.638794503099,0.638438305015,0.638924097987,0.00698957374789,0.0100293118943,0.00706441914259
autos,0.312282412567,0.297274506772,0.318780611921,0.0696437119672,0.0642860213854,0.0677704503714
balance-scale,0.0284061220003,0.0326974474039,0.0302814040667,0.0238482752761,0.0390404343703,0.0355380598448
car,0.108462901713,0.108512036016,0.10843864124,0.0167646631848,0.0168914986528,0.0168025314329
cleveland,0.549920940752,0.540357003893,0.550887556216,0.0420131920037,0.0440368785376,0.0415874975377
credit-approval,0.466127649649,0.453567356169,0.466891525636,0.0549680089121,0.0518942416048,0.0548118123293
dermatology,0.106180410641,0.0712269638895,0.135114903967,0.0773103485331,0.0625700997575,0.0936444198625
diabetes,0.577899355113,0.568707021386,0.578245665595,0.0296012206294,0.0331329161317,0.0294221090573
ecoli,0.200014313734,0.190493950855,0.20119755094,0.0588926284145,0.0542978076861,0.0560849454644
flare,0.42366416993,0.450620729016,0.424138123971,0.0251968404421,0.0758034271468,0.0251333362973
german,0.573091596197,0.570652551583,0.573420492537,0.0164266070584,0.0241793344541,0.0162813122257
glass,0.555865089272,0.552821060898,0.556696245778,0.0462830373137,0.0497503617253,0.0454626890022
heart-statlog,0.555520720379,0.548339365404,0.556177536853,0.0476293245683,0.0512623397326,0.0471874992046
hepatitis,0.425619900181,0.455448386112,0.426230668763,0.0399900365435,0.0437320612303,0.0395508096686
horse,0.513662703977,0.517771188115,0.515394614954,0.0396994967205,0.0403726411934,0.0399653308567
ionosphere,0.242157348422,0.231309837753,0.243377869126,0.0465438932929,0.0458318518109,0.047680530587
iris,1.36348707782e-05,1.36348707782e-05,1.36349109412e-05,0.0,0.0,0.0
landsat-satellite,0.0468642167342,0.0483016675332,0.0470309942083,0.00869827660192,0.0115629938148,0.00873443776442
letter,0.0224513864515,0.0223193434041,0.0224409981468,0.00297814473303,0.00296179597959,0.00298646993813
libras-movement,0.180504029293,0.147734402287,0.172792907301,0.0779924637911,0.0598523820158,0.0373391916125
lung-cancer,0.212394164757,0.212419423844,0.203927943971,0.198435602873,0.198675826844,0.180128412811
mfeat-karhunen,0.0351789646617,0.0330756699386,0.0363546313398,0.0119919853297,0.0122477207571,0.0123585177381
mfeat-morphological,0.0916630671019,0.04684431288,0.126653654828,0.0822572044037,0.0263484139501,0.108948162397
mfeat-zernike,0.0447531431014,0.0429924597006,0.0478327654529,0.01086672989,0.0121008855632,0.0125270449045
mushroom,0.00114809210107,6.68597312725e-05,0.00109908694572,0.00788684422919,0.000246869062319,0.00753885700822
optdigits,0.0445954627801,0.0418997685165,0.0452881220905,0.00849265282569,0.00752936744229,0.00892160773975
page-blocks,0.109114702196,0.102953242866,0.109775006404,0.0143455795333,0.0124662805791,0.0146825050957
pendigits,0.017843000001,0.0187662528072,0.0182019093377,0.00472028091005,0.00596561859878,0.00497907251907
scene-classification,0.426050139367,0.455969180985,0.427618336067,0.0170042144999,0.102940387472,0.0172818758707
segment,0.0124625645295,0.0108821983122,0.0130387046875,0.00856754040426,0.00683814913681,0.00925514074491
shuttle,0.000434503216449,0.000314883948438,0.000480876287119,0.00128995157901,0.000951081657014,0.00150392855966
sonar,0.434597025874,0.430510426457,0.436340134569,0.0665666893736,0.0684397938932,0.0676531669279
spambase,0.215562964521,0.211500523417,0.216614321535,0.0230582831589,0.0254317014146,0.0232150131894
tic-tac,0.16841577986,0.194239999616,0.168238245221,0.0318101065038,0.0344698401727,0.0319640465713
vehicle,0.0874320419107,0.0849834242087,0.0879575906204,0.0205357592274,0.0212309221482,0.0206614809231
vowel,0.0705177905391,0.0700583682033,0.071089691163,0.0183951247567,0.017727681316,0.018535524477
waveform-5000,0.29502765453,0.296769133348,0.295670519741,0.0228722234979,0.0311179787062,0.0231754294624
wdbc,0.110179223818,0.106272725465,0.112908218514,0.0277878835846,0.0290662085195,0.0272873329978
wpbc,0.507048145153,0.530954279191,0.50759920638,0.0377328654878,0.0482967264807,0.0371263683213
yeast,0.547047824563,0.558477263752,0.547255692078,0.0127441869122,0.0175466194959,0.0126331099812
zoo,0.00870927174257,0.0087097317539,0.00871125611175,0.0135080167224,0.013508640233,0.0135091306333
