,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.691719355421,0.638794503099,0.623823288114,0.638974343791,0.000169810128137,0.00698957374789,0.0173000185448,0.00697464237767
autos,0.554310241442,0.312282412567,0.521598064358,0.314472270353,0.0218234701473,0.0696437119672,0.619159756487,0.0655976360963
balance-scale,0.644102701367,0.0284061220003,0.0362880352646,0.0284884840071,0.00272521173522,0.0238482752761,0.0866150370175,0.0237129540069
car,0.650321645307,0.108462901713,0.133877888419,0.108548120448,0.00151071682814,0.0167646631848,0.0768552494388,0.0165567351465
cleveland,0.679086850717,0.549920940752,0.590245130383,0.550761431667,0.00269808316375,0.0420131920037,0.184432540375,0.0415895013165
credit-approval,0.679432961645,0.466127649649,0.496654609125,0.466794249751,0.00183151959025,0.0549680089121,0.183037986923,0.054759143579
dermatology,0.0523311820189,0.106180410641,0.10521192268,0.0611061521212,0.113520642257,0.0773103485331,0.154273177238,0.0935333008391
diabetes,0.686459579097,0.577899355113,0.596003304581,0.578172961793,0.0014581424939,0.0296012206294,0.16589397903,0.0292959630806
ecoli,0.523909979573,0.200014313734,0.222160040467,0.19711260474,0.0488064627134,0.0588926284145,0.131401904375,0.0541165343842
flare,0.654319286482,0.42366416993,0.441607504697,0.423499433866,0.0124591663444,0.0251968404421,0.0878383360629,0.0248435038716
german,0.689056021717,0.573091596197,0.545183439878,0.57350760612,0.000689999234827,0.0164266070584,0.0418390971515,0.0161765786182
glass,0.669994574022,0.555865089272,0.555934712039,0.556486126691,0.00511211081097,0.0462830373137,0.138474602768,0.0455397670289
heart-statlog,0.676958467455,0.555520720379,0.625280031169,0.556038230857,0.00268370234176,0.0476293245683,0.262267529338,0.0471933829081
hepatitis,0.623486123708,0.425619900181,0.444750835103,0.425278723002,0.011355322626,0.0399900365435,0.165510046495,0.039906856182
horse,0.664205311011,0.513662703977,0.558371569887,0.515093784412,0.00652187629028,0.0396994967205,0.239030889586,0.0399653687488
ionosphere,0.565787669482,0.242157348422,0.359144418884,0.242404631369,0.0157876652184,0.0465438932929,0.2910054615,0.0471543601625
iris,2.22044604925e-16,1.36348707782e-05,1.11022302463e-16,1.36348785074e-05,0.0,0.0,0.0,0.0
landsat-satellite,0.618026206789,0.0468642167342,0.0468065251284,0.0470644146247,0.00736093454887,0.00869827660192,0.0141409114452,0.00869203225918
letter,0.580797211175,0.0224513864515,0.0224209440734,0.0224848054307,0.00146866077306,0.00297814473303,0.00346201036337,0.0029335472297
libras-movement,0.354148265245,0.180504029293,0.237717164443,0.180286053383,0.0520907185555,0.0779924637911,0.200101915948,0.0748437001744
lung-cancer,1.8458144604,0.212394164757,0.316656382252,0.215150312791,1.98798405581,0.198435602873,0.522240178602,0.202882453814
mfeat-karhunen,0.498528228928,0.0351789646617,0.0468760973466,0.0360890444297,0.0205566455413,0.0119919853297,0.0586905696591,0.0122218439659
mfeat-morphological,0.151158866026,0.0916630671019,0.111995630937,0.0941488311156,0.0657256065226,0.0822572044037,0.0558483420972,0.133034502153
mfeat-zernike,0.430901593486,0.0447531431014,0.0574684080935,0.0465307216755,0.0346064410251,0.01086672989,0.0305454935583,0.0116854213707
mushroom,0.540516101007,0.00114809210107,0.000750126558611,0.00113813607936,0.00590489187041,0.00788684422919,0.00483695945176,0.00790912005485
optdigits,0.601060636342,0.0445954627801,0.0456503842896,0.0452189140613,0.00694373256751,0.00849265282569,0.0159861684161,0.00884425340433
page-blocks,0.666303358173,0.109114702196,0.0978554536451,0.109817466747,0.00119151255204,0.0143455795333,0.0193344785378,0.0146078011074
pendigits,0.484373332158,0.017843000001,0.0185470545766,0.0181738768319,0.0133450081134,0.00472028091005,0.00928037855085,0.00491156911767
scene-classification,0.657872558977,0.426050139367,0.418730226945,0.427518196862,0.00972603661499,0.0170042144999,0.0365593520801,0.0172137562113
segment,0.289358871052,0.0124625645295,0.02569055468,0.0125667841108,0.0261981326351,0.00856754040426,0.0371994869964,0.00919414079891
shuttle,0.48725406744,0.000434503216449,0.00163845367929,0.000471484648625,0.0182474542857,0.00128995157901,0.00581499488911,0.0012795760968
sonar,0.634686231256,0.434597025874,0.482368839991,0.436018802785,0.0074042176627,0.0665666893736,0.22606324611,0.0675829733054
spambase,0.655395907759,0.215562964521,0.181034960879,0.216517118704,0.00500215671298,0.0230582831589,0.023894738432,0.0231819480431
tic-tac,0.688738083284,0.16841577986,0.170710431143,0.168971512532,0.000157641160991,0.0318101065038,0.0690516993923,0.0313874986004
vehicle,0.599508522543,0.0874320419107,0.130499263802,0.0878623253231,0.00678275025673,0.0205357592274,0.116567756873,0.0206137027379
vowel,0.452028336471,0.0705177905391,0.110511868681,0.0709164595347,0.0146591005378,0.0183951247567,0.0915573217081,0.0185228621073
waveform-5000,0.671442183782,0.29502765453,0.289051466382,0.295735483185,0.00549818795635,0.0228722234979,0.0380175842272,0.023071216502
wdbc,0.48935946498,0.110179223818,0.135135805872,0.111916227415,0.0267566568999,0.0277878835846,0.117300620604,0.0274237980719
wpbc,0.641166084402,0.507048145153,0.52324896253,0.507457500883,0.00996199669107,0.0377328654878,0.148760204581,0.0372674676268
yeast,0.674572951561,0.547047824563,0.543803578755,0.54725727597,0.00188974171508,0.0127441869122,0.0572534084945,0.012600281197
zoo,2.22044604925e-16,0.00870927174257,0.00869660877604,0.00870909861073,0.0,0.0135080167224,0.0135092608456,0.0135076542
