,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.630331161714,0.691719355421,0.0122820210817,0.000169810128137
abalone,beta,0.636485600883,0.638794503099,0.00266475561434,0.00698957374789
abalone,beta_ab,0.630211601448,0.638438305015,0.0122757427426,0.0100293118943
abalone,beta_am,0.636485600883,0.638924097987,0.00271912266037,0.00706441914259
abalone,isotonic,0.6360266436,0.623823288114,0.00645727024632,0.0173000185448
abalone,sigmoid,0.636437753924,0.638974343791,0.00279524159017,0.00697464237767
autos,None,0.922814036045,0.554310241442,0.0381794159202,0.0218234701473
autos,beta,0.922122044894,0.312282412567,0.0357409040434,0.0696437119672
autos,beta_ab,0.922814036045,0.297274506772,0.0381794159202,0.0642860213854
autos,beta_am,0.922182650955,0.318780611921,0.036231409791,0.0677704503714
autos,isotonic,0.909061191728,0.521598064358,0.0505234024861,0.619159756487
autos,sigmoid,0.922182650955,0.314472270353,0.036231409791,0.0655976360963
balance-scale,None,0.990071247487,0.644102701367,0.00879005489261,0.00272521173522
balance-scale,beta,0.991040300726,0.0284061220003,0.00976621632715,0.0238482752761
balance-scale,beta_ab,0.990071247487,0.0326974474039,0.00879005489261,0.0390404343703
balance-scale,beta_am,0.991040300726,0.0302814040667,0.00976621632715,0.0355380598448
balance-scale,isotonic,0.990711226006,0.0362880352646,0.00986957179212,0.0866150370175
balance-scale,sigmoid,0.991195159417,0.0284884840071,0.0094472895498,0.0237129540069
car,None,0.950344804409,0.650321645307,0.0111021120243,0.00151071682814
car,beta,0.951211520366,0.108462901713,0.011774795927,0.0167646631848
car,beta_ab,0.950344804409,0.108512036016,0.0111021120243,0.0168914986528
car,beta_am,0.951269323834,0.10843864124,0.0118234967072,0.0168025314329
car,isotonic,0.951211856432,0.133877888419,0.0109164096999,0.0768552494388
car,sigmoid,0.951153380831,0.108548120448,0.0118574148028,0.0165567351465
cleveland,None,0.773708747321,0.679086850717,0.0518089113898,0.00269808316375
cleveland,beta,0.77261757257,0.549920940752,0.059189670872,0.0420131920037
cleveland,beta_ab,0.773708747321,0.540357003893,0.0518089113898,0.0440368785376
cleveland,beta_am,0.772284434054,0.550887556216,0.0574258278386,0.0415874975377
cleveland,isotonic,0.762801480616,0.590245130383,0.0554716124966,0.184432540375
cleveland,sigmoid,0.772284434054,0.550761431667,0.0574258278386,0.0415895013165
credit-approval,None,0.835560027759,0.679432961645,0.0270945866904,0.00183151959025
credit-approval,beta,0.827746739266,0.466127649649,0.0253688648656,0.0549680089121
credit-approval,beta_ab,0.83464161284,0.453567356169,0.0272954981666,0.0518942416048
credit-approval,beta_am,0.828055605972,0.466891525636,0.0253023763265,0.0548118123293
credit-approval,isotonic,0.830644015018,0.496654609125,0.0280040699014,0.183037986923
