,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,64.0508301053,62.9471343175,63.9430482785,0.96320238531,1.36100179481,1.0975154155
autos,91.6635981949,91.470012903,91.5368647874,5.12889597171,4.79100666492,5.33292692228
balance-scale,90.693629563,90.8857729822,90.6621395477,2.42800778156,2.46815039354,2.32963825519
car,98.9465990052,98.9638728324,98.9697203925,0.686523891544,0.646525122161,0.662336249198
cleveland,81.8384765244,82.4148061562,81.9401714397,4.9225033217,4.80724799849,4.84350390807
credit-approval,87.9630722967,87.9481574405,87.9469919394,2.67021391727,2.71612515675,2.58514914974
dermatology,99.8595238095,99.9714285714,99.830952381,0.425752435624,0.20203050891,0.462482898555
diabetes,76.4446990918,76.4317120788,76.6008827774,3.09950463808,3.13684226905,3.22350832293
ecoli,96.2014322891,96.2936849297,96.2053709419,2.57402168892,2.52151132458,2.47765313999
flare,81.951077424,81.4603397226,81.6407995385,1.2219407896,1.26749132107,1.07843672255
german,76.76,76.63,76.78,2.10742128911,2.15901054435,2.09021041808
glass,83.4867764019,83.5979563073,83.5316789154,5.23238868216,4.71163957226,5.43796271275
heart-statlog,83.1481481481,83.1851851852,83.2222222222,5.05076272276,5.60996286294,5.21653947465
hepatitis,83.5057795699,82.7932795699,83.8327956989,5.58803111661,4.73352582526,5.5386778345
horse,86.0389923127,86.1384643883,86.1406501806,3.64993618553,3.66173991945,3.74060074323
ionosphere,93.3384305835,93.3951710262,93.0249496982,2.49883744452,2.31850024728,2.51117211288
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,98.7583878225,98.7210831331,98.7568036165,0.308100130403,0.303934555959,0.322389272249
letter,99.9408584648,99.8711480603,99.9405729952,0.0346295680147,0.0481526509642,0.0350290665918
libras-movement,97.1466666667,95.0,97.1133333333,1.63182632129,1.21405226514,1.68036547153
lung-cancer,100.0,97.2789473684,100.0,0.0,3.22020955248,0.0
mfeat-karhunen,99.27,97.69,99.295,0.367145636454,0.607268894481,0.35243323293
mfeat-morphological,99.81,99.85,99.8,0.223378511016,0.195615199109,0.225876975726
mfeat-zernike,99.03,98.79,99.04,0.418451957596,0.508499192302,0.444237480156
mushroom,100.0,100.0,100.0,0.0,0.0,0.0
optdigits,99.2348618245,98.6744641952,99.2295094605,0.245867153266,0.280464644307,0.245041845435
page-blocks,97.5973330984,97.593604964,97.5589451425,0.440934965538,0.409928034819,0.423710260828
pendigits,99.5569443715,99.561492726,99.556041492,0.11653453798,0.120084251304,0.11892360598
scene-classification,85.6623653537,83.9756708592,85.6082679512,1.27001914985,1.04648426455,1.2355430652
segment,99.7056277056,99.7272727273,99.7012987013,0.23040118751,0.238756921367,0.226762054636
shuttle,99.9982265718,99.9978324832,99.9980295275,0.00431052737424,0.00468492452771,0.004560623875
sonar,82.0223914864,80.7155551954,81.8273235556,6.05985728042,6.16231723057,5.72314811236
spambase,94.9902752721,95.0468301593,95.0250815514,0.655571959043,0.667905990285,0.694300449241
tic-tac,96.053627056,92.32660459,96.0745149269,1.41022975927,1.9527659472,1.42249427346
vehicle,98.653425616,98.6411652678,98.6770975704,0.74389996805,0.763711187283,0.729674754251
vowel,98.9797979798,97.5252525253,99.0101010101,0.71052253992,0.963953045879,0.706628833864
waveform-5000,89.2237332417,89.1057651978,89.2137672438,0.889599612385,0.910527237901,0.879260440848
wdbc,95.7106579454,95.8150057715,95.8854944209,1.87076185654,1.84871989962,1.92211399379
wpbc,77.221659919,78.2975708502,76.4994601889,2.05545196852,2.87829871403,1.03122383447
yeast,75.8520590889,76.0336354513,75.918857093,1.93756820186,1.9352746078,1.97939011363
zoo,99.2310321258,99.7994987469,99.049213944,1.78340859391,0.993514996456,2.32194315149
