,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_ab,beta_am,sigmoid,None,beta,beta_ab,beta_am,sigmoid
dataset,,,,,,,,,,
abalone,62.8370891645,64.0508301053,62.9471343175,63.9430482785,63.8376788518,1.42257943225,0.96320238531,1.36100179481,1.0975154155,1.14575768118
autos,91.0367440353,91.6635981949,91.470012903,91.5368647874,91.7749510498,4.95261055403,5.12889597171,4.79100666492,5.33292692228,5.18648319857
balance-scale,90.7255067251,90.693629563,90.8857729822,90.6621395477,90.6612403682,2.44271998502,2.42800778156,2.46815039354,2.32963825519,2.37724926189
car,98.9291907514,98.9465990052,98.9638728324,98.9697203925,98.9986557333,0.627864726478,0.686523891544,0.646525122161,0.662336249198,0.628035592744
cleveland,82.0769140853,81.8384765244,82.4148061562,81.9401714397,81.7700564972,4.75930122374,4.9225033217,4.80724799849,4.84350390807,4.90502012157
credit-approval,88.0397658321,87.9630722967,87.9481574405,87.9469919394,88.0092297016,2.78354447006,2.67021391727,2.71612515675,2.58514914974,2.73799921395
dermatology,99.9714285714,99.8595238095,99.9714285714,99.830952381,99.8873015873,0.20203050891,0.425752435624,0.20203050891,0.462482898555,0.38610061957
diabetes,76.522875817,76.4446990918,76.4317120788,76.6008827774,76.6140395552,3.05548979271,3.09950463808,3.13684226905,3.22350832293,3.1719159384
ecoli,96.3547311642,96.2014322891,96.2936849297,96.2053709419,96.1759591772,2.47828370141,2.57402168892,2.52151132458,2.47765313999,2.36813650285
flare,81.5611689694,81.951077424,81.4603397226,81.6407995385,81.1436692429,1.3017818734,1.2219407896,1.26749132107,1.07843672255,1.33933491584
german,76.57,76.76,76.63,76.78,76.75,2.11652873298,2.10742128911,2.15901054435,2.09021041808,2.08798799746
glass,82.9953370918,83.4867764019,83.5979563073,83.5316789154,83.2965418303,4.95676895605,5.23238868216,4.71163957226,5.43796271275,5.31734497575
heart-statlog,83.5925925926,83.1481481481,83.1851851852,83.2222222222,83.1851851852,5.33067141936,5.05076272276,5.60996286294,5.21653947465,5.24903992603
