,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_ab,isotonic,sigmoid,None,beta,beta_ab,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,62.8370891645,64.0508301053,62.9471343175,63.6317792408,63.8376788518,1.42257943225,0.96320238531,1.36100179481,0.649195157702,1.14575768118
autos,91.0367440353,91.6635981949,91.470012903,91.8246652053,91.7749510498,4.95261055403,5.12889597171,4.79100666492,4.56217494852,5.18648319857
balance-scale,90.7255067251,90.693629563,90.8857729822,90.9039751227,90.6612403682,2.44271998502,2.42800778156,2.46815039354,2.44783400331,2.37724926189
car,98.9291907514,98.9465990052,98.9638728324,98.9235448313,98.9986557333,0.627864726478,0.686523891544,0.646525122161,0.651201726585,0.628035592744
cleveland,82.0769140853,81.8384765244,82.4148061562,82.3390025326,81.7700564972,4.75930122374,4.9225033217,4.80724799849,5.0085696999,4.90502012157
credit-approval,88.0397658321,87.9630722967,87.9481574405,87.8261321376,88.0092297016,2.78354447006,2.67021391727,2.71612515675,2.7363837735,2.73799921395
dermatology,99.9714285714,99.8595238095,99.9714285714,99.8873015873,99.8873015873,0.20203050891,0.425752435624,0.20203050891,0.38610061957,0.38610061957
diabetes,76.522875817,76.4446990918,76.4317120788,76.1319073084,76.6140395552,3.05548979271,3.09950463808,3.13684226905,2.74757124607,3.1719159384
ecoli,96.3547311642,96.2014322891,96.2936849297,96.1724328655,96.1759591772,2.47828370141,2.57402168892,2.52151132458,2.31605237915,2.36813650285
flare,81.5611689694,81.951077424,81.4603397226,82.1094930686,81.1436692429,1.3017818734,1.2219407896,1.26749132107,1.06895053978,1.33933491584
german,76.57,76.76,76.63,76.35,76.75,2.11652873298,2.10742128911,2.15901054435,2.21370960247,2.08798799746
glass,82.9953370918,83.4867764019,83.5979563073,82.837252928,83.2965418303,4.95676895605,5.23238868216,4.71163957226,5.86657800164,5.31734497575
heart-statlog,83.5925925926,83.1481481481,83.1851851852,83.3333333333,83.1851851852,5.33067141936,5.05076272276,5.60996286294,5.67397105543,5.24903992603
hepatitis,84.3454301075,83.5057795699,82.7932795699,83.377016129,83.9536290323,5.27181217164,5.58803111661,4.73352582526,5.50816982703,5.44867903848
horse,86.0378994165,86.0389923127,86.1384643883,85.5417430768,86.0756599055,3.851004479,3.64993618553,3.66173991945,3.54945666885,3.94465177308
ionosphere,93.2808853119,93.3384305835,93.3951710262,93.138832998,93.2241448692,2.41215004146,2.49883744452,2.31850024728,2.35003422736,2.55050032551
iris,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,98.7210891977,98.7583878225,98.7210831331,98.7397203793,98.7443981308,0.303859649515,0.308100130403,0.303934555959,0.313900079253,0.305520122509
letter,99.8502936295,99.9408584648,99.8711480603,99.9382880149,99.9391446669,0.0514676780141,0.0346295680147,0.0481526509642,0.0355058065079,0.0350799173199
libras-movement,95.1733333333,97.1466666667,95.0,96.9866666667,97.12,1.32863116439,1.63182632129,1.21405226514,1.73526841226,1.63958957311
lung-cancer,96.9631578947,100.0,97.2789473684,100.0,100.0,3.1953604574,0.0,3.22020955248,0.0,0.0
mfeat-karhunen,97.69,99.27,97.69,99.31,99.255,0.619743198957,0.367145636454,0.607268894481,0.359137288285,0.369396916111
mfeat-morphological,99.85,99.81,99.85,99.795,99.79,0.195615199109,0.223378511016,0.195615199109,0.229740314801,0.238832192819
mfeat-zernike,98.785,99.03,98.79,99.015,99.05,0.507620499417,0.418451957596,0.508499192302,0.438602837405,0.43740888264
mushroom,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
optdigits,98.6673434729,99.2348618245,98.6744641952,99.2206125194,99.2384173799,0.28118025882,0.245867153266,0.280464644307,0.243648106292,0.247328154464
page-blocks,97.5972846693,97.5973330984,97.593604964,97.5899970922,97.5497508788,0.420293388472,0.440934965538,0.409928034819,0.407179390232,0.42060715576
pendigits,99.5596712275,99.5569443715,99.561492726,99.5424080294,99.5651328197,0.121723618896,0.11653453798,0.120084251304,0.117742693586,0.118098212244
scene-classification,83.9840560238,85.6623653537,83.9756708592,85.5210015513,85.6415060328,1.01557088603,1.27001914985,1.04648426455,1.26896853531,1.21374419689
segment,99.6926406926,99.7056277056,99.7272727273,99.6883116883,99.7012987013,0.266319764999,0.23040118751,0.238756921367,0.219346293766,0.239077078294
shuttle,99.9976354291,99.9982265718,99.9978324832,99.9984236453,99.9987191973,0.00479776599651,0.00431052737424,0.00468492452771,0.0043879245253,0.00419995469902
sonar,80.5783431921,82.0223914864,80.7155551954,81.9236150501,81.72976258,5.9982866754,6.05985728042,6.16231723057,5.92907150435,5.72438692776
spambase,94.9142662031,94.9902752721,95.0468301593,95.0815891796,95.1641790692,0.706987854904,0.655571959043,0.667905990285,0.689334364032,0.656553446401
