,mean,mean,mean,mean,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,62.4323723456,63.6267108392,63.6316504558,63.3993888297,1.28836330301,1.0448128189,0.772915412282,1.17189393895
autos,92.3323447126,91.9597779718,91.9670480074,92.1333481051,4.70618407544,5.09231143658,4.70896826044,5.16894057112
balance-scale,88.9674047432,88.936682777,89.4808612141,88.9357835975,2.43201388002,2.36848963641,2.7708655748,2.27276980364
car,99.0564592015,99.073901062,99.0277927141,99.0739682753,0.572753658467,0.613713949481,0.569139716661,0.584978997623
cleveland,81.8723553477,81.6717708942,81.9090979934,81.5694915254,4.95882131215,5.03455212224,4.76798642954,4.98197565848
credit-approval,88.0398832719,87.9323048453,87.8846331785,88.0242637769,2.58890671274,2.72439400816,2.74891975946,2.60760843967
dermatology,99.8880523381,99.7753539254,99.8039253539,99.7753539254,0.38359687393,0.520069851573,0.569550589085,0.520069851573
diabetes,76.5607333843,76.262116968,76.1965028436,76.4830659537,2.71920396876,2.92843539824,2.81334700498,2.93960034882
ecoli,96.4100271895,96.3195171372,96.2009388698,96.349873413,2.38117272689,2.24409929235,2.32154791127,2.421528107
flare,81.4174002566,81.8501752327,81.9722794174,81.065122895,1.35413384216,1.09617526874,1.10480818034,1.48176785362
german,76.4,76.46,76.34,76.52,2.31234486518,2.44080950105,2.43369208053,2.36893155973
glass,84.6049515084,84.4699838921,84.0609181516,84.7527400248,5.51691358874,5.28057731696,5.04619590468,5.11020987245
heart-statlog,82.3703703704,81.9259259259,81.962962963,81.962962963,5.22766317288,5.20512309733,4.72960829154,5.16801497916
hepatitis,83.8266129032,82.9309139785,83.5079301075,83.2475806452,5.31505935217,5.48850017413,5.07730443698,5.60081276118
horse,85.741178105,85.7411595814,85.4428174493,85.8444753172,3.88645743427,3.72113235686,3.68222189502,4.07188834733
ionosphere,93.3943661972,93.1661971831,93.1947686117,93.1094567404,2.33905793759,2.56331304627,2.38412967471,2.66294190413
iris,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
landsat-satellite,98.8516451057,98.8655793103,98.8438859961,98.8671658769,0.295218616694,0.293263776686,0.280891964962,0.28634164654
letter,99.8962892707,99.9448601021,99.9431470398,99.9457180219,0.0455181392387,0.02957063777,0.0328296205861,0.0306743335293
libras-movement,96.0933333333,97.1133333333,97.02,97.0866666667,1.50440019764,1.91379998576,1.91474763439,1.9009604924
lung-cancer,98.1157894737,100.0,100.0,100.0,2.95028243243,0.0,0.0,0.0
mfeat-karhunen,98.01,99.34,99.33,99.325,0.636796831086,0.330275086334,0.340467865366,0.347182537415
mfeat-morphological,99.85,99.805,99.805,99.785,0.195615199109,0.216005007501,0.227508690123,0.225933437913
mfeat-zernike,98.865,99.065,99.035,99.055,0.487627534338,0.409734857025,0.410356987442,0.414316501319
mushroom,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
optdigits,98.8238510403,99.2757305847,99.2650731464,99.2792814233,0.271633617643,0.251196614269,0.245024085284,0.248764506653
page-blocks,97.6246435634,97.6027056657,97.5771498238,97.6118548149,0.450560650463,0.443519357203,0.447961126493,0.449019254919
pendigits,99.6260696525,99.6306275248,99.6233448651,99.6324436362,0.11384072507,0.11169135695,0.117381279726,0.118380791195
scene-classification,84.5449476727,85.6706727714,85.4130829042,85.6332332652,1.09965513645,1.30128021752,1.35487175427,1.39823842546
segment,99.7489177489,99.7012987013,99.6926406926,99.7229437229,0.202104324531,0.199868430565,0.227603787503,0.195759947945
shuttle,99.9988177534,99.9990147977,99.9990147977,99.9990147977,0.00404984862896,0.003980779095,0.003980779095,0.003980779095
sonar,82.1629797693,83.0670664182,83.304108257,82.6779299354,5.58767163631,5.62974709995,5.69172067388,5.55907782121
spambase,95.3445549912,95.3010955826,95.3315729343,95.3445691689,0.672016034787,0.70763514806,0.659481577689,0.633515057888
tic-tac,94.884818732,96.9607632201,96.9711798868,96.9712889618,1.32553285614,1.42177322185,1.37932834298,1.4033192738
vehicle,98.7712126281,98.7471229628,98.7001346405,98.7352886433,0.713327804255,0.72367253257,0.665617791531,0.746287119433
vowel,98.1111111111,99.1717171717,99.1818181818,99.2323232323,0.852531798275,0.775470640262,0.762814293797,0.791943592151
waveform-5000,88.9398030238,89.0777791358,89.0377931218,89.0857451457,0.978221445389,0.878212185183,0.918202014098,0.870911800537
wdbc,96.0252404771,96.0087726048,95.9028857253,96.0609465179,1.92741376964,1.99459933492,1.96779416357,2.08141395231
wpbc,78.30951417,77.4281376518,78.0424426451,77.3228744939,3.28616358639,3.03036152619,4.15057438284,2.29897718884
yeast,75.6913696484,75.7859945871,75.4012265364,75.7377810331,2.1607565217,2.11529747515,2.15140200192,2.09370305498
zoo,99.7894736842,99.1396901344,99.7129186603,99.7947368421,1.04183507222,2.26788204258,1.15088573072,1.01613697078
