,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.212486875205,0.212684470295,0.212771945686,0.00298825633165,0.00334623111146,0.00292052576557
autos,0.0686983233305,0.0690509914957,0.0697949152107,0.025980221173,0.0245732437042,0.0253289053877
balance-scale,0.0587235761242,0.0586521811139,0.0587929727068,0.00857891017203,0.00849764889612,0.00837095408646
car,0.00867644725625,0.00881106732785,0.0087535962103,0.00330262035429,0.00333975854904,0.00331547775605
cleveland,0.12488113597,0.124275118871,0.124324589356,0.025265997361,0.0248220808681,0.0242496719908
credit-approval,0.0918287136797,0.0916925413385,0.09288896353,0.0166129028148,0.0162462457348,0.0156320549167
dermatology,0.0010658601284,0.000727975341424,0.00108251131922,0.00171862147941,0.0010719875917,0.00175768244594
diabetes,0.158966340692,0.158742450734,0.158551626769,0.0114449756669,0.01122768398,0.0114663059377
ecoli,0.0328595779063,0.0326356199455,0.0343264929723,0.019918760778,0.0192496471017,0.0184203181095
flare,0.134122636564,0.13426473527,0.139069820438,0.00757370642188,0.00787653906639,0.00671962102042
german,0.159875793547,0.160253130127,0.159984604466,0.00900050662046,0.00874143733031,0.008677447625
glass,0.123123139933,0.124121374085,0.123741391808,0.0285740294111,0.0284323044643,0.0279371132354
heart-statlog,0.122961568996,0.122845264904,0.122468295573,0.0262318744182,0.0264392900416,0.0253890910236
hepatitis,0.113712565058,0.115678284408,0.112957645752,0.0278056478019,0.0233130997415,0.0272161770602
horse,0.10121986824,0.101006739948,0.101908214744,0.0212709400197,0.0211821677901,0.0206206157282
ionosphere,0.0503059144451,0.0501522438112,0.0514108278688,0.0163669303299,0.0156645867695,0.0155426755625
iris,0.000179115727217,1.24103337535e-05,2.17588743867e-06,0.000573873257104,4.72299838107e-05,8.55296346586e-06
landsat-satellite,0.00857758404448,0.0088694759681,0.00857824642435,0.00189660583226,0.00180191820786,0.00180140258919
letter,0.000601524381381,0.00120072658672,0.000603221005984,0.000230650123927,0.000329288593874,0.000227100134946
libras-movement,0.0262143243488,0.0348989415995,0.026316667804,0.0115397280003,0.00806052916513,0.0113207513274
lung-cancer,0.000217259815549,0.0217023737695,0.000234659724002,0.000599624149661,0.0190253207793,0.000625746105901
mfeat-karhunen,0.00563641690243,0.0168796600518,0.00561936400115,0.00266167780435,0.00423525788112,0.00259841973771
mfeat-morphological,0.00180347272034,0.00161149250059,0.00240306324139,0.00195131649155,0.00193845462695,0.00182894750644
mfeat-zernike,0.0078020113996,0.00918172051273,0.00791039760364,0.00308426575241,0.00359388022986,0.00284711628675
mushroom,1.23170747791e-05,1.57452417002e-05,1.32974969811e-05,1.93000913806e-05,2.83793337928e-05,2.11989210835e-05
optdigits,0.00612249154909,0.0102224846108,0.00612212331448,0.00171087201784,0.00205406304903,0.00169439441017
page-blocks,0.018967965683,0.0191859472435,0.0197685968297,0.00242609314365,0.00238496771679,0.00228345533081
pendigits,0.00345476487765,0.00342965537698,0.00350320332535,0.000801381220139,0.000793839091894,0.000775539044017
scene-classification,0.105413421596,0.111895895287,0.105994819399,0.0067963905054,0.00535022515619,0.00648390887037
segment,0.00233887163809,0.00239768543026,0.00237552602064,0.00156228490734,0.00163916296239,0.00159010794499
shuttle,3.09439816146e-05,3.1432457421e-05,3.44360260607e-05,2.80725137444e-05,2.95349854718e-05,2.90612415853e-05
sonar,0.12173585565,0.124045749374,0.121667459689,0.0291704169657,0.0272811027409,0.0284953610887
spambase,0.0375415971311,0.0373972067206,0.0381082088939,0.00449404559567,0.00437879710671,0.00416623600558
tic-tac,0.0308584014475,0.0501959307054,0.0309374835036,0.00806267135262,0.00991170283818,0.00806046543777
vehicle,0.0115024460743,0.0113619996324,0.0115924639329,0.00431882492122,0.00462401804222,0.0042689367977
vowel,0.00938645765702,0.0170532591023,0.00941320508988,0.00472998686293,0.00577963071202,0.00471943878084
waveform-5000,0.0748634253768,0.0755816845845,0.0749299691724,0.0050933095607,0.00502573443432,0.00506390186909
wdbc,0.0308937416259,0.0306877116782,0.031862308598,0.0128123446468,0.0124120766003,0.011528267382
wpbc,0.172768775569,0.171516861847,0.17487516862,0.012918980875,0.0156594843093,0.0110989525876
yeast,0.16025342494,0.160276353502,0.159919134347,0.00756143357861,0.00753443084142,0.00746164970486
zoo,0.00488543713659,0.00198059254364,0.00491806744145,0.00693171618104,0.00412089525213,0.00743724520549
