,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.616431763443,0.618423375696,0.618114006164,0.016100540675,0.0190585846103,0.0140494224985
autos,0.200176641505,0.19965595317,0.200660330633,0.0943714842605,0.0795539604426,0.0895863567119
balance-scale,0.19216343249,0.192259103013,0.191654734753,0.0278828738852,0.028092076562,0.0272219689495
car,0.0270468429667,0.0278076006279,0.0269089812841,0.0143070752871,0.0139555949745,0.0140286331714
cleveland,0.403105351203,0.402075524502,0.398619367701,0.0872568148265,0.0854124776766,0.0779027220529
credit-approval,0.344324816744,0.34637664032,0.348731768426,0.0979225254774,0.100545390006,0.0954583869776
dermatology,0.00570420095879,0.00335341199833,0.00568343613788,0.00697217889906,0.00579473810368,0.0068969377087
diabetes,0.4861522356,0.485514121342,0.485086697982,0.0333742056862,0.0323049496689,0.0324321414421
ecoli,0.144554097278,0.152488204273,0.181013794536,0.127421303879,0.151185559302,0.192928021998
flare,0.420999595123,0.42204575946,0.44239540599,0.020836504549,0.0216038393262,0.0241555024394
german,0.488219333514,0.488243950727,0.488376317177,0.0276864056484,0.0267277122009,0.0281068224392
glass,0.375252491056,0.377224487535,0.373226041766,0.0803938921121,0.0794362295733,0.0779575451207
heart-statlog,0.407909493365,0.407072783007,0.403549043339,0.0885887934779,0.0843121595595,0.0814558558329
hepatitis,0.369864308015,0.372526628666,0.364936558838,0.0907051816369,0.0818251948011,0.087923626892
horse,0.354941408622,0.357679702487,0.363445767505,0.083469091824,0.0976261682065,0.114088862152
ionosphere,0.178206520181,0.175592209133,0.18449185414,0.0871317096895,0.0807559293537,0.100526135632
iris,0.00283915274544,0.000460512515104,0.000144656238059,0.00457516310025,0.000797097554882,0.000251200007181
landsat-satellite,0.0280944851582,0.0290447649605,0.0287711477461,0.00680242159126,0.00686719275644,0.00718831169516
letter,0.00188897804478,0.00293436433234,0.00187003338855,0.00109303650028,0.0010993287901,0.00108010347733
libras-movement,0.087693086134,0.10939191261,0.0860712277824,0.0479069045249,0.0345379837694,0.043609184918
lung-cancer,0.00287473827547,0.0557446982635,0.00311992142305,0.00610665160837,0.0527137631788,0.00666769147105
mfeat-karhunen,0.0209609296229,0.0474714398351,0.0211813969773,0.0103575210914,0.0121283654563,0.010836001197
mfeat-morphological,0.0160726755513,0.0165869259817,0.0279320880006,0.0393031477707,0.0396823412504,0.0430725159617
mfeat-zernike,0.0342897398847,0.037695114447,0.0370546220994,0.0162644582152,0.0177525657821,0.0184635867548
mushroom,8.58072335089e-05,8.70555406645e-05,8.47482277859e-05,7.38945205575e-05,7.97188560963e-05,7.60112616726e-05
optdigits,0.0207637583836,0.0319649683342,0.0207121735449,0.00638945476653,0.00689388883055,0.0063827699332
page-blocks,0.0770753637832,0.0793349803678,0.0927589752204,0.0190225751552,0.0188730599558,0.0239227841911
pendigits,0.0142084667908,0.0141665095581,0.0143550697117,0.00666629849813,0.00651570016553,0.0063025640008
scene-classification,0.336156488863,0.347901206037,0.337716413719,0.0199999002996,0.0155954416668,0.0199023185365
segment,0.00860970832994,0.00840795297613,0.00870581522492,0.00691943641404,0.00632464488866,0.00691928708337
shuttle,0.00010735337981,0.000105944811145,0.000124323418872,7.46105292133e-05,7.97551015339e-05,7.69280226989e-05
sonar,0.347674322339,0.354443085133,0.348191429423,0.0762630543984,0.0694151021678,0.0759560133324
spambase,0.142665174487,0.143824950443,0.149871891655,0.0255082125056,0.0253245893731,0.0227137447989
tic-tac,0.0705700802225,0.116777526192,0.0704604924351,0.0223759667895,0.0234541713809,0.0221050200849
vehicle,0.0406143480728,0.0401675724758,0.0400381084798,0.0177373930245,0.0183594957191,0.0170334890825
vowel,0.0240222007183,0.0419434216929,0.0237825460413,0.0166519732476,0.0171568074296,0.0155498107704
waveform-5000,0.237913427662,0.23973099342,0.237990896751,0.0159310637269,0.0154157078963,0.0158955105521
wdbc,0.120809157231,0.122784095054,0.145177420256,0.0678335796953,0.0719956338331,0.10060329031
wpbc,0.527215670057,0.520398559326,0.533020061567,0.0414960905583,0.0428490728243,0.0398231483054
yeast,0.480325177856,0.480378448432,0.479164643584,0.022233346871,0.0223787220255,0.0215419275397
zoo,0.0170623330573,0.00611915952973,0.0166059335581,0.0236019979553,0.0102493970774,0.0231200429382
