,mean,mean,mean,mean,mean,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta_ab,beta_am,sigmoid,None,beta,beta_ab,beta_am,sigmoid
dataset,,,,,,,,,,
abalone,0.613501939404,0.610853341037,0.611442945154,0.611534216254,0.613960024025,0.015204508042,0.00919229953592,0.0106446284038,0.00852013179494,0.00694045843464
autos,0.29955148138,0.242142125348,0.243111904498,0.244746089496,0.243155686338,0.0456114836616,0.0783312627453,0.0697337914659,0.0747736520106,0.0751897469865
balance-scale,0.208083402278,0.183793253052,0.183985519773,0.183871231913,0.188417738068,0.0180182197014,0.0208533594399,0.0206478773285,0.0204772673292,0.0229195550295
car,0.105731398601,0.0336269482009,0.0344237815069,0.0340623664871,0.0335374418688,0.0069173627281,0.00997403603528,0.0101478248677,0.0101499114579,0.010306179676
cleveland,0.402381975715,0.396372487102,0.395063768055,0.394021023462,0.394307651448,0.0520672749943,0.0697412164239,0.0683891973729,0.0661161829125,0.0676278126487
credit-approval,0.332256154827,0.324510856051,0.324347145666,0.32536856533,0.309713987308,0.0414006612541,0.0566995136682,0.0550658408774,0.0506037693577,0.0516795698778
dermatology,0.0362687579214,0.00414474835049,0.00332442232456,0.00418199979035,0.00298087997146,0.00773246833334,0.00496567937022,0.00365681982954,0.00505977877838,0.00443255403789
diabetes,0.478862975234,0.481048977914,0.480511045553,0.479508834791,0.483887316632,0.028123779443,0.0285207575505,0.0278754105492,0.0280986870421,0.0299920082204
ecoli,0.147444123854,0.135634905449,0.13726533594,0.155153019639,0.133440878446,0.0936357594836,0.0937751604191,0.0995729174818,0.122716660936,0.0807811385151
flare,0.495727830167,0.419766245107,0.419433458392,0.442420824303,0.423621947624,0.106640692198,0.0212461281004,0.0218329130288,0.0242000506718,0.0223423640136
german,0.491472325149,0.487737243623,0.488577175312,0.48754482694,0.487343800819,0.0201686948915,0.0240775508706,0.0233929028592,0.0241776558208,0.0234605546873
glass,0.401587624319,0.388978949784,0.392013420264,0.389397682161,0.395362201059,0.0556593093999,0.0717690647426,0.0709352065782,0.0690683882252,0.0760332225685
heart-statlog,0.402179947093,0.394408627757,0.393814113439,0.390732830224,0.390634427937,0.0532071251426,0.072709053304,0.0721346491866,0.0691175899367,0.069312488897
hepatitis,0.346075585153,0.358220243275,0.362801436099,0.354548429827,0.363881064638,0.0673212361107,0.0795117302774,0.0709463707529,0.0758084833323,0.0795990797997
horse,0.36239356356,0.347506818448,0.347160289826,0.350740404274,0.338747636848,0.0446618464779,0.0661535507015,0.0654523016023,0.0640674552098,0.0605940946593
ionosphere,0.207908484951,0.178965331201,0.177935944083,0.190369719799,0.178328797756,0.0393241161926,0.0599110225312,0.0543955253901,0.0610268028112,0.0539084834586
iris,0.00411967025221,0.00184051525667,0.000487256113482,0.000225135233539,1.42897595025e-05,0.00308177175749,0.00462431634129,0.00107644000937,0.00042581462327,2.39644870637e-06
landsat-satellite,0.0456752441,0.029397709872,0.0305633607818,0.0304173641004,0.0317106617149,0.00384972368979,0.00574739767858,0.00562251289774,0.00595272611361,0.00661354053399
letter,0.00987285891699,0.00275940548578,0.00468098291417,0.00277235011111,0.00284182624444,0.000679592409009,0.000981901171542,0.00114742833258,0.000974289113302,0.00124472102339
libras-movement,0.119442065653,0.0974951854138,0.117515065391,0.0972114821206,0.10010264039,0.0225250064115,0.0450385515194,0.034694988591,0.04351736814,0.0468778383672
lung-cancer,0.116970221877,0.0020191814239,0.0671827883662,0.00207675894423,0.0022172011694,0.014335418742,0.00354720140348,0.0556516755778,0.0036644480947,0.00443904604248
mfeat-karhunen,0.0926253561086,0.0227347833611,0.0565190410652,0.0229089091938,0.0227808193201,0.00560701190859,0.0113376206215,0.0132850151411,0.0112301761525,0.0114959088188
mfeat-morphological,0.0356739557133,0.016796149301,0.0163825266961,0.0310569060917,0.0136435767736,0.0590277607978,0.0392816767139,0.0392923123919,0.0432209946626,0.0173933575336
mfeat-zernike,0.0524507447502,0.0344025849434,0.0372206452026,0.0364464193658,0.0339539610351,0.00814849891693,0.0125025889512,0.0128649346018,0.0120987412006,0.0128603195066
mushroom,0.000672951395809,0.000271753848078,0.000288666660121,0.000276685621492,1.57620978979e-05,0.00025014489503,0.000155361248841,0.000188496854959,0.00016371894938,9.08429226354e-06
optdigits,0.0592497844041,0.0225327382562,0.0360381782966,0.0225952761377,0.0235209874495,0.00386185701343,0.00630267516504,0.00705027228816,0.00636680938718,0.00682201646665
page-blocks,0.0804717462633,0.0728235021455,0.0750833662019,0.0794288426348,0.0719471813418,0.0241714710281,0.0155147931404,0.0166253131718,0.0144622232166,0.0108429359447
pendigits,0.024956624853,0.0143917364465,0.014297968032,0.0144052367854,0.0135892087499,0.0019190964542,0.00378108353188,0.00377955879309,0.00320554563581,0.00329087409513
scene-classification,0.371542523653,0.337665136745,0.353270036499,0.339591228631,0.338242612144,0.011220956904,0.0191727272849,0.0149400667801,0.0189390896157,0.0192437537084
segment,0.0162059308002,0.00949014079223,0.00977262249311,0.00962720629484,0.0100155442053,0.00425736826783,0.00723648533635,0.00660395570217,0.00717092924974,0.00807248044849
shuttle,0.000270874867275,0.000190609783271,0.000193114309198,0.000219478555414,9.08778203278e-05,8.44830788431e-05,8.15289323285e-05,8.5757437804e-05,8.58266046141e-05,0.000238194812111
sonar,0.450184262592,0.373104205874,0.377984318379,0.372876263247,0.375863484086,0.0316478476651,0.0745854850385,0.0675832392975,0.073648073377,0.0756545113159
spambase,0.162640996612,0.141614698469,0.142275671453,0.143562194397,0.136286485412,0.0099660777346,0.0167733931311,0.0166900471496,0.0137556370183,0.0157122111998
tic-tac,0.28483344106,0.109705154489,0.163311849333,0.110094338681,0.110095016056,0.0132110684825,0.0228136543314,0.0264265536605,0.0229239544323,0.0230056090129
vehicle,0.0913734637275,0.0450478783042,0.0446442891757,0.0452741124151,0.0458726021351,0.00894738870361,0.0157590767514,0.0167138953847,0.0156258167446,0.0170364095182
vowel,0.0796270157936,0.035304299096,0.0569844502869,0.035238038381,0.0357273702962,0.00956044790011,0.0161450786207,0.0177198687982,0.0155053531347,0.0171457033535
waveform-5000,0.294502771143,0.234635604576,0.23713822494,0.234849521435,0.237348265573,0.00875756151655,0.0146034486238,0.0143011325949,0.0145482011067,0.015182497104
wdbc,0.146078230442,0.121937613639,0.119969134244,0.143548030091,0.113944866603,0.0963344207953,0.075152983786,0.0642806134733,0.100855889369,0.046661551917
wpbc,0.531262510042,0.530872750489,0.529623463627,0.535048848614,0.530667202732,0.0436326309876,0.0369824688077,0.0405460973325,0.0325940956689,0.0336863261714
yeast,0.479167581439,0.481398326585,0.481532352954,0.48059571355,0.48554453837,0.0192305184086,0.0190739898165,0.0190178198568,0.0185588947404,0.019647142499
zoo,0.0320241835243,0.0155286058473,0.00774251069896,0.015449483211,0.00882583624182,0.018483858481,0.0198822906735,0.012401029033,0.0206203978908,0.0134061277753
