,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.624323723456,0.630110008902,0.0128836330301,0.0256503495467
abalone,beta,0.636267108392,0.616431763443,0.010448128189,0.016100540675
abalone,beta_ab,0.624323723456,0.618423375696,0.0128836330301,0.0190585846103
abalone,beta_am,0.636338763848,0.618114006164,0.00940112735991,0.0140494224985
abalone,isotonic,0.636316504558,0.619107009347,0.00772915412282,0.0278029374856
abalone,sigmoid,0.633993888297,0.617741830203,0.0117189393895,0.00728280577268
autos,None,0.923323447126,0.241007166143,0.0470618407544,0.0504868491434
autos,beta,0.919597779718,0.200176641505,0.0509231143658,0.0943714842605
autos,beta_ab,0.923323447126,0.19965595317,0.0470618407544,0.0795539604426
autos,beta_am,0.920076865957,0.200660330633,0.0516920028145,0.0895863567119
autos,isotonic,0.919670480074,0.398355945967,0.0470896826044,0.563775331851
autos,sigmoid,0.921333481051,0.199474936335,0.0516894057112,0.0862894695888
balance-scale,None,0.889674047432,0.199794767841,0.0243201388002,0.0212536760337
balance-scale,beta,0.88936682777,0.19216343249,0.0236848963641,0.0278828738852
balance-scale,beta_ab,0.889674047432,0.192259103013,0.0243201388002,0.028092076562
balance-scale,beta_am,0.888401583555,0.191654734753,0.0221581773103,0.0272219689495
balance-scale,isotonic,0.894808612141,0.232407521351,0.027708655748,0.143410540147
balance-scale,sigmoid,0.889357835975,0.208245716929,0.0227276980364,0.0314689134353
car,None,0.990564592015,0.0855783605513,0.00572753658467,0.00663281255058
car,beta,0.99073901062,0.0270468429667,0.00613713949481,0.0143070752871
car,beta_ab,0.990564592015,0.0278076006279,0.00572753658467,0.0139555949745
car,beta_am,0.990739682753,0.0269089812841,0.00584978997623,0.0140286331714
car,isotonic,0.990277927141,0.0583860141834,0.00569139716661,0.0757959004505
car,sigmoid,0.990739682753,0.026896001209,0.00584978997623,0.0141180661788
cleveland,None,0.818723553477,0.400132320621,0.0495882131215,0.0589610989522
cleveland,beta,0.816717708942,0.403105351203,0.0503455212224,0.0872568148265
cleveland,beta_ab,0.818723553477,0.402075524502,0.0495882131215,0.0854124776766
cleveland,beta_am,0.815361581921,0.398619367701,0.0510319345903,0.0779027220529
cleveland,isotonic,0.819090979934,0.640822007642,0.0476798642954,0.527745102461
cleveland,sigmoid,0.815694915254,0.401208937973,0.0498197565848,0.0772655140959
credit-approval,None,0.880398832719,0.353916771616,0.0258890671274,0.0919745402238
credit-approval,beta,0.879323048453,0.344324816744,0.0272439400816,0.0979225254774
credit-approval,beta_ab,0.880398832719,0.34637664032,0.0258890671274,0.100545390006
credit-approval,beta_am,0.879937294258,0.348731768426,0.0253581954389,0.0954583869776
credit-approval,isotonic,0.878846331785,0.470483291341,0.0274891975946,0.246971192143
