,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,63.5150211992,63.380829131,63.5318594857,1.11044076112,1.12607490002,1.14940953664
autos,74.394086195,73.0677207692,74.5057241508,5.7246328214,6.22693712561,5.96156463368
balance-scale,95.2051690333,95.2051690333,95.2051690333,1.52078048052,1.52078048052,1.52078048052
car,71.5227181073,71.1811063315,71.7311130528,1.99567390008,1.7683694263,1.88860595987
cleveland,83.8457821936,83.8101694915,83.8435028249,4.77946393679,4.7218328128,4.85647690681
credit-approval,86.8126176622,86.8572554672,86.8563230662,2.98545195973,2.93858123653,3.00651586325
dermatology,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751
diabetes,76.7187844835,77.0575502928,77.135896783,3.19618296081,3.13733394277,3.09698920027
ecoli,96.4104661711,96.3836767284,96.3220589948,2.59664416967,2.42665538799,2.45224969999
flare,81.7740924207,81.7819488791,81.7750224636,1.42191405222,1.31302626468,1.46234294357
german,75.45,75.95,75.31,1.61071032625,1.62333116819,1.54817206237
glass,63.9393301789,63.2641028222,63.5361085942,3.94288683195,4.90211559829,2.98782660491
heart-statlog,83.8148148148,83.8888888889,84.1111111111,4.47097773952,4.39901829321,4.56822467582
hepatitis,84.9280913978,85.3200268817,84.7947580645,4.72253438694,5.0992584072,4.45205350796
horse,81.3484764286,81.5140872465,81.1434843012,4.45078577635,4.46724825819,4.46962146109
ionosphere,87.9525150905,88.1215291751,87.4977867203,3.42858260995,3.2735059527,3.70101637622
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,98.7009765187,98.707194968,98.7118569858,0.318958138834,0.31730063365,0.317017212249
letter,97.7074238036,97.6974241193,97.7068516822,0.110153259266,0.115631499404,0.110614688684
libras-movement,98.06,98.1666666667,98.0333333333,1.34971232343,1.25672792575,1.3506528194
lung-cancer,84.5105263158,75.3578947368,85.4578947368,7.41526653942,10.0269240127,6.79272647083
mfeat-karhunen,99.175,99.085,99.165,0.443921531952,0.405982054494,0.424414362411
mfeat-morphological,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,99.47,99.475,99.47,0.352252228741,0.35083719115,0.34493418479
mushroom,96.9830120377,96.5620578129,96.569443945,0.411162222254,0.400255723106,0.397882909935
optdigits,98.9091771545,98.9127660319,98.9216533141,0.265455522354,0.26321830989,0.27423984085
page-blocks,94.9679596098,94.9734658082,94.9442203171,0.53662090986,0.485330842799,0.468318873119
pendigits,99.3249924524,99.3295474466,99.3268135428,0.153751768536,0.165238156026,0.159856043198
scene-classification,80.0834801287,80.2741361214,80.0709023459,0.958001304184,1.56562401308,0.931309008
segment,99.6796536797,99.658008658,99.6666666667,0.252118950039,0.243828992006,0.255771128323
shuttle,97.6751715955,96.8577329793,96.8943832988,0.0941037191744,0.121485976297,0.113625022587
sonar,75.7382978149,76.0288739432,75.9404424277,5.59360205507,6.52596008447,6.27561917935
spambase,92.6754544842,92.501508154,92.4210945429,0.860626318916,0.795993314697,0.876314326367
tic-tac,67.5774212399,68.4028551099,67.3580673711,1.96802970346,2.13414717388,1.9784000943
vehicle,95.6387634927,95.4748766026,95.569421848,1.5680099555,1.68645739305,1.60377935989
vowel,94.7474747475,94.3535353535,94.7575757576,1.07015851185,1.02894199132,1.10787369669
waveform-5000,85.3718981899,85.2098681079,85.2158781139,1.18373985718,1.10932148003,1.11868490634
wdbc,97.6775682955,97.5722970373,97.5903039631,1.19164075688,1.2904810193,1.19220247865
wpbc,79.0844804318,79.0292847503,78.7738866397,3.89539069461,4.69096569771,3.639168728
yeast,67.9094071761,67.5251591208,67.7682389987,1.94794766149,1.98847943188,2.03275807738
zoo,100.0,100.0,100.0,0.0,0.0,0.0
