,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.215867438689,0.215255360161,0.217024210682,0.00370432630914,0.0033610035448,0.00374688336773
autos,0.162958818811,0.163101184019,0.163692095018,0.022697546936,0.0233181341792,0.021124137653
balance-scale,0.0414582490062,0.0415680874384,0.0418703980099,0.0117711815617,0.0116800082574,0.0112983923492
car,0.170561246485,0.170738925458,0.172391642678,0.00701110282005,0.00572694339198,0.0074994201585
cleveland,0.123234189475,0.122487080845,0.122571372474,0.0284706341149,0.0279730029021,0.0276585626715
credit-approval,0.0992900935056,0.0995750863875,0.0996202423897,0.0182902732356,0.0184938048877,0.0180460376656
dermatology,0.00222495274748,0.00216161400025,0.00223124453835,0.0042711873269,0.0044242989203,0.00430983991648
diabetes,0.157943823004,0.157762571557,0.157834527321,0.0132765412616,0.0129091088291,0.0131892693528
ecoli,0.0296404843834,0.0298991833215,0.0306679593892,0.0195253717044,0.0193313786303,0.0183828490383
flare,0.130717423614,0.130581971735,0.130469437559,0.0089821579357,0.00880557651151,0.00893073596892
german,0.165775825379,0.165839312109,0.165631326846,0.00910841671699,0.00952290037389,0.00897291905358
glass,0.21773965767,0.217082509874,0.218090702654,0.0115431216321,0.0117616427104,0.00918845743242
heart-statlog,0.121633609821,0.121178896278,0.121187549578,0.0247063840193,0.0248262053257,0.0242653482428
hepatitis,0.114681564841,0.114561146457,0.113536787487,0.0298809007394,0.0303429420663,0.0292021537476
horse,0.139152896449,0.139025990787,0.138942870263,0.0216204889832,0.0222931707923,0.0206875630767
ionosphere,0.0936086582273,0.0928353838156,0.0951824303379,0.020093413648,0.0189907036462,0.0186775227954
iris,5.14906800378e-05,3.87571382335e-06,2.61692233698e-05,0.00014392332093,1.35964746948e-05,8.19817423891e-05
landsat-satellite,0.0107179522733,0.0106957411634,0.010696882653,0.00227795874866,0.00226949647357,0.00225677493802
letter,0.0184666428492,0.0185077615821,0.0185101373257,0.000776969507487,0.000767791754279,0.000767087224958
libras-movement,0.0172265545414,0.0184573482048,0.0180633355156,0.0109323767877,0.0113765302534,0.010385683115
lung-cancer,0.0935101126628,0.222402485585,0.102475662787,0.0423984783605,0.0191672423897,0.048560716896
mfeat-karhunen,0.00668960352953,0.00725039490178,0.00671853537701,0.00336534327425,0.003234731931,0.0031763420262
mfeat-morphological,0.00153000094625,0.00149861572827,0.00153078166885,0.00192932075031,0.00195163681606,0.00192859344319
mfeat-zernike,0.00467393122492,0.00457752393702,0.00453916346887,0.00276475821079,0.00272328307603,0.00255004484795
mushroom,0.0249942911281,0.0269176933244,0.026886841128,0.00284483601251,0.00290339828885,0.00270602238074
optdigits,0.00848901799677,0.00851074201299,0.00846628106688,0.0019409898224,0.00193464487847,0.0018791708341
page-blocks,0.0393436029068,0.0395662308026,0.0394528810041,0.00343056175276,0.0033031633901,0.0034252581663
pendigits,0.0050641793546,0.00513846191554,0.00506410294918,0.00101591450077,0.00103237867297,0.00100844924688
scene-classification,0.135135429019,0.138694271381,0.135108779316,0.00443678847024,0.00576293136099,0.0044580829216
segment,0.00331911101843,0.00327647590077,0.00339287734775,0.00223974020992,0.00226484143229,0.00221241583313
shuttle,0.0215922723643,0.0239911749004,0.0244789685739,0.000463683883163,0.0004713132864,0.000510493558768
sonar,0.159655927076,0.159868552895,0.160436169941,0.024763107018,0.024522938379,0.0233911886691
spambase,0.0595137995507,0.0608547662377,0.0617338391701,0.00500950901122,0.00501346713966,0.0047552443317
tic-tac,0.216264706097,0.21655217694,0.216466704591,0.00591212972943,0.0063452514411,0.00589493942556
vehicle,0.0338881529766,0.0350727186841,0.0343217864651,0.0101058657246,0.0105311118064,0.00992457046298
vowel,0.0408805283727,0.0418883502117,0.0409589433086,0.00713907639364,0.00684627523653,0.00654429623411
waveform-5000,0.100457790741,0.101719649389,0.101965157308,0.00610029517483,0.00589403438174,0.00616645927783
wdbc,0.0196470869475,0.019706422626,0.0200086665759,0.00802614045572,0.00812801072375,0.00749519816497
wpbc,0.150205527484,0.153154955889,0.15031302271,0.0187839738014,0.0211305047608,0.0173225142917
yeast,0.185286441648,0.183465536123,0.18770305355,0.00846053067562,0.00767776437822,0.00878232480316
zoo,1.07620837844e-05,1.09548315044e-06,2.67188857408e-06,2.63096296713e-05,3.27734529549e-06,7.16152456187e-06
