,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_ab,beta_am,sigmoid,None,beta,beta_ab,beta_am,sigmoid
dataset,,,,,,,,,,
abalone,0.217068126274,0.215867438689,0.215255360161,0.217024210682,0.217713946097,0.00392116365277,0.00370432630914,0.0033610035448,0.00374688336773,0.00379195911171
autos,0.165083408888,0.162958818811,0.163101184019,0.163692095018,0.16673791065,0.0322183795431,0.022697546936,0.0233181341792,0.021124137653,0.0233483096774
balance-scale,0.0454018069781,0.0414582490062,0.0415680874384,0.0418703980099,0.0419130641658,0.0089804135643,0.0117711815617,0.0116800082574,0.0112983923492,0.0122307211105
car,0.172495338915,0.170561246485,0.170738925458,0.172391642678,0.176084636658,0.00764990304592,0.00701110282005,0.00572694339198,0.0074994201585,0.00776225598704
cleveland,0.121973049716,0.123234189475,0.122487080845,0.122571372474,0.123341426533,0.029526392521,0.0284706341149,0.0279730029021,0.0276585626715,0.0301040456136
credit-approval,0.0993128375713,0.0992900935056,0.0995750863875,0.0996202423897,0.099089601411,0.0189029092358,0.0182902732356,0.0184938048877,0.0180460376656,0.0195552444232
dermatology,0.00165466737514,0.00222495274748,0.00216161400025,0.00223124453835,0.00253203973829,0.0023202139147,0.0042711873269,0.0044242989203,0.00430983991648,0.00505386531723
diabetes,0.157684636764,0.157943823004,0.157762571557,0.157834527321,0.159056145417,0.013736156839,0.0132765412616,0.0129091088291,0.0131892693528,0.0145863859917
ecoli,0.0319880900342,0.0296404843834,0.0298991833215,0.0306679593892,0.0299815653496,0.0161009605437,0.0195253717044,0.0193313786303,0.0183828490383,0.019541350083
flare,0.130420698587,0.130717423614,0.130581971735,0.130469437559,0.132569569035,0.00883728739383,0.0089821579357,0.00880557651151,0.00893073596892,0.0101126365875
german,0.165819613765,0.165775825379,0.165839312109,0.165631326846,0.166134961744,0.0107622202975,0.00910841671699,0.00952290037389,0.00897291905358,0.00923581467497
glass,0.217883498695,0.21773965767,0.217082509874,0.218090702654,0.218815778146,0.016615736037,0.0115431216321,0.0117616427104,0.00918845743242,0.011656070801
heart-statlog,0.120701146266,0.121633609821,0.121178896278,0.121187549578,0.121589294759,0.0278126648225,0.0247063840193,0.0248262053257,0.0242653482428,0.0270884671051
hepatitis,0.11335453264,0.114681564841,0.114561146457,0.113536787487,0.113839988545,0.0365384566927,0.0298809007394,0.0303429420663,0.0292021537476,0.0309393062659
horse,0.137485857561,0.139152896449,0.139025990787,0.138942870263,0.136599371466,0.0294768037615,0.0216204889832,0.0222931707923,0.0206875630767,0.0240749960029
