,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_ab,isotonic,sigmoid,None,beta,beta_ab,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.217001448675,0.215811917199,0.215250134147,0.215162389267,0.217640098644,0.00390574354709,0.00367093373556,0.00331021196596,0.00405112777927,0.00375339933312
autos,0.160436861097,0.161575056952,0.162178627663,0.164987620464,0.164108103181,0.0288085569995,0.0194074843191,0.019996575127,0.0280993417996,0.0204301187916
balance-scale,0.046948400846,0.0414567615225,0.0417505722339,0.0414406530612,0.0417760292874,0.00852946256284,0.0112633520059,0.011157009386,0.0116024038414,0.0117439250741
car,0.172457463253,0.170537686582,0.170735271611,0.167954817318,0.176028054061,0.00762362983345,0.00697135346877,0.00572175101323,0.00668625430844,0.00770226100709
cleveland,0.121747888027,0.122962310944,0.122284361352,0.123226045028,0.123009305284,0.0289489224588,0.0277921456185,0.0274000424521,0.0292753053582,0.0288989694646
credit-approval,0.0991850010337,0.0991567131939,0.0994086202758,0.0999847562597,0.0987737054413,0.0186961692571,0.0182813574071,0.0183314622472,0.0195676159954,0.0193547665045
dermatology,0.00185846130459,0.0021209344595,0.00192315883975,0.00153274390663,0.00234722152017,0.00222190987051,0.00401385529918,0.00396173297488,0.00268545280089,0.0046755229925
diabetes,0.157549852311,0.158013992131,0.157789376458,0.159183226238,0.158903688312,0.0136736681378,0.013310428946,0.0128625609407,0.0135023726591,0.0143832876026
ecoli,0.0334755128481,0.0304912822713,0.0306040883597,0.0321697116707,0.0304558909486,0.0157412106432,0.0193788057855,0.0187476877061,0.0199867931355,0.0193479499614
flare,0.130355216839,0.130596054287,0.130492727976,0.131197509252,0.132314423858,0.00870623857284,0.00876652298238,0.00865916777912,0.00838795632889,0.00986599064793
german,0.165749321635,0.16581795052,0.165888829154,0.166329883249,0.166132515543,0.0107893607083,0.00910976068831,0.00945544549278,0.0100421960074,0.00928434887324
glass,0.216745919804,0.21649725439,0.214661120466,0.218557603326,0.21817949303,0.0157611380044,0.0114031727952,0.0119481238932,0.0201326424554,0.0107502092303
heart-statlog,0.119856500909,0.120985641977,0.120696785027,0.123242594441,0.120949957731,0.0269706358589,0.0251413515377,0.0246243042201,0.0268146352069,0.0262358694901
hepatitis,0.112550786486,0.114895793381,0.116052254008,0.115034849673,0.113554850094,0.0340592079297,0.0286377041206,0.0279311230895,0.0331840655062,0.028818935813
horse,0.134232195969,0.13611459093,0.136556627724,0.136924000701,0.133905953948,0.028638610397,0.0212380223442,0.0216235937638,0.024197301087,0.0228006679545
ionosphere,0.0893382044564,0.0889534223482,0.0877625004731,0.0901466926755,0.0904502769935,0.018560502492,0.0185743677972,0.0177126556348,0.0195871496603,0.020182999984
iris,0.00318450603215,5.60398099574e-05,6.06302794127e-06,0.000585342822212,1.625936378e-06,0.00127879058806,0.000171789601976,1.88722138517e-05,0.00110269818075,7.63595688917e-06
landsat-satellite,0.0107500365815,0.01072650688,0.0107097500361,0.0107383291097,0.0109334159636,0.00215190408781,0.00223283959892,0.00221909583725,0.00230784508366,0.00262125786181
letter,0.0185810833786,0.0184663582783,0.0185154176675,0.0182682613277,0.0189342984326,0.000740883177846,0.000769764619318,0.000759943212327,0.000816077938964,0.000919323902508
libras-movement,0.0177806515496,0.0161528502332,0.0160705404568,0.0156633429127,0.0157993070426,0.00870439989972,0.00987507332939,0.0101395322375,0.00964352984371,0.0100282723035
lung-cancer,0.524741332306,0.0497584294311,0.220156046465,0.0519863829538,0.0575116522504,0.0616953681612,0.0359225546011,0.0255919967719,0.0404078146635,0.0193335474121
mfeat-karhunen,0.00748356669606,0.00625096057755,0.00669965952008,0.00637143257056,0.00627536820067,0.00258707123029,0.00311855244125,0.00304887957554,0.00313184473495,0.00324288935603
mfeat-morphological,0.00180385677026,0.00152308431487,0.00150009174982,0.00153383652373,0.00152326276942,0.00189064255017,0.00193496274398,0.0019514222561,0.0019284243842,0.00193508782573
mfeat-zernike,0.00547683198957,0.00479407297979,0.00468585386792,0.00489519021576,0.00474302268621,0.00219512779588,0.00280725284543,0.00275093018246,0.00277408182763,0.00291806259362
mushroom,0.0285342814497,0.0250892223404,0.0274148040866,0.0245415782991,0.0274361694161,0.00263530129082,0.00277051026828,0.00286839279232,0.00278487151392,0.00302892166559
optdigits,0.00876709537246,0.00854062004063,0.00852967690933,0.00862139695485,0.00878472824846,0.00163801256824,0.00182117622373,0.00180661909846,0.00184854782513,0.00208309959738
page-blocks,0.0392017086818,0.0391723115847,0.0394686434712,0.0383835270336,0.0399122677053,0.00338945511551,0.0034311044493,0.0032476908084,0.00357859129342,0.00384765379261
pendigits,0.00617588646805,0.00526739181307,0.00535985650049,0.00532993624709,0.00538159694432,0.000812401507123,0.00100676544826,0.00101877251162,0.00104480967236,0.00114283553947
scene-classification,0.13831797704,0.133346347485,0.135312324115,0.132821617551,0.13427543323,0.0104264167273,0.00489442378085,0.00599107189224,0.00551785579524,0.00561866728112
segment,0.00634466806423,0.00367033280341,0.00354915647855,0.00356789263745,0.00353475469823,0.00180750821463,0.00228363502358,0.00224711526807,0.00238409824962,0.00240878508733
shuttle,0.0250669234292,0.0218486681398,0.0242524602897,0.0173827415789,0.0228125953949,0.000509303314772,0.000465532585092,0.000475980116825,0.000491595559858,0.000702144481362
sonar,0.15401191984,0.153459609342,0.153712278434,0.153930105657,0.15489752158,0.0298306310989,0.0225946347323,0.0222839076536,0.0252495618535,0.0233517392434
spambase,0.0599485209729,0.0588416306455,0.0603483072826,0.0575047543113,0.0584968602242,0.00514327392697,0.0050878574851,0.00505962674854,0.00572575148112,0.00622880844621
tic-tac,0.216660946949,0.215890518256,0.216275580414,0.213143289394,0.216227515676,0.00722309242957,0.00561296052193,0.00622901360699,0.00719437376124,0.00561908960257
vehicle,0.0423414031224,0.0371425040181,0.0383793365426,0.037825497834,0.0380321890838,0.00827657799541,0.0105699572698,0.0110648808443,0.0108304004427,0.011713916001
vowel,0.0430991721708,0.0411540226717,0.0418852916367,0.0389353606872,0.0410239910556,0.00522600884484,0.0069276295772,0.00640051001495,0.0075547797968,0.00770549822957
waveform-5000,0.101984575933,0.100427708807,0.101701334289,0.100884883951,0.105372148542,0.00631892487366,0.00606898733358,0.00587136050588,0.0061532715089,0.00696440858526
wdbc,0.0202874841097,0.0187581775094,0.0187814122764,0.0187518368963,0.0187314803868,0.00780250159338,0.0086689045186,0.00852943352324,0.00869231199676,0.00890190664207
wpbc,0.152957750652,0.150685991044,0.153901177585,0.151739988387,0.15116925958,0.0242668676399,0.0186073843567,0.0207472675594,0.0231576062763,0.0185071106199
yeast,0.187704585849,0.18524674627,0.183305407961,0.18189138072,0.190206021627,0.00924369578488,0.00845604500463,0.0076450728491,0.00963419455795,0.00900589740962
zoo,0.0021008887677,2.16353649254e-05,1.85525211005e-06,0.000431942725694,4.02136757491e-08,0.00133541460721,5.1594021488e-05,4.81199140932e-06,0.000683508924388,1.06134231136e-07
