,mean,mean,mean,mean,mean,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta_ab,beta_am,sigmoid,None,beta,beta_ab,beta_am,sigmoid
dataset,,,,,,,,,,
abalone,0.622251344155,0.619319984971,0.618048000193,0.622232761824,0.62389136082,0.00866697894727,0.0082644367106,0.00780910769878,0.00817971424519,0.0081399372865
autos,0.477534325883,0.482409496692,0.483648444999,0.486673746922,0.495409388049,0.0748375260298,0.0480133212234,0.0505842883821,0.0455039518594,0.0476622672928
balance-scale,0.164020728391,0.144575969009,0.144674294336,0.145823498186,0.149863528502,0.0218322194012,0.0363053435905,0.0357912150588,0.0352777429424,0.0392484535464
car,0.504847462899,0.49698790958,0.495710839578,0.504986687256,0.520301319903,0.017556973665,0.0165379457271,0.014631271502,0.0171785091562,0.0174863350977
cleveland,0.390271945594,0.393538198267,0.391832629712,0.391066112453,0.399032088896,0.0858421758241,0.078201847436,0.0769239100299,0.0761923917549,0.076863845171
credit-approval,0.33916399818,0.338269181388,0.339040070576,0.339856312974,0.334519803447,0.0598939571868,0.0566153554392,0.0558740378528,0.0564187051731,0.0560553003622
dermatology,0.015494784886,0.0064958352618,0.00596985897595,0.00657529930389,0.00807902878137,0.00593125289425,0.0116003754882,0.0108900147268,0.0118173785722,0.0166042321876
diabetes,0.484331731281,0.484251795394,0.483648495055,0.484590290904,0.485774252403,0.0356777139517,0.0348734685887,0.0337039397772,0.0335889990164,0.0339803190197
ecoli,0.134748186729,0.124768755107,0.124234474294,0.128099177988,0.12529880619,0.0509327636572,0.0756326691216,0.0716205985591,0.0745228985741,0.0749502950431
flare,0.403778370439,0.404421505592,0.404077199624,0.404264192037,0.413186845461,0.0236666527352,0.0234644528627,0.0232163252749,0.0236156900317,0.0258845699373
german,0.502739244902,0.502507149035,0.502641391608,0.501865410562,0.50492561677,0.0320755722127,0.0255909410312,0.0267389131932,0.0254739279571,0.0236861913191
glass,0.624454013859,0.621498903423,0.619800635445,0.622976673856,0.624483278632,0.0458369032629,0.0284897052854,0.0372913400339,0.0206897867429,0.0236356859974
heart-statlog,0.384797331022,0.389484869163,0.388364819015,0.385784068709,0.394281970853,0.077803803117,0.0678506490672,0.0658780695987,0.0633075665901,0.066572335784
hepatitis,0.368377666111,0.376139163542,0.379840219304,0.369898737702,0.372006342542,0.109934422154,0.0915623056791,0.0912604794796,0.0890444042376,0.0816280371239
horse,0.443179369862,0.437857164882,0.439374219284,0.437783717147,0.429909515562,0.0934167742456,0.0558338533739,0.056393821325,0.0538516376431,0.0555541588575
ionosphere,0.304339951546,0.300093816844,0.297721377834,0.312156314751,0.304784773559,0.0640194747318,0.0516869790954,0.049053163369,0.0551594530391,0.0522429738567
iris,0.0375481927384,0.000621703422941,0.000211628699446,0.000474973314052,9.98833965171e-05,0.0060847399277,0.001343196757,0.000424374964577,0.001031045779,0.000223750333889
landsat-satellite,0.0406941558419,0.0405896989785,0.0405007284311,0.040458483043,0.0473236904457,0.00700563805218,0.00764958944667,0.00758646414694,0.00758570537191,0.0100384554701
letter,0.0695496841154,0.0694031815376,0.0694494258861,0.0694825877898,0.0792606388582,0.00292863111728,0.00309964690986,0.00304635234756,0.00309577699009,0.00375450417582
libras-movement,0.0975707533633,0.119284871143,0.0941836753837,0.127448942358,0.0833581998636,0.0551925149523,0.201091393924,0.103675561654,0.185325178326,0.0847335700765
lung-cancer,2.76916049022,0.15601930257,0.636365587801,0.169503009916,0.171264254656,0.747277376673,0.104409058463,0.0568168531213,0.114181821162,0.0522932285706
mfeat-karhunen,0.0352591136717,0.027906890705,0.0292827132993,0.0295787449005,0.0283973806516,0.00943140898575,0.0156038599905,0.0153295416308,0.0170052228611,0.0157478171864
mfeat-morphological,0.0211170932338,0.0129708710977,0.0128951189848,0.0145100331259,0.0127383433358,0.00849858012812,0.0192156405834,0.0190824901625,0.0213316913162,0.0170859638457
mfeat-zernike,0.0276178869689,0.0217434293721,0.0213613584682,0.0214513869742,0.0224719206726,0.00746136130182,0.0122515948575,0.0117546119502,0.0116553727682,0.0133503945249
mushroom,0.1145479477,0.0945316212636,0.100075562863,0.111217274022,0.107506689045,0.0127943044074,0.00991807724506,0.010345506729,0.0152926342212,0.0114071613757
optdigits,0.0348936105663,0.0325983511136,0.032574529303,0.0326554795783,0.037292166915,0.00518403525538,0.00633353721282,0.00640029420977,0.00624128588908,0.00803152098691
page-blocks,0.150709760917,0.147471773958,0.148110880178,0.151280579371,0.154296235494,0.0146967028507,0.0131608215411,0.0126225613337,0.014962635565,0.012953654867
pendigits,0.0268366981372,0.0208260215146,0.021111492886,0.0208977778953,0.022128330773,0.00236944099833,0.00400732756406,0.00399720787191,0.00407365897539,0.00462640026568
scene-classification,0.462589533506,0.415275261547,0.42124098993,0.415041866158,0.425239708717,0.0462762857011,0.0146233367687,0.0181048965391,0.0146807397773,0.0139013817383
segment,0.0406624333607,0.0265765362175,0.025943687811,0.0228199741896,0.0216237159638,0.00622507251318,0.0213142153015,0.0198606425986,0.0137385257827,0.0132445011513
shuttle,0.0989627748542,0.0893995971984,0.0921252722553,0.0987753105479,0.0926625217592,0.00315787733886,0.00340733303958,0.00314771911817,0.00326184335749,0.00249933103304
sonar,0.486425423721,0.469505416608,0.469489653045,0.474736923555,0.479271348044,0.101223605053,0.0562862420652,0.05488297367,0.0540297489917,0.0541061600174
spambase,0.225862164895,0.213892248354,0.218513494783,0.226843957335,0.210592717879,0.0258733041854,0.0182805297872,0.0187286071711,0.0227499425629,0.0187873928478
tic-tac,0.623483838579,0.621996619708,0.622816865788,0.622614778116,0.622764754095,0.0167298657664,0.012554432704,0.0136823863402,0.0126786187506,0.0125882303197
vehicle,0.164044730725,0.139995930406,0.143335988443,0.142683238804,0.139940713168,0.02674884773,0.0389091862327,0.041121997599,0.0417902728058,0.0364912742185
vowel,0.156965943464,0.150844215539,0.15150967936,0.153584305817,0.15325364411,0.0192267256227,0.025049801171,0.0234717910997,0.0270827052568,0.0244073419187
waveform-5000,0.313225323864,0.305241126679,0.308174847189,0.31317060468,0.332239165566,0.0172537327465,0.0157812682319,0.015290310512,0.0164739886876,0.0181267297365
wdbc,0.0785457182514,0.0741894599115,0.0741180497587,0.0781596686711,0.0769167082293,0.0301398573403,0.036634850955,0.0354909489046,0.0396491388199,0.0365343541354
wpbc,0.47201531825,0.466810850803,0.474474152074,0.467198173708,0.470951025991,0.0669533049286,0.0508601347803,0.0579487419686,0.0468298266427,0.0478761745208
yeast,0.54940564564,0.544616548955,0.541402371431,0.549714637733,0.556602534306,0.0235740076903,0.0230195523512,0.0228463074155,0.0219958791239,0.0211666032298
zoo,0.0308774438063,0.000598643763498,0.000170039593197,0.000285842893404,3.53415250541e-05,0.00865070522342,0.000998832315315,0.000286416494691,0.000448206636766,4.15516195568e-05
