,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.622251344155,0.619319984971,0.626603148896,0.62389136082,0.00866697894727,0.0082644367106,0.0277594928633,0.0081399372865
autos,0.477534325883,0.482409496692,0.575222523831,0.495409388049,0.0748375260298,0.0480133212234,0.313710818436,0.0476622672928
balance-scale,0.164020728391,0.144575969009,0.175939047319,0.149863528502,0.0218322194012,0.0363053435905,0.117057805973,0.0392484535464
car,0.504847462899,0.49698790958,0.511288720971,0.520301319903,0.017556973665,0.0165379457271,0.0580120942145,0.0174863350977
cleveland,0.390271945594,0.393538198267,0.469956943673,0.399032088896,0.0858421758241,0.078201847436,0.290397020008,0.076863845171
credit-approval,0.33916399818,0.338269181388,0.441524920921,0.334519803447,0.0598939571868,0.0566153554392,0.202799726805,0.0560553003622
dermatology,0.015494784886,0.0064958352618,0.00507444633389,0.00807902878137,0.00593125289425,0.0116003754882,0.0065426539889,0.0166042321876
diabetes,0.484331731281,0.484251795394,0.564396294767,0.485774252403,0.0356777139517,0.0348734685887,0.152763947789,0.0339803190197
ecoli,0.134748186729,0.124768755107,0.361878265675,0.12529880619,0.0509327636572,0.0756326691216,0.471069680522,0.0749502950431
flare,0.403778370439,0.404421505592,0.410846481259,0.413186845461,0.0236666527352,0.0234644528627,0.0325352357144,0.0258845699373
german,0.502739244902,0.502507149035,0.541497233184,0.50492561677,0.0320755722127,0.0255909410312,0.120359340186,0.0236861913191
glass,0.624454013859,0.621498903423,0.720903820281,0.624483278632,0.0458369032629,0.0284897052854,0.270919232926,0.0236356859974
heart-statlog,0.384797331022,0.389484869163,0.539223643203,0.394281970853,0.077803803117,0.0678506490672,0.37685939251,0.066572335784
hepatitis,0.368377666111,0.376139163542,0.812840900661,0.372006342542,0.109934422154,0.0915623056791,1.13608093847,0.0816280371239
horse,0.443179369862,0.437857164882,0.573286561123,0.429909515562,0.0934167742456,0.0558338533739,0.296958055255,0.0555541588575
ionosphere,0.304339951546,0.300093816844,0.338710225213,0.304784773559,0.0640194747318,0.0516869790954,0.15156802166,0.0522429738567
iris,0.0375481927384,0.000621703422941,0.00344517975711,9.98833965171e-05,0.0060847399277,0.001343196757,0.00463699595233,0.000223750333889
landsat-satellite,0.0406941558419,0.0405896989785,0.0503649386943,0.0473236904457,0.00700563805218,0.00764958944667,0.0192873919537,0.0100384554701
letter,0.0695496841154,0.0694031815376,0.0702813253283,0.0792606388582,0.00292863111728,0.00309964690986,0.00451067781047,0.00375450417582
libras-movement,0.0975707533633,0.119284871143,0.19584001168,0.0833581998636,0.0551925149523,0.201091393924,0.300989268389,0.0847335700765
lung-cancer,2.76916049022,0.15601930257,0.334615741318,0.171264254656,0.747277376673,0.104409058463,0.81812475728,0.0522932285706
mfeat-karhunen,0.0352591136717,0.027906890705,0.0487291630486,0.0283973806516,0.00943140898575,0.0156038599905,0.0567543889472,0.0157478171864
mfeat-morphological,0.0211170932338,0.0129708710977,0.0309605720126,0.0127383433358,0.00849858012812,0.0192156405834,0.054905167583,0.0170859638457
mfeat-zernike,0.0276178869689,0.0217434293721,0.0428379546169,0.0224719206726,0.00746136130182,0.0122515948575,0.0414287032047,0.0133503945249
mushroom,0.1145479477,0.0945316212636,0.0928511921719,0.107506689045,0.0127943044074,0.00991807724506,0.0138443907879,0.0114071613757
optdigits,0.0348936105663,0.0325983511136,0.0391644680859,0.037292166915,0.00518403525538,0.00633353721282,0.016136666955,0.00803152098691
page-blocks,0.150709760917,0.147471773958,0.156575657013,0.154296235494,0.0146967028507,0.0131608215411,0.0331878811873,0.012953654867
pendigits,0.0268366981372,0.0208260215146,0.0272550107514,0.022128330773,0.00236944099833,0.00400732756406,0.0105895362193,0.00462640026568
scene-classification,0.462589533506,0.415275261547,0.418003770715,0.425239708717,0.0462762857011,0.0146233367687,0.0255886242955,0.0139013817383
segment,0.0406624333607,0.0265765362175,0.0483138942481,0.0216237159638,0.00622507251318,0.0213142153015,0.0530663950421,0.0132445011513
shuttle,0.0989627748542,0.0893995971984,0.0634838318236,0.0926625217592,0.00315787733886,0.00340733303958,0.00215427518466,0.00249933103304
sonar,0.486425423721,0.469505416608,0.533150971068,0.479271348044,0.101223605053,0.0562862420652,0.255406986317,0.0541061600174
spambase,0.225862164895,0.213892248354,0.215305315353,0.210592717879,0.0258733041854,0.0182805297872,0.0329310889958,0.0187873928478
tic-tac,0.623483838579,0.621996619708,0.647148905535,0.622764754095,0.0167298657664,0.012554432704,0.0932098191448,0.0125882303197
vehicle,0.164044730725,0.139995930406,0.215777509679,0.139940713168,0.02674884773,0.0389091862327,0.143425950009,0.0364912742185
vowel,0.156965943464,0.150844215539,0.172658884555,0.15325364411,0.0192267256227,0.025049801171,0.104284796157,0.0244073419187
waveform-5000,0.313225323864,0.305241126679,0.316796948134,0.332239165566,0.0172537327465,0.0157812682319,0.0293904888971,0.0181267297365
wdbc,0.0785457182514,0.0741894599115,0.135549176895,0.0769167082293,0.0301398573403,0.036634850955,0.168516222597,0.0365343541354
wpbc,0.47201531825,0.466810850803,0.569562318143,0.470951025991,0.0669533049286,0.0508601347803,0.317798791013,0.0478761745208
yeast,0.54940564564,0.544616548955,0.552882969267,0.556602534306,0.0235740076903,0.0230195523512,0.0531561967473,0.0211666032298
zoo,0.0308774438063,0.000598643763498,0.00419335205531,3.53415250541e-05,0.00865070522342,0.000998832315315,0.00478514786362,4.15516195568e-05
