,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.622491162145,0.62245666509,0.624880534754,0.624073231036,0.00870339197159,0.00825607968861,0.0257941390326,0.00822786500107
autos,0.493796578435,0.488839361817,0.618156490811,0.501841802902,0.0878484396973,0.0521296366846,0.37942725593,0.0550146963827
balance-scale,0.157207035076,0.146817000213,0.30534707971,0.151698908059,0.0237371345384,0.0394735688516,0.246515285514,0.0424978498285
car,0.504859587296,0.505056711448,0.508879140342,0.520431542069,0.0176330672585,0.0173181706774,0.0582451771707,0.0176606993287
cleveland,0.392989183621,0.393174402119,0.533096057435,0.400571450079,0.0897741212277,0.0786724098299,0.477669195606,0.0804651829869
credit-approval,0.340053080732,0.340020609958,0.422049386934,0.335341543305,0.0617996937948,0.0557182288492,0.195989572521,0.0568258223043
dermatology,0.0120594454852,0.00696815177926,0.00484025787068,0.0101137224931,0.00597100185921,0.0130681155225,0.00723149829593,0.0210505699695
diabetes,0.485074913314,0.484673261897,0.560661553671,0.486278287458,0.0362504201332,0.0336974851433,0.140698655618,0.0344414262165
ecoli,0.129361379431,0.126984071294,0.349055457803,0.124110294819,0.0550104465118,0.0776594330189,0.457062065363,0.0763589794022
flare,0.403693968978,0.404273957205,0.411673704128,0.413825281517,0.0240906087329,0.0242391314166,0.0348285698041,0.0268073911762
german,0.503252639287,0.502020900463,0.536417003359,0.505093152682,0.0321369779994,0.024930530603,0.0913541828822,0.0234778196165
glass,0.638319239867,0.628148892196,0.85636578444,0.626425546442,0.05946222011,0.0269475983009,0.416038293924,0.0261423277698
heart-statlog,0.388839077386,0.388525905531,0.480317749656,0.396694959779,0.0823922689888,0.0634000349665,0.335539150825,0.0695307501292
hepatitis,0.378589387503,0.374118170664,0.719935574987,0.376388235841,0.131358825346,0.0968213159994,0.755548086726,0.0889292948148
horse,0.461666102949,0.446096263781,0.615855887004,0.437614842961,0.0998370171295,0.0539601928126,0.370949850269,0.0593031046904
ionosphere,0.343553601051,0.330095779604,0.443508558047,0.321621974125,0.0790593930522,0.0632172732737,0.280291315405,0.0590347624327
iris,0.0285913564626,0.000413669415314,0.00285184668308,7.1029134453e-05,0.00565898720151,0.000898223362472,0.00444696971009,0.000145987019834
landsat-satellite,0.0407826393599,0.0407723173329,0.0500333114785,0.0485711315781,0.00743369719565,0.00797145899242,0.0174056858303,0.0105814935713
letter,0.0695253996014,0.0694938817743,0.0712304384268,0.0795801105079,0.00299407678491,0.00315993377187,0.00491434327323,0.00382511623466
libras-movement,0.0993704763079,0.116474299267,0.205048924246,0.0831967352531,0.0662972756966,0.116646135293,0.297875459005,0.0553454502901
lung-cancer,6.61092962289,0.51925605554,0.682543017874,0.256598168626,1.21145147459,1.33619569139,1.60224791526,0.0635068761411
mfeat-karhunen,0.0331232396418,0.0304671500149,0.0636420193706,0.0309851401869,0.0108712917849,0.0184231605271,0.0727294595431,0.0172193490977
mfeat-morphological,0.0176069532329,0.0128277838674,0.016763132216,0.0123073400644,0.00888691998034,0.0214446257041,0.0414943801576,0.0171926706521
mfeat-zernike,0.0247131965805,0.0208852998798,0.0391363989859,0.0222607173527,0.00766611668595,0.0120236331652,0.0397964673696,0.013154133633
mushroom,0.112824369057,0.110091882727,0.104704166568,0.106787124932,0.0135270718715,0.0158776393206,0.0247781800288,0.0114726498445
optdigits,0.0335305240105,0.0325468223927,0.0434804680277,0.0387892942022,0.00575505627009,0.00713747391125,0.0230759525378,0.0088609431712
page-blocks,0.153610788651,0.153323447078,0.155627899693,0.155877035723,0.016377634356,0.0160746906931,0.0307677218718,0.0131937574559
pendigits,0.0244798581939,0.0202261592681,0.027189936794,0.0217167231154,0.00248474178317,0.00433188226514,0.0107653386983,0.00472935111477
scene-classification,0.488901463586,0.420356667037,0.424582285422,0.429862459443,0.0486448264442,0.0132794337464,0.0332251702929,0.0139814815772
segment,0.0341145616188,0.0211553338726,0.047229786003,0.0203012565841,0.00654128501056,0.0142636526885,0.0529177171644,0.0131630328915
shuttle,0.0989315556502,0.0986672782491,0.0658283419614,0.0919206643754,0.00308270157988,0.00319600061962,0.00261790211471,0.00249318926587
sonar,0.590369168954,0.487982968747,0.675881032779,0.505721405703,0.142687266956,0.061619591582,0.382451428575,0.0655211959892
spambase,0.234691274567,0.232525662871,0.223790950347,0.213688124784,0.0294953363,0.0245407143807,0.0378623917134,0.0192025804615
tic-tac,0.623604347811,0.623101210592,0.636480769537,0.623333324181,0.0168081182742,0.0134328603682,0.0626937009209,0.0133407103069
vehicle,0.148891064678,0.130836314192,0.189630926374,0.129839083402,0.0268272432564,0.0404099575006,0.116440126495,0.0353927733401
vowel,0.155279691099,0.153045815362,0.183304600373,0.153984024716,0.0214142410274,0.0284567230775,0.132772156068,0.0258731501713
waveform-5000,0.313378598791,0.313254502732,0.318296122067,0.333125182863,0.0173462137415,0.0165108225553,0.0285514368762,0.0183668099885
wdbc,0.0793053151289,0.0805819041853,0.171560466943,0.0825318771809,0.0313876752196,0.0389766970264,0.186928029925,0.0339455326351
wpbc,0.47343401603,0.465742674263,0.591070950564,0.469316737825,0.0791882925471,0.0481732593348,0.421041395495,0.0493724844976
yeast,0.549709052221,0.549867740915,0.545996796729,0.55671410234,0.0236526969007,0.0221898414923,0.0487577615308,0.0213662967784
zoo,0.0219625852513,0.000178805453782,0.0028663633563,2.09319332755e-05,0.00713041117718,0.000341375543663,0.00396733695784,2.40931142619e-05
