,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.635173907053,0.622491162145,0.0114646982882,0.00870339197159
abalone,beta,0.635150211992,0.619449293498,0.0111044076112,0.00834281905214
abalone,beta_ab,0.63380829131,0.618082611416,0.0112607490002,0.00790723633967
abalone,beta_am,0.635318594857,0.62245666509,0.0114940953664,0.00825607968861
abalone,isotonic,0.633665750884,0.624880534754,0.0101837275429,0.0257941390326
abalone,sigmoid,0.63512651899,0.624073231036,0.0118349360269,0.00822786500107
autos,None,0.732560044682,0.493796578435,0.0644412521172,0.0878484396973
autos,beta,0.74394086195,0.48561729121,0.057246328214,0.0584459432569
autos,beta_ab,0.730677207692,0.484904341098,0.0622693712561,0.060863736556
autos,beta_am,0.745057241508,0.488839361817,0.0596156463368,0.0521296366846
autos,isotonic,0.743728755113,0.618156490811,0.064435071846,0.37942725593
autos,sigmoid,0.745139951997,0.501841802902,0.0618574167072,0.0550146963827
balance-scale,None,0.952051690333,0.157207035076,0.0152078048052,0.0237371345384
balance-scale,beta,0.952051690333,0.145533993793,0.0152078048052,0.0401413558407
balance-scale,beta_ab,0.952051690333,0.145415457047,0.0152078048052,0.0398826203881
balance-scale,beta_am,0.952051690333,0.146817000213,0.0152078048052,0.0394735688516
balance-scale,isotonic,0.951734230015,0.30534707971,0.0155320619499,0.246515285514
balance-scale,sigmoid,0.952051690333,0.151698908059,0.0152078048052,0.0424978498285
car,None,0.716962629386,0.504859587296,0.0195302148063,0.0176330672585
car,beta,0.715227181073,0.497065086679,0.0199567390008,0.0166560774518
car,beta_ab,0.711811063315,0.495733358032,0.017683694263,0.0146516493777
car,beta_am,0.717311130528,0.505056711448,0.0188860595987,0.0173181706774
car,isotonic,0.718406707891,0.508879140342,0.0162592795107,0.0582451771707
car,sigmoid,0.71864229063,0.520431542069,0.0193720064864,0.0176606993287
cleveland,None,0.838101694915,0.392989183621,0.047218328128,0.0897741212277
cleveland,beta,0.838457821936,0.396367717843,0.0477946393679,0.0813886367042
cleveland,beta_ab,0.838101694915,0.394281582782,0.047218328128,0.0796844872595
cleveland,beta_am,0.838435028249,0.393174402119,0.0485647690681,0.0786724098299
cleveland,isotonic,0.835101694915,0.533096057435,0.052234123092,0.477669195606
cleveland,sigmoid,0.837762711864,0.400571450079,0.0475857909938,0.0804651829869
credit-approval,None,0.868572554672,0.340053080732,0.0293858123653,0.0617996937948
credit-approval,beta,0.868126176622,0.338048211012,0.0298545195973,0.0564224631911
credit-approval,beta_ab,0.868572554672,0.338970918429,0.0293858123653,0.0558679970011
credit-approval,beta_am,0.868563230662,0.340020609958,0.0300651586325,0.0557182288492
credit-approval,isotonic,0.865056299934,0.422049386934,0.0302690924151,0.195989572521
