,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,64.5269394169,64.6132616951,64.5485336179,1.18347970781,1.21401571618,1.19817852471
autos,88.6167928219,89.1832728334,88.6225707064,5.21694647271,4.7994964225,4.90586393293
balance-scale,98.2092278296,98.1609656189,98.2405867146,1.16989373861,1.14400367671,1.15321319004
car,98.0788412421,98.0845543756,98.038311601,0.688731187005,0.716388494098,0.740478576645
cleveland,82.1613871031,82.1924410676,82.6596532242,4.67717614009,4.80629788964,5.04102617265
credit-approval,86.8301055179,87.0901261588,86.9373316251,2.46568016356,2.30069159557,2.35236370606
dermatology,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751
diabetes,76.3147440794,76.7707325354,76.7713267125,3.27748662351,3.20195036574,3.13263090885
ecoli,96.4711127531,96.5014296998,96.4707004121,2.61726115232,2.59715691989,2.53684595121
flare,81.8271927294,81.5741182829,81.9638709014,1.40154701433,1.38015559574,1.39342814544
german,75.25,74.39,75.24,2.03602754482,2.35885219407,2.03098448029
glass,76.3658864391,76.2195694486,76.1395768314,5.95369834884,5.90484119157,5.94864417094
heart-statlog,82.5925925926,82.8518518519,82.9259259259,4.53609211627,4.50217606466,4.76616505485
hepatitis,84.5552419355,84.509811828,85.0717741935,4.74308903644,5.32493740153,4.65470728367
horse,84.2088635732,84.610030564,84.4433083264,4.04874023615,4.22286961747,4.0212197035
ionosphere,91.9975855131,92.2519114688,91.9114688129,3.05773690814,2.72711176504,3.26110823277
iris,99.9333333333,100.0,100.0,0.471404520791,0.0,0.0
landsat-satellite,99.1795250178,99.1810669559,99.1779625705,0.244122388512,0.246730890566,0.247100787011
letter,99.9114388811,99.9145813751,99.911155493,0.0442203183099,0.043692226658,0.0461731740499
libras-movement,98.4133333333,98.4733333333,98.44,1.46858254582,1.34533712236,1.43560174873
lung-cancer,94.3789473684,67.0842105263,94.4842105263,6.1463026753,12.4372857205,6.19741374576
mfeat-karhunen,99.635,99.66,99.64,0.378672493248,0.352686482732,0.357713829301
mfeat-morphological,99.82,99.85,99.82,0.202282889407,0.195615199109,0.202282889407
mfeat-zernike,99.35,99.35,99.35,0.342559394522,0.331200660553,0.331200660553
mushroom,100.0,100.0,100.0,0.0,0.0,0.0
optdigits,99.5409198822,99.5052768164,99.5159532127,0.20654444411,0.20970418546,0.201767702892
page-blocks,97.0382690877,97.0565456575,97.0346144257,0.523959306757,0.525201047973,0.524526766796
pendigits,99.810759624,99.8171232645,99.8162166559,0.085940612827,0.084015000885,0.0862352738932
scene-classification,84.8604124073,84.3661179093,84.8519838583,1.32638633431,1.3978880145,1.44659995996
segment,99.7575757576,99.7402597403,99.7532467532,0.198668873274,0.205109758216,0.209765128091
shuttle,99.9254182235,99.9247284809,99.92502413,0.0262381628563,0.0258395106034,0.0257672894407
sonar,85.2360154499,85.3300380844,85.0464846177,5.01215958675,4.99263907032,5.14734384477
spambase,94.5143035377,94.5730016222,94.5490672839,0.686906045587,0.68576520314,0.704310898926
tic-tac,86.7855234246,86.8269742018,86.7322464825,2.41869753613,2.63460855341,2.39587296575
vehicle,97.8373341851,97.8612141513,97.8731206005,1.18856302529,1.17839972574,1.14714697581
vowel,99.0101010101,99.0505050505,99.0606060606,0.645007117998,0.681732283464,0.612298687136
waveform-5000,88.2045886506,88.2986127266,88.2406006866,1.10214036652,1.10780360661,1.10317338192
wdbc,97.4130050019,97.5182762601,97.4133128126,1.28105408809,1.20865677737,1.31794038484
wpbc,78.6201754386,78.7518218623,78.3609986505,4.26497719551,5.04602484239,4.01018320731
yeast,74.5663745086,74.5938344995,74.5935169981,1.85029676445,2.01493548197,1.83177093285
zoo,99.8947368421,100.0,99.7994987469,0.744322927565,0.0,0.993514996456
