,mean,mean,mean,mean,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,64.6204244305,64.5485336179,64.5173986418,64.5676351276,1.21561730949,1.19817852471,1.21859680876,1.23387919322
autos,89.1832728334,88.6225707064,88.3803561196,89.1229003706,4.7994964225,4.90586393293,5.48719095091,4.7601902948
balance-scale,98.1609656189,98.2405867146,98.1773569118,98.2092278296,1.14400367671,1.15321319004,1.21680696371,1.22308184827
car,98.0845543756,98.038311601,98.0613993816,98.0383452077,0.716388494098,0.740478576645,0.692742699156,0.749601135878
cleveland,82.1924410676,82.6596532242,82.0878238847,82.2251899474,4.80629788964,5.04102617265,4.96069742887,4.82032178974
credit-approval,87.0901261588,86.9373316251,86.8919909607,86.9215982491,2.30069159557,2.35236370606,2.83211118326,2.40276868546
dermatology,99.7229300729,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751,0.559843572751
diabetes,76.7707325354,76.7713267125,76.7323656735,76.7844834904,3.20195036574,3.13263090885,3.20827709609,3.16752123247
ecoli,96.5014296998,96.4707004121,96.410492776,96.4417149048,2.59715691989,2.53684595121,2.63693321308,2.65337483298
flare,81.5741182829,81.9638709014,81.9131479216,81.3943547558,1.38015559574,1.39342814544,1.68781949802,1.4027997989
german,74.39,75.24,75.07,75.34,2.35885219407,2.03098448029,2.26555845258,2.2597633974
glass,76.2195694486,76.1395768314,75.2512433303,76.3204318937,5.90484119157,5.94864417094,5.66345281181,5.57706262614
heart-statlog,82.8518518519,82.9259259259,83.0,82.8888888889,4.50217606466,4.76616505485,4.80127755644,4.57541957865
hepatitis,84.697311828,85.0717741935,84.4284946237,85.4428763441,5.3726524041,4.65470728367,4.80865095904,4.68498775591
horse,84.610030564,84.4433083264,84.2066592572,84.547244605,4.22286961747,4.0212197035,3.99417718073,4.37024590327
ionosphere,92.2519114688,91.9114688129,91.8832997988,91.9975855131,2.72711176504,3.26110823277,2.85365618343,3.1361707953
iris,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
landsat-satellite,99.1810669559,99.1779625705,99.1624309218,99.1810585102,0.246730890566,0.247100787011,0.245675321255,0.26220370706
letter,99.9145813751,99.911155493,99.9097256957,99.9131528824,0.043692226658,0.0461731740499,0.045091704208,0.0431495075415
libras-movement,98.4733333333,98.44,98.3933333333,98.36,1.34533712236,1.43560174873,1.38618057938,1.53099496349
lung-cancer,69.1684210526,94.4842105263,94.1789473684,89.0789473684,11.7804649484,6.19741374576,6.63672587678,7.40673062456
mfeat-karhunen,99.66,99.64,99.64,99.66,0.352686482732,0.357713829301,0.364775580994,0.356284683238
mfeat-morphological,99.85,99.82,99.825,99.795,0.195615199109,0.202282889407,0.248721219235,0.275208640704
mfeat-zernike,99.35,99.35,99.37,99.36,0.331200660553,0.331200660553,0.343451865148,0.343154632842
mushroom,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
optdigits,99.5052768164,99.5159532127,99.5266927881,99.5052927406,0.20970418546,0.201767702892,0.199551392857,0.20499575885
page-blocks,97.0565456575,97.0346144257,97.0090502788,97.0401005712,0.525201047973,0.524526766796,0.531004937891,0.532843584827
pendigits,99.8171232645,99.8162166559,99.8034769567,99.8125790505,0.084015000885,0.0862352738932,0.0834956148071,0.08705069209
scene-classification,84.3661179093,84.8519838583,84.7730594183,84.7024160851,1.3978880145,1.44659995996,1.40550895155,1.48270253271
segment,99.7402597403,99.7532467532,99.7402597403,99.7619047619,0.205109758216,0.209765128091,0.209719541841,0.215343046957
shuttle,99.9247284809,99.92502413,99.9273887445,99.9263049376,0.0258395106034,0.0257672894407,0.0269420543954,0.0250198494105
sonar,85.3300380844,85.0464846177,84.4135537369,85.2370148286,4.99263907032,5.14734384477,5.26575093752,5.14170617682
spambase,94.5730016222,94.5490672839,94.4947595638,94.583883015,0.68576520314,0.704310898926,0.668390545656,0.688755032157
tic-tac,86.8269742018,86.7322464825,86.7959963242,86.7846019383,2.63460855341,2.39587296575,2.78297514187,2.4801563481
vehicle,97.8612141513,97.8731206005,97.8378977834,97.8847452209,1.17839972574,1.14714697581,1.08084090454,1.19147607354
vowel,99.0505050505,99.0606060606,98.9696969697,99.0909090909,0.681732283464,0.612298687136,0.676519952077,0.67682767097
waveform-5000,88.2986127266,88.2406006866,88.1145325625,88.2346066726,1.10780360661,1.10317338192,1.08981538539,1.0698152279
wdbc,97.5182762601,97.4133128126,97.5005771451,97.4841092728,1.20865677737,1.31794038484,1.37739364385,1.14300235309
wpbc,78.9056680162,78.3609986505,79.1699055331,78.7714574899,4.99982167288,4.01018320731,4.36490961912,4.42923932136
yeast,74.5938344995,74.5935169981,74.493161947,74.667004922,2.01493548197,1.83177093285,1.94532303976,1.96243610673
zoo,100.0,99.7994987469,99.8947368421,100.0,0.0,0.993514996456,0.744322927565,0.0
