,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.209617428702,0.209476347435,0.210074092598,0.00421577459918,0.00397405604773,0.00437863121527
autos,0.0902747457291,0.0902359920326,0.0919531513724,0.0268040425618,0.025999245465,0.0243335888287
balance-scale,0.0151439855766,0.0151497569633,0.0155066076875,0.00813485451749,0.008119071969,0.00783552450774
car,0.0143921400642,0.0143650053092,0.0145135422429,0.00489185079659,0.00488540218393,0.00477361025795
cleveland,0.130040998745,0.129597070078,0.129355417741,0.0274796306004,0.0275556980305,0.0272587724269
credit-approval,0.103008122922,0.10235231385,0.10277599788,0.0177494228645,0.0172936154288,0.0172323423298
dermatology,0.00286322451922,0.00243689833878,0.00283823651974,0.0050013082512,0.00501496387573,0.0049620381068
diabetes,0.156990287713,0.156777050951,0.156882323014,0.0133388701941,0.0130067081244,0.0135588296051
ecoli,0.0294054275634,0.0293688433865,0.0292875068299,0.0198833629035,0.0202977137304,0.0190604735856
flare,0.130887707514,0.130980449033,0.130701314672,0.00860893080608,0.00872409633626,0.00856962739913
german,0.172882501912,0.175597752934,0.17276029935,0.00851407347431,0.00941048008394,0.00845469584295
glass,0.168705596262,0.168821522513,0.169192045082,0.025076881531,0.0244367286219,0.0223389808861
heart-statlog,0.128362164606,0.127847231403,0.127655561635,0.0243254468696,0.0241354689947,0.0237269795841
hepatitis,0.116877601711,0.118659168405,0.115765215827,0.0296113166916,0.0307552971308,0.0287912629555
horse,0.122917170707,0.121869615222,0.122273073392,0.0232450766836,0.02270536565,0.0223503508217
ionosphere,0.0626761859932,0.0625688711202,0.062624990564,0.0216069559442,0.0199614896038,0.0214122572245
iris,0.00032168717658,3.28816268054e-05,0.000157319722838,0.00126828684109,0.000144786078755,0.000668532332739
landsat-satellite,0.00627983668077,0.00627928178385,0.00629545847768,0.00157130859299,0.0015777419544,0.00155263362405
letter,0.00068930511379,0.000680766275753,0.000696381356437,0.00027792289712,0.00027151225534,0.000273545005048
libras-movement,0.0152154962187,0.0144481296092,0.0152871835784,0.0115290538078,0.011665858047,0.0110673853332
lung-cancer,0.0373459224331,0.146786427168,0.0371499316866,0.0388358573527,0.0389579848041,0.0389168794809
mfeat-karhunen,0.00326729037304,0.00304987881595,0.00327833649322,0.00283100138648,0.00282614306099,0.00266326348004
mfeat-morphological,0.00179465765207,0.00151397912338,0.00180789189826,0.00189550959838,0.00196643054131,0.00189108646857
mfeat-zernike,0.00519103232556,0.00505084297768,0.00505220789366,0.00271178235455,0.00262037293821,0.00251921670157
mushroom,2.38542621829e-06,1.52459102244e-06,2.06470474961e-06,5.71842516333e-06,3.83262376678e-06,4.56761616751e-06
optdigits,0.00360394916749,0.00375515260108,0.00364718699325,0.00144216765217,0.00145729301231,0.00140015762986
page-blocks,0.0229055680497,0.0232201978693,0.0230574646972,0.0036007903229,0.00347610301484,0.00355148662802
pendigits,0.00151690783401,0.0014935309825,0.00150255138051,0.000645871006456,0.000655003948226,0.000618151604105
scene-classification,0.109836208153,0.110946478797,0.109843823972,0.00667774698536,0.00697358650555,0.00648354321814
segment,0.00200326783014,0.00222198977267,0.00205435839473,0.00159067194318,0.00179910197263,0.00165276034985
shuttle,0.000691750396517,0.000686952473458,0.000730431611851,0.00024750470989,0.00023404188951,0.000248889238301
sonar,0.109717039674,0.109330437978,0.108923995985,0.026472999368,0.0261580840571,0.0256405279543
spambase,0.0437243345486,0.0437699801995,0.0438872924537,0.00412759419866,0.00414752272529,0.00408733136049
tic-tac,0.0993168170846,0.0993935346066,0.10187918399,0.014297805435,0.0143193336888,0.013593268512
vehicle,0.0162730234045,0.0162764846329,0.0162034837182,0.00789110350283,0.00779088918064,0.00752066850134
vowel,0.00726993822583,0.00727179037445,0.00712108843095,0.00470282257536,0.00515048516675,0.00460158600644
waveform-5000,0.0911806120535,0.0911295953399,0.0911529834739,0.00851406194325,0.00843236454717,0.00843887104354
wdbc,0.0198154091064,0.0196990082979,0.0199391232216,0.0090636103478,0.00902377533816,0.00858905943684
wpbc,0.155284564183,0.158396915401,0.156106932142,0.0208710061317,0.0226866934928,0.0189014614429
yeast,0.167586214225,0.167744803299,0.167395819275,0.00766911959939,0.00794727320225,0.0073554413029
zoo,0.0013580172841,9.63998169163e-05,0.00156681158167,0.0033837846343,0.000369838934914,0.00396987641019
