,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,isotonic,sigmoid,None,beta,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.209982584061,0.209617428702,0.21028221024,0.210939997814,0.00419704804193,0.00421577459918,0.00454752816452,0.00451246879221
autos,0.085646531501,0.0902747457291,0.0909222943135,0.0876839763007,0.0267717352364,0.0268040425618,0.0313200657258,0.0263881600304
balance-scale,0.0211381219057,0.0151439855766,0.0149433086194,0.0150450879365,0.00587703740018,0.00813485451749,0.00888955855646,0.00860126546657
car,0.0191988960085,0.0143921400642,0.0146996013323,0.0146195011735,0.00370853770295,0.00489185079659,0.00506484602738,0.00512156413427
cleveland,0.13140087478,0.130040998745,0.132934196156,0.1310487433,0.0320291836928,0.0274796306004,0.0288160994319,0.0295562929125
credit-approval,0.102745722211,0.103008122922,0.10386343461,0.102250416837,0.0194879134392,0.0177494228645,0.0184009581216,0.0179936436501
dermatology,0.00228246728067,0.00286322451922,0.00258624042015,0.00290663721656,0.00307053663594,0.0050013082512,0.00436759622346,0.00518264839982
diabetes,0.157069169884,0.156990287713,0.158561501909,0.158432724065,0.0143635969643,0.0133388701941,0.0149550393141,0.0150501000166
ecoli,0.0291581540282,0.0294054275634,0.0303672004099,0.0298093937214,0.0174440438064,0.0198833629035,0.020284445672,0.0201598731943
flare,0.13097819108,0.130887707514,0.132292725004,0.13237793925,0.0090083992091,0.00860893080608,0.00864084007694,0.00957569293074
german,0.18484285926,0.172882501912,0.17390598943,0.172932010961,0.0149729170031,0.00851407347431,0.00988623654114,0.00903813117541
glass,0.167369587965,0.168705596262,0.172097453227,0.168703990871,0.0265602450099,0.025076881531,0.0314574211972,0.0262616434041
heart-statlog,0.128106335604,0.128362164606,0.129191084893,0.128847287724,0.030348456354,0.0243254468696,0.0274410337309,0.0270891776065
hepatitis,0.119071415657,0.116877601711,0.11910199468,0.115530413435,0.0404497726974,0.0296113166916,0.0340847755026,0.0304151667915
horse,0.123760239707,0.122917170707,0.124045754085,0.121751709159,0.0286396909669,0.0232450766836,0.0255287506299,0.0241512429577
ionosphere,0.0643656366482,0.0626761859932,0.0631231841337,0.0647517796666,0.0216005285205,0.0216069559442,0.0216537445984,0.0227526426129
iris,0.00206842077442,0.00032168717658,0.000723657673584,1.10084829872e-05,0.00154594617709,0.00126828684109,0.00148843462589,6.50052494145e-05
landsat-satellite,0.00628357909551,0.00627983668077,0.00640016758975,0.00687619777222,0.00160364965306,0.00157130859299,0.00167668714665,0.00203079850023
letter,0.000738600921376,0.00068930511379,0.000704427000105,0.000709522091687,0.000251172342769,0.00027792289712,0.000292707239502,0.0003370174903
libras-movement,0.0146033575967,0.0152154962187,0.0151783792783,0.01507306064,0.0109131309069,0.0115290538078,0.0109977669626,0.0116084926671
lung-cancer,0.28220113362,0.0373459224331,0.0472802125069,0.0646232981045,0.103710212652,0.0388358573527,0.0484777099325,0.0365960189655
mfeat-karhunen,0.00340720060541,0.00326729037304,0.00334178926806,0.00322311798421,0.00240759070508,0.00283100138648,0.00296147714474,0.00301053544626
mfeat-morphological,0.00151627012073,0.00179465765207,0.00167802399157,0.00199616216732,0.00193472393846,0.00189550959838,0.00191266006965,0.00201971930311
mfeat-zernike,0.00496648705604,0.00519103232556,0.00528692037931,0.00531657723395,0.00243875123336,0.00271178235455,0.0027860010704,0.00276140359993
mushroom,0.000100949029247,2.38542621829e-06,3.36968882768e-06,2.87741060665e-08,5.79126382243e-05,5.71842516333e-06,7.51690190205e-06,1.47928789918e-07
optdigits,0.00369050677046,0.00360394916749,0.00370637922881,0.00412273901489,0.00141973473735,0.00144216765217,0.00150354085641,0.00174570381995
page-blocks,0.0230150561021,0.0229055680497,0.0230296666363,0.0243532781752,0.00363336922025,0.0036007903229,0.00377854987612,0.0042766632743
pendigits,0.00153307732477,0.00151690783401,0.00156687322417,0.00160464836295,0.000587838109024,0.000645871006456,0.000665299601777,0.000736142193881
scene-classification,0.12784682507,0.109836208153,0.110453895855,0.116376461164,0.0112087718407,0.00667774698536,0.00722857708406,0.00771053398071
segment,0.00219130978952,0.00200326783014,0.00215363479016,0.00211459378524,0.00155853188039,0.00159067194318,0.00165534939826,0.00181253141882
shuttle,0.000818923343464,0.000691750396517,0.000676105366759,0.000678172966031,0.000264973216423,0.00024750470989,0.000256226671437,0.000237406984385
sonar,0.113037440577,0.109717039674,0.112309597029,0.112632361628,0.0339931176464,0.026472999368,0.0288858758447,0.0303738610692
spambase,0.043901613015,0.0437243345486,0.0433366529413,0.0452463942007,0.0052376095958,0.00412759419866,0.00460021930081,0.00543246407932
tic-tac,0.10212605767,0.0993168170846,0.0997582966215,0.100208296472,0.0130514497895,0.014297805435,0.0147820513802,0.0143180190246
vehicle,0.0161017808934,0.0162730234045,0.0168061128819,0.0171264510748,0.00684428695099,0.00789110350283,0.00794542979516,0.00883833016227
vowel,0.00863828226024,0.00726993822583,0.00759677397961,0.00710398969499,0.00390555446713,0.00470282257536,0.00472232255934,0.0049858532337
waveform-5000,0.0907448472621,0.0911806120535,0.0923469125501,0.0908218521329,0.0126200399252,0.00851406194325,0.00929485205698,0.00899477322012
wdbc,0.0194312435797,0.0198154091064,0.0200701728443,0.0204331186864,0.00877476537304,0.0090636103478,0.00934422832205,0.00958772128319
wpbc,0.157330158138,0.155284564183,0.156312448978,0.155158409001,0.0355491213246,0.0208710061317,0.0268902577977,0.0214324301529
