,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.209982584061,0.210074092598,0.21028221024,0.210939997814,0.00419704804193,0.00437863121527,0.00454752816452,0.00451246879221
autos,0.085646531501,0.0919531513724,0.0909222943135,0.0876839763007,0.0267717352364,0.0243335888287,0.0313200657258,0.0263881600304
balance-scale,0.0211381219057,0.0155066076875,0.0149433086194,0.0150450879365,0.00587703740018,0.00783552450774,0.00888955855646,0.00860126546657
car,0.0191988960085,0.0145135422429,0.0146996013323,0.0146195011735,0.00370853770295,0.00477361025795,0.00506484602738,0.00512156413427
cleveland,0.13140087478,0.129355417741,0.132934196156,0.1310487433,0.0320291836928,0.0272587724269,0.0288160994319,0.0295562929125
credit-approval,0.102745722211,0.10277599788,0.10386343461,0.102250416837,0.0194879134392,0.0172323423298,0.0184009581216,0.0179936436501
dermatology,0.00228246728067,0.00283823651974,0.00258624042015,0.00290663721656,0.00307053663594,0.0049620381068,0.00436759622346,0.00518264839982
diabetes,0.157069169884,0.156882323014,0.158561501909,0.158432724065,0.0143635969643,0.0135588296051,0.0149550393141,0.0150501000166
ecoli,0.0291581540282,0.0292875068299,0.0303672004099,0.0298093937214,0.0174440438064,0.0190604735856,0.020284445672,0.0201598731943
flare,0.13097819108,0.130701314672,0.132292725004,0.13237793925,0.0090083992091,0.00856962739913,0.00864084007694,0.00957569293074
german,0.18484285926,0.17276029935,0.17390598943,0.172932010961,0.0149729170031,0.00845469584295,0.00988623654114,0.00903813117541
glass,0.167369587965,0.169192045082,0.172097453227,0.168703990871,0.0265602450099,0.0223389808861,0.0314574211972,0.0262616434041
heart-statlog,0.128106335604,0.127655561635,0.129191084893,0.128847287724,0.030348456354,0.0237269795841,0.0274410337309,0.0270891776065
hepatitis,0.119071415657,0.115765215827,0.11910199468,0.115530413435,0.0404497726974,0.0287912629555,0.0340847755026,0.0304151667915
horse,0.123760239707,0.122273073392,0.124045754085,0.121751709159,0.0286396909669,0.0223503508217,0.0255287506299,0.0241512429577
ionosphere,0.0643656366482,0.062624990564,0.0631231841337,0.0647517796666,0.0216005285205,0.0214122572245,0.0216537445984,0.0227526426129
iris,0.00206842077442,0.000157319722838,0.000723657673584,1.10084829872e-05,0.00154594617709,0.000668532332739,0.00148843462589,6.50052494145e-05
landsat-satellite,0.00628357909551,0.00629545847768,0.00640016758975,0.00687619777222,0.00160364965306,0.00155263362405,0.00167668714665,0.00203079850023
letter,0.000738600921376,0.000696381356437,0.000704427000105,0.000709522091687,0.000251172342769,0.000273545005048,0.000292707239502,0.0003370174903
libras-movement,0.0146033575967,0.0152871835784,0.0151783792783,0.01507306064,0.0109131309069,0.0110673853332,0.0109977669626,0.0116084926671
lung-cancer,0.28220113362,0.0371499316866,0.0472802125069,0.0646232981045,0.103710212652,0.0389168794809,0.0484777099325,0.0365960189655
mfeat-karhunen,0.00340720060541,0.00327833649322,0.00334178926806,0.00322311798421,0.00240759070508,0.00266326348004,0.00296147714474,0.00301053544626
mfeat-morphological,0.00151627012073,0.00180789189826,0.00167802399157,0.00199616216732,0.00193472393846,0.00189108646857,0.00191266006965,0.00201971930311
mfeat-zernike,0.00496648705604,0.00505220789366,0.00528692037931,0.00531657723395,0.00243875123336,0.00251921670157,0.0027860010704,0.00276140359993
mushroom,0.000100949029247,2.06470474961e-06,3.36968882768e-06,2.87741060665e-08,5.79126382243e-05,4.56761616751e-06,7.51690190205e-06,1.47928789918e-07
optdigits,0.00369050677046,0.00364718699325,0.00370637922881,0.00412273901489,0.00141973473735,0.00140015762986,0.00150354085641,0.00174570381995
page-blocks,0.0230150561021,0.0230574646972,0.0230296666363,0.0243532781752,0.00363336922025,0.00355148662802,0.00377854987612,0.0042766632743
pendigits,0.00153307732477,0.00150255138051,0.00156687322417,0.00160464836295,0.000587838109024,0.000618151604105,0.000665299601777,0.000736142193881
scene-classification,0.12784682507,0.109843823972,0.110453895855,0.116376461164,0.0112087718407,0.00648354321814,0.00722857708406,0.00771053398071
