,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.602878218364,0.602470915906,0.604182608245,0.0103381448161,0.0101742331962,0.0103332224552
autos,0.314558373109,0.31591961288,0.316834587623,0.0878974394005,0.0846846180486,0.0749642649202
balance-scale,0.0571308215678,0.0569727950576,0.0585872457727,0.027063747819,0.0270875777189,0.0265521549708
car,0.0527034189132,0.0525327344561,0.0542886986071,0.018734372172,0.0187750764141,0.0212897994846
cleveland,0.414526672463,0.412690478553,0.410995277024,0.0767753444666,0.0767708452344,0.0751066269244
credit-approval,0.35050507209,0.348526888497,0.349650013345,0.058339761306,0.056318910813,0.0559439829472
dermatology,0.0134277504259,0.0116114596993,0.0128423368009,0.0253962328304,0.024086602387,0.0242749774854
diabetes,0.479593875616,0.479003536265,0.479731378131,0.0355643374533,0.0343917108607,0.0359654106212
ecoli,0.137680707743,0.132065515051,0.131985614067,0.11095128395,0.099985097744,0.104939258747
flare,0.406079338645,0.406111326931,0.406483547039,0.0235179305162,0.0238962635209,0.0234632252869
german,0.523927545951,0.530917996056,0.52357399336,0.0238316220043,0.0274277470185,0.0247388431491
glass,0.510919188814,0.510239388675,0.508828397471,0.0758095669286,0.0704316591044,0.0613079983224
heart-statlog,0.410735713485,0.409481867619,0.407353945616,0.0657388968425,0.0648928159512,0.0632783655654
hepatitis,0.388373441432,0.394490153143,0.382364482139,0.0993285584701,0.103577559753,0.0925397214449
horse,0.405539767665,0.403496853974,0.404060034791,0.0655082168884,0.0661072737009,0.0651613827413
ionosphere,0.216465053127,0.217748111503,0.218005886273,0.0714537598648,0.0653749961212,0.0745944430281
iris,0.00144950890155,0.000403926142033,0.00094280849513,0.00396590065144,0.00107773290947,0.00257480847356
landsat-satellite,0.0233591375115,0.0233376602135,0.0233334096579,0.00554899542363,0.00555576403749,0.00550412740109
letter,0.00275514150011,0.00272696045459,0.00278444442843,0.000930609348225,0.000914598471613,0.000939170909677
libras-movement,0.0884864555575,0.0763918754388,0.0943129200997,0.108672060773,0.0661794157849,0.118987746962
lung-cancer,0.174341452105,0.407808022608,0.173144695913,0.352519193141,0.0972670535313,0.349937493683
mfeat-karhunen,0.0172127197913,0.0160461000203,0.0181292414523,0.0174324843258,0.0163364843762,0.019306522623
mfeat-morphological,0.0151454325811,0.0146739218417,0.0153979523653,0.0280988203742,0.0286002876652,0.0291754282517
mfeat-zernike,0.0239469918056,0.0236311456301,0.0228826136022,0.0165589766635,0.0171077591826,0.0167490600923
mushroom,5.60087427529e-05,4.48179399806e-05,5.207064399e-05,5.8067394611e-05,4.28921863979e-05,5.01349975687e-05
optdigits,0.0171960788087,0.0173331819943,0.0168732908279,0.0123868699481,0.0118425101487,0.0121555852108
page-blocks,0.0848868391443,0.0860478424569,0.0887180249948,0.0151701381276,0.0146666713752,0.0155603239759
pendigits,0.00703375557251,0.00677723514647,0.00676169301253,0.00327496307149,0.00304355321105,0.00292352202874
scene-classification,0.34873828407,0.351559477407,0.34852736941,0.0202524201753,0.0221811770568,0.0202408076887
segment,0.0115170386801,0.0124542321745,0.0127462969771,0.0122523033488,0.0115024349276,0.0138480371934
shuttle,0.00460884499054,0.00476365424144,0.00551533256538,0.00229754105104,0.00245383151267,0.00297161432606
sonar,0.353804934764,0.353042964587,0.349942466943,0.0751645367397,0.0755767454103,0.0751659652176
spambase,0.165292242955,0.166365402824,0.167768371014,0.0178334900162,0.018015074584,0.0187184765905
tic-tac,0.327852812874,0.327777632299,0.33831150675,0.0386081436078,0.0388040162377,0.0391603314746
vehicle,0.063301790324,0.0632363398992,0.0612337691807,0.0329144608188,0.0324732292682,0.0304060674681
vowel,0.0260181625259,0.0266089115036,0.0254418274552,0.0162048187896,0.0175849116683,0.0155864034824
waveform-5000,0.29715145151,0.297089765981,0.296914040634,0.0373616662659,0.0373178832943,0.0370510670146
wdbc,0.0788560117003,0.0783118225215,0.0809425111135,0.0358651355257,0.035527374217,0.0376015747697
wpbc,0.483296244154,0.490749539632,0.484191279223,0.0584154806777,0.0666109390823,0.0560089210833
yeast,0.497827651639,0.498274227741,0.49702520661,0.021162540752,0.0220802145867,0.0208703293329
zoo,0.0053903991215,0.00140524122613,0.00579383985876,0.0109017385978,0.00320297214269,0.011730429594
