,mean,mean,mean,mean,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
abalone,0.603957809839,0.604182608245,0.620395132496,0.606845901833,0.00990649644591,0.0103332224552,0.0305510726068,0.0102826259793
autos,0.300656370182,0.316834587623,0.488972437363,0.30425694789,0.105759331529,0.0749642649202,0.497005382195,0.0690472298789
balance-scale,0.0804914668945,0.0585872457727,0.0751293953264,0.0599515239485,0.0156804850326,0.0265521549708,0.10561095198,0.0294181336451
car,0.0772528845541,0.0542886986071,0.0855713941266,0.0549628922382,0.010441323866,0.0212897994846,0.0779841177118,0.019897482853
cleveland,0.434287632637,0.410995277024,0.57612524997,0.421294784308,0.108646233162,0.0751066269244,0.350644593285,0.0766045033988
credit-approval,0.370026187688,0.349650013345,0.454000629374,0.347031071662,0.0808483286061,0.0559439829472,0.200953066853,0.0516527181203
dermatology,0.0129970875341,0.0128423368009,0.00886917654941,0.0167918478987,0.00816760667301,0.0242749774854,0.0142659885743,0.0335420319287
diabetes,0.481739228497,0.479731378131,0.562837428472,0.483698045068,0.0396822927016,0.0359654106212,0.176205668242,0.0362650503668
ecoli,0.119164167778,0.131985614067,0.373683442128,0.123586770895,0.067965408967,0.104939258747,0.530164902406,0.079848089663
flare,0.40647293831,0.406483547039,0.416245264012,0.41530895311,0.0255405563325,0.0234632252869,0.0377117822804,0.0258015711323
german,0.60849955362,0.52357399336,0.598384659226,0.523890948273,0.0670564660763,0.0247388431491,0.11954672297,0.0215213000181
glass,0.506726585362,0.508828397471,0.67633185783,0.510563817336,0.0759610173802,0.0613079983224,0.48465399467,0.0660384029684
heart-statlog,0.421527832001,0.407353945616,0.585440734597,0.416838191103,0.1013405579,0.0632783655654,0.478921986433,0.0677495170058
hepatitis,0.42880485616,0.382364482139,0.853457323871,0.383571275988,0.167487110672,0.0925397214449,1.07291388841,0.0868308567478
horse,0.457757398823,0.404060034791,0.660224570599,0.400526601699,0.125579693289,0.0651613827413,0.411428689479,0.0602081629791
ionosphere,0.240917448644,0.218005886273,0.372551532568,0.231701183375,0.0966254543042,0.0745944430281,0.456650695958,0.0684852522464
iris,0.026021439443,0.00094280849513,0.00402223289495,0.000183366887347,0.00732150292914,0.00257480847356,0.005656607556,0.000623636589094
landsat-satellite,0.02343348431,0.0233334096579,0.0316942569269,0.0313811261566,0.0062205260731,0.00550412740109,0.0166633836507,0.00807922435476
letter,0.0030760036679,0.00278444442843,0.00399626221563,0.00366815450228,0.00083253791354,0.000939170909677,0.00244850811976,0.00145969044715
libras-movement,0.0773543370718,0.0943129200997,0.218356622234,0.0765870050514,0.0674748284355,0.118987746962,0.319922287349,0.0592390128626
lung-cancer,2.50533834908,0.173144695913,0.312923009316,0.181334442093,1.38965585848,0.349937493683,0.708486318965,0.0977187458252
mfeat-karhunen,0.0178299098812,0.0181292414523,0.0402842832079,0.0169449847465,0.0121044496486,0.019306522623,0.0672160006346,0.0149261547384
mfeat-morphological,0.0127253214593,0.0153979523653,0.0162230506297,0.0142084822434,0.0146408441081,0.0291754282517,0.0391463625902,0.0165018840047
mfeat-zernike,0.0218610773132,0.0228826136022,0.0585348136947,0.0262065360936,0.0151965715686,0.0167490600923,0.0703317682109,0.0143514507864
mushroom,0.00179392514794,5.207064399e-05,4.71295279935e-05,1.38526504787e-05,0.000405088019837,5.01349975687e-05,7.36060311294e-05,6.24386931548e-06
optdigits,0.0166335716002,0.0168732908279,0.0263045372784,0.0195404928334,0.0114972131494,0.0121555852108,0.0244779799246,0.00755179312728
page-blocks,0.0889165593288,0.0887180249948,0.0958174154752,0.0967255653109,0.0162801590506,0.0155603239759,0.0265695377469,0.0157150192188
pendigits,0.00690903646124,0.00676169301253,0.0133462951175,0.0079322950302,0.00237715090302,0.00292352202874,0.0115960499452,0.00344559948554
scene-classification,0.603893448212,0.34852736941,0.3779164417,0.383410118205,0.0831165407795,0.0202408076887,0.0708249351964,0.0193402807581
segment,0.0119802939113,0.0127462969771,0.0250763093142,0.0134830292258,0.00702148005052,0.0138480371934,0.0381660154669,0.0130542967568
shuttle,0.00614324916595,0.00551533256538,0.00406943281439,0.00439611643157,0.00290884602237,0.00297161432606,0.0018484576243,0.0014899644604
sonar,0.394554949315,0.349942466943,0.611899120868,0.372860550558,0.137986738123,0.0751659652176,0.537726869266,0.0775935370904
spambase,0.202726741349,0.167768371014,0.173700107079,0.175202978441,0.0397320197371,0.0187184765905,0.0329485804927,0.0176558130708
tic-tac,0.340204352152,0.33831150675,0.336211656891,0.335889529416,0.0372527042369,0.0391603314746,0.085391435797,0.038279092347
vehicle,0.0612088276905,0.0612337691807,0.108757450248,0.0672771766044,0.0256806168173,0.0304060674681,0.10984853793,0.0293416591409
vowel,0.0358258509851,0.0254418274552,0.0255538539113,0.0285523807141,0.0104527942943,0.0155864034824,0.0162116759359,0.0195779955641
waveform-5000,0.35540082347,0.296914040634,0.311330963041,0.311055531511,0.0941346417791,0.0370510670146,0.037564571466,0.0252090042062
wdbc,0.0808571526246,0.0809425111135,0.18495266471,0.0872319671834,0.0423938612225,0.0376015747697,0.212310460083,0.037729197117
wpbc,0.531727603107,0.484191279223,0.591574851177,0.483657572745,0.144094287473,0.0560089210833,0.365873660234,0.0529958080463
yeast,0.501747429331,0.49702520661,0.540509021318,0.505183077168,0.028638671338,0.0208703293329,0.0841735216124,0.0210905658162
zoo,0.0211836268808,0.00579383985876,0.0090676376808,0.00145065980842,0.0135534830486,0.011730429594,0.0119732654552,0.00418766548602
