,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.646204244305,0.603957809839,0.0121561730949,0.00990649644591
abalone,beta,0.645269394169,0.602878218364,0.0118347970781,0.0103381448161
abalone,beta_ab,0.646132616951,0.602470915906,0.0121401571618,0.0101742331962
abalone,beta_am,0.645485336179,0.604182608245,0.0119817852471,0.0103332224552
abalone,isotonic,0.645173986418,0.620395132496,0.0121859680876,0.0305510726068
abalone,sigmoid,0.645676351276,0.606845901833,0.0123387919322,0.0102826259793
autos,None,0.891832728334,0.300656370182,0.047994964225,0.105759331529
autos,beta,0.886167928219,0.314558373109,0.0521694647271,0.0878974394005
autos,beta_ab,0.891832728334,0.31591961288,0.047994964225,0.0846846180486
autos,beta_am,0.886225707064,0.316834587623,0.0490586393293,0.0749642649202
autos,isotonic,0.883803561196,0.488972437363,0.0548719095091,0.497005382195
autos,sigmoid,0.891229003706,0.30425694789,0.047601902948,0.0690472298789
balance-scale,None,0.981609656189,0.0804914668945,0.0114400367671,0.0156804850326
balance-scale,beta,0.982092278296,0.0571308215678,0.0116989373861,0.027063747819
balance-scale,beta_ab,0.981609656189,0.0569727950576,0.0114400367671,0.0270875777189
balance-scale,beta_am,0.982405867146,0.0585872457727,0.0115321319004,0.0265521549708
balance-scale,isotonic,0.981773569118,0.0751293953264,0.0121680696371,0.10561095198
balance-scale,sigmoid,0.982092278296,0.0599515239485,0.0122308184827,0.0294181336451
car,None,0.980845543756,0.0772528845541,0.00716388494098,0.010441323866
car,beta,0.980788412421,0.0527034189132,0.00688731187005,0.018734372172
car,beta_ab,0.980845543756,0.0525327344561,0.00716388494098,0.0187750764141
car,beta_am,0.98038311601,0.0542886986071,0.00740478576645,0.0212897994846
car,isotonic,0.980613993816,0.0855713941266,0.00692742699156,0.0779841177118
car,sigmoid,0.980383452077,0.0549628922382,0.00749601135878,0.019897482853
cleveland,None,0.821924410676,0.434287632637,0.0480629788964,0.108646233162
cleveland,beta,0.821613871031,0.414526672463,0.0467717614009,0.0767753444666
cleveland,beta_ab,0.821924410676,0.412690478553,0.0480629788964,0.0767708452344
cleveland,beta_am,0.826596532242,0.410995277024,0.0504102617265,0.0751066269244
cleveland,isotonic,0.820878238847,0.57612524997,0.0496069742887,0.350644593285
cleveland,sigmoid,0.822251899474,0.421294784308,0.0482032178974,0.0766045033988
credit-approval,None,0.870901261588,0.370026187688,0.0230069159557,0.0808483286061
credit-approval,beta,0.868301055179,0.35050507209,0.0246568016356,0.058339761306
credit-approval,beta_ab,0.870901261588,0.348526888497,0.0230069159557,0.056318910813
credit-approval,beta_am,0.869373316251,0.349650013345,0.0235236370606,0.0559439829472
credit-approval,isotonic,0.868919909607,0.454000629374,0.0283211118326,0.200953066853
