,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,63.321120447,61.343019734,63.3833817011,0.937045111188,1.41500683637,0.947609408917
autos,69.3592303738,67.4432319085,70.1046044426,5.64171221668,6.95513870328,4.58629306781
balance-scale,95.7612178887,95.3615763116,95.8416195222,2.07792523291,1.72665448955,2.06678652617
car,78.3218846619,78.7448245732,78.4955975265,2.24110455382,2.20972338887,2.30440319921
cleveland,83.4750827976,83.6750827976,83.6745373076,4.49294165309,4.5889335356,4.43391742124
credit-approval,84.3962170145,80.2313582092,83.0201391484,2.83117236122,3.61732997034,2.9714417667
dermatology,98.7153582154,98.7153582154,98.7153582154,1.31165138903,1.31165138903,1.31165138903
diabetes,74.7128427128,75.3632119514,74.7130973602,3.43472839235,3.54539535254,2.90404378619
ecoli,95.1877055888,61.7489163024,95.1867871043,2.86608462255,9.44114106728,2.86797924333
flare,82.2891073909,51.8575907082,82.2891073909,1.13316749267,2.73473371607,1.13316749267
german,72.11,73.34,71.06,1.81908813218,2.42529190332,1.31568248759
glass,64.2082804792,58.6357360985,64.7315564281,4.29168800012,5.74289981327,3.96136567164
heart-statlog,84.7037037037,84.2222222222,84.7777777778,4.74438281301,5.10575156902,4.52512434867
hepatitis,84.4697580645,59.2369623656,84.0344086022,5.31747938942,9.52167413583,5.03771445944
horse,77.6632583125,48.1889969436,77.9971936649,4.90624804879,11.7672490617,4.99059541887
ionosphere,89.2032193159,88.5730382294,89.6869215292,3.51498663922,3.4090494302,3.67455142018
iris,100.0,100.0,100.0,0.0,0.0,0.0
landsat-satellite,93.8136263267,93.5214897846,93.7390339273,0.659441411162,0.671442587655,0.640297177912
letter,97.2005973142,97.2625957988,97.0520230024,0.211188012639,0.107763250931,0.188066124004
libras-movement,96.2733333333,94.8266666667,96.0866666667,2.47407418723,3.11913122389,1.97926897337
lung-cancer,98.9526315789,98.9526315789,98.9526315789,2.116304291,2.116304291,2.116304291
mfeat-karhunen,98.395,98.395,98.39,0.612559867961,0.606280900748,0.608527832107
mfeat-morphological,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,96.975,92.58,96.75,0.798994904328,0.899886614173,0.801783725737
mushroom,90.1945608036,91.2728398584,91.2740577691,0.71435147565,0.725802572313,0.725016741516
optdigits,89.8220810425,88.4963407733,89.8220810425,0.021098268394,0.382490106471,0.021098268394
page-blocks,90.9008828504,89.9618675585,92.1049743081,1.02080128801,1.0167423433,0.507151944702
pendigits,97.1870723255,97.2307302231,97.1679727292,0.248918920788,0.23004086184,0.279639607531
scene-classification,77.8563468512,76.9548782504,77.8563468512,0.0702327514287,0.514664845935,0.0702327514287
segment,95.9956709957,83.645021645,96.0086580087,0.882481335364,1.50416930383,0.878038785823
shuttle,89.4883781696,89.4605950203,89.7067015328,0.147144230673,0.184822857493,0.169596921851
sonar,70.4139048699,67.6960538044,69.6665046052,7.29521618623,6.80837290118,7.84838383174
spambase,84.4511489262,81.6693167171,83.5817906212,1.19994822834,1.2415149624,1.16039339556
tic-tac,71.4710648776,71.3348818599,71.3772041071,2.74621790612,1.8211865537,2.90708394885
vehicle,81.1226473437,80.2014162788,81.3031093794,2.79884360946,3.39408826915,2.6231159385
vowel,95.3232323232,94.9797979798,95.3131313131,1.38712149311,1.29231232703,1.40661187145
waveform-5000,86.3718509859,85.5798823899,86.3538929759,1.17956813586,1.17973325429,1.10429720836
wdbc,93.1795305887,93.2686417853,93.4804155444,1.99149464526,2.2001450462,2.06173872524
wpbc,75.6203778677,68.1962887989,75.779757085,3.44765070056,6.25285903214,2.06644911949
yeast,68.5376408313,62.506088418,68.5033325256,0.523224357005,4.03917668172,0.490914841961
zoo,98.2581681476,98.2581681476,98.2581681476,3.02441564798,3.02441564798,3.02441564798
