,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.216206241056,0.220185456808,0.216489986808,0.00318702082512,0.00298640170139,0.00330918878971
autos,0.185603844818,0.188335799164,0.18749571756,0.0193612212731,0.0210663680136,0.0167602513092
balance-scale,0.0328158052478,0.0340185557505,0.0331625018506,0.0119187687476,0.0120966620785,0.0118383381142
car,0.132121459977,0.13393693667,0.131982075912,0.00938636421576,0.00819851176272,0.00950735500966
cleveland,0.1290859998,0.128164653359,0.128480905284,0.0267538646793,0.026668186857,0.0261094066226
credit-approval,0.117981896517,0.132025815037,0.124400949708,0.0174059556412,0.0179578658932,0.0173656640401
dermatology,0.0126933968598,0.012697436196,0.0126226560095,0.0125938544657,0.0125945018261,0.0125315917461
diabetes,0.167508049663,0.167417575172,0.170677491879,0.0136883580409,0.0132277472203,0.012404453493
ecoli,0.0473864269673,0.201436336031,0.0472229268134,0.0186144215124,0.0452536796409,0.0187279700397
flare,0.13630694507,0.20534277134,0.137213254563,0.00878828768695,0.00816014973302,0.00815349101504
german,0.179316348441,0.184620167324,0.186585235678,0.00724941311276,0.0105644917185,0.00654325120637
glass,0.205428910812,0.216508129318,0.204722540727,0.0175903404628,0.0151915560481,0.0143522788316
heart-statlog,0.122249495305,0.122168138181,0.122226275211,0.0279769947811,0.027897503622,0.0269715934356
hepatitis,0.117097384622,0.194220908856,0.11703716781,0.0283706496187,0.0278610255222,0.0242815531071
horse,0.165522683074,0.244288235192,0.171502279783,0.0205298520973,0.0260411467488,0.0174237094824
ionosphere,0.0876101057057,0.0885011148468,0.0876085842976,0.0214313094658,0.0208659502062,0.0205086288111
iris,8.19259508975e-08,1.08565359668e-07,1.92562215614e-07,4.44068464639e-07,6.02751224199e-07,9.8295111671e-07
landsat-satellite,0.0499758797602,0.0509325863395,0.0501969703854,0.00486631897388,0.00470860836038,0.00471738324806
letter,0.0208421983501,0.0211863423059,0.0206343223657,0.000801961359332,0.000860695900199,0.000671363472464
libras-movement,0.0304197334745,0.0393106006905,0.031949079397,0.0165009826858,0.0181786282058,0.0143934178389
lung-cancer,0.0154701964263,0.0161746484893,0.0130378040029,0.0183040674397,0.0185023551913,0.0185805230374
mfeat-karhunen,0.0128108852151,0.0128972987461,0.0130488667516,0.004225956606,0.00420496789139,0.00378409554919
mfeat-morphological,0.00149988948093,0.00149989293958,0.00150024321545,0.00195222594375,0.00195222722411,0.00195253780803
mfeat-zernike,0.0238691297969,0.0424818694713,0.0253336833257,0.00537758854462,0.00414874427837,0.00482895201075
mushroom,0.0741514878892,0.0955627105267,0.0796648067815,0.00479937119879,0.00459229092106,0.00438346516908
optdigits,0.0776946790714,0.101557017843,0.0782146746594,0.00170017499934,0.00159997155511,0.00164894546613
page-blocks,0.0631546959124,0.0636566634552,0.0644726937889,0.00401731548586,0.00412395018738,0.00399750017465
pendigits,0.0223570697281,0.022442274397,0.0225109077524,0.00168863600864,0.00160242799756,0.00177984776609
scene-classification,0.147759669916,0.161424581754,0.148382933004,0.00450372635621,0.0045426992999,0.00431306015477
segment,0.0303809863545,0.0834366790312,0.0307153421036,0.00552631140003,0.00517811306322,0.00532486472096
shuttle,0.0833820707249,0.0829072679964,0.0826926274844,0.00099708853408,0.000987926012675,0.00101464628513
sonar,0.184968804071,0.194886923143,0.189282553478,0.0316670849744,0.0301194325153,0.0285703312537
spambase,0.110066680057,0.125715544452,0.115658325844,0.0094102488967,0.0069256738361,0.00776231299052
tic-tac,0.196927963963,0.199825442828,0.198851228575,0.0100359833347,0.00729412133341,0.00959453079557
vehicle,0.131746684061,0.133981144844,0.136382907425,0.0154621098404,0.0164674860166,0.013861654589
vowel,0.0342709183389,0.03526821036,0.0342448628981,0.00760917839226,0.0076079773679,0.00739357254022
waveform-5000,0.0939586649124,0.0990268166323,0.0939674947877,0.0058320261512,0.00623519976644,0.00590654755346
wdbc,0.0449798031201,0.0446898812762,0.0442009939996,0.0129617032417,0.012855718781,0.012679405301
wpbc,0.17471782871,0.20301470801,0.174198569166,0.0180114181614,0.0195413667192,0.014040926971
yeast,0.199026590681,0.221957600389,0.199472795421,0.00923728250941,0.00830536653048,0.00712168538291
zoo,0.01761769126,0.0176176913465,0.0176151930229,0.0288350735418,0.0288350735208,0.0288406039581
