,mean,mean,mean,std,std,std
,loss,loss,loss,loss,loss,loss
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.621390090056,0.631437168762,0.621737018584,0.00768340204885,0.00805008235129,0.0076766126752
autos,0.547017313493,0.553916449342,0.552785180643,0.0468525801606,0.0506417367287,0.0402115605243
balance-scale,0.113610297617,0.118133435044,0.11504043607,0.0349603176109,0.0358039957378,0.0348093747974
car,0.3830244303,0.389413153243,0.382935310146,0.0222153328576,0.0192142382759,0.0224898343312
cleveland,0.414234376738,0.411692318468,0.414060512143,0.071169944658,0.0704451447329,0.0697718993057
credit-approval,0.39132450966,0.419775251356,0.413007752086,0.0488151863473,0.0498579715439,0.0595283375088
dermatology,0.076183973953,0.0752714876138,0.072561557448,0.0638883244586,0.0627983016424,0.0591714413411
diabetes,0.503207432458,0.503411985758,0.527563590795,0.0320854605736,0.0313671155927,0.0421299205725
ecoli,0.181639568123,0.562781796386,0.181360462578,0.0799494093591,0.114821215303,0.0801601511951
flare,0.427249271573,0.585347156582,0.441713437163,0.0275311541462,0.0228479154601,0.0311835969228
german,0.541229380949,0.568247186122,0.563660733637,0.025899526426,0.0486585550188,0.0245247832558
glass,0.594088773788,0.621815423232,0.595299532123,0.0553716808323,0.0480666426856,0.0505765407547
heart-statlog,0.398125066322,0.396529842287,0.396883442524,0.0778339936377,0.076537354025,0.0755231321055
hepatitis,0.40119537582,0.567896570299,0.388380960547,0.161653108875,0.0871356891127,0.0920693575713
horse,0.51420663854,0.682017348311,0.543294776456,0.0535991074461,0.0579409433995,0.0527643397882
ionosphere,0.293868499341,0.29530115561,0.292639117223,0.0611462012967,0.0589731211323,0.0594221306104
iris,3.43065852792e-05,3.66822279772e-05,4.42712784667e-05,5.43248449941e-05,6.27300342908e-05,8.37854718792e-05
landsat-satellite,0.180613936721,0.184081119771,0.182992025152,0.0158508540066,0.01574078478,0.0159014100093
letter,0.0808269615427,0.0840895402773,0.0829427596573,0.00339358044311,0.00442647151319,0.00429247271764
libras-movement,0.130124206057,0.157888562639,0.137598175751,0.0732904899089,0.0734574839637,0.0647758255725
lung-cancer,0.100339660835,0.101815630328,0.0901440374158,0.0606380571477,0.0611113497339,0.060216867655
mfeat-karhunen,0.0557881006569,0.0571417838097,0.0606679196197,0.0189867179382,0.0190509640729,0.0214790904927
mfeat-morphological,0.0128208351414,0.0128227186664,0.0128684308706,0.0173159286757,0.0173207379462,0.0170352753668
mfeat-zernike,0.0924738583378,0.136350091002,0.0966987333764,0.0215198857633,0.0157875590731,0.0209327543555
mushroom,0.258968724999,0.316368270714,0.309799862345,0.0153537890265,0.0158407989899,0.0234197226902
optdigits,0.245752518601,0.321929055559,0.250739835929,0.00951234900154,0.00640445381498,0.00977234507051
page-blocks,0.211630141063,0.211800737468,0.227948817506,0.0119444280337,0.0121552155329,0.0115639635293
pendigits,0.0763631904435,0.0767407512551,0.0766481755293,0.00560501751173,0.00551622238491,0.00563239336077
scene-classification,0.452063749438,0.482749088582,0.453564456628,0.015286376526,0.015061888547,0.0152999344542
segment,0.109072807023,0.240783869984,0.111387472483,0.0216749134356,0.0143131145663,0.0216221525167
shuttle,0.277163625061,0.277623480447,0.286112507302,0.00294253565899,0.00299311201853,0.00328251030513
sonar,0.544564251913,0.571363651426,0.566505202137,0.0737678311967,0.0709368785394,0.0723477471819
spambase,0.359033975478,0.393239756181,0.371423794788,0.0244474090569,0.0181405083903,0.0210590176079
tic-tac,0.579831601019,0.586955363384,0.583881487946,0.0227744560705,0.016733084601,0.0223170814856
vehicle,0.40977447372,0.415868309603,0.445924561512,0.0404744287196,0.0427195332484,0.0509924923103
vowel,0.112416473477,0.114298989023,0.11168564132,0.023065798984,0.0230173324788,0.0222192835145
waveform-5000,0.291409127976,0.303284042776,0.29198056805,0.0160416997304,0.0164125296563,0.0161674806012
wdbc,0.149731028381,0.149313950414,0.147028364104,0.0410364395861,0.0405802762322,0.0396646051329
wpbc,0.533221719376,0.600848808183,0.532781552076,0.0482430441867,0.0701911880644,0.0431391584337
yeast,0.582453055998,0.634342092487,0.591543079888,0.0276111214021,0.0194178896985,0.0298556988229
zoo,0.133570503106,0.133572696369,0.133717568859,0.200038817658,0.200037977794,0.200285734903
