,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta_ab,beta_am,isotonic,sigmoid,None,beta,beta_ab,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,,,
abalone,1.18136721571,0.621390090056,0.631437168762,0.621737018584,0.625971061553,0.622930607828,0.0758643617455,0.00768340204885,0.00805008235129,0.0076766126752,0.0237585577836,0.00842551287311
autos,1.1486956857,0.547017313493,0.553916449342,0.552785180643,0.581634094559,0.564911395075,0.414741594611,0.0468525801606,0.0506417367287,0.0402115605243,0.154519516781,0.0466228283048
balance-scale,0.283482263204,0.113610297617,0.118133435044,0.11504043607,0.181913882603,0.114378339775,0.0126028623297,0.0349603176109,0.0358039957378,0.0348093747974,0.188519077478,0.0350875572661
car,0.395690141264,0.3830244303,0.389413153243,0.382935310146,0.381198240134,0.397370253841,0.0147134382214,0.0222153328576,0.0192142382759,0.0224898343312,0.0577742218316,0.0264570521894
cleveland,0.677199882846,0.414234376738,0.411692318468,0.414060512143,0.583217470429,0.425492039551,0.2398389115,0.071169944658,0.0704451447329,0.0697718993057,0.375084142789,0.0762367962653
credit-approval,1.18630615193,0.39132450966,0.419775251356,0.413007752086,0.474794458262,0.45878860509,0.386992992095,0.0488151863473,0.0498579715439,0.0595283375088,0.16116419088,0.0571838946319
dermatology,0.463544254197,0.076183973953,0.0752714876138,0.072561557448,0.112380539998,0.0777380281838,0.475633817961,0.0638883244586,0.0627983016424,0.0591714413411,0.151120369868,0.0656048233166
diabetes,0.628130436515,0.503207432458,0.503411985758,0.527563590795,0.558785066561,0.5176805976,0.12206572347,0.0320854605736,0.0313671155927,0.0421299205725,0.142358474482,0.0344199537277
ecoli,3.67695603436,0.181639568123,0.562781796386,0.181360462578,0.408302748484,0.392501743937,1.36653503645,0.0799494093591,0.114821215303,0.0801601511951,0.444209311684,0.115926588785
flare,2.01002544194,0.427249271573,0.585347156582,0.441713437163,0.430700679526,0.548755888323,0.824022964952,0.0275311541462,0.0228479154601,0.0311835969228,0.042859251186,0.0184223141752
german,0.907398959331,0.541229380949,0.568247186122,0.563660733637,0.535572718081,0.523483716499,0.239195400402,0.025899526426,0.0486585550188,0.0245247832558,0.0444980680884,0.0255050173845
glass,1.23096327878,0.594088773788,0.621815423232,0.595299532123,0.78791353976,0.598287228743,0.804986236843,0.0553716808323,0.0480666426856,0.0505765407547,0.472273377725,0.0469415390029
heart-statlog,0.606324842254,0.398125066322,0.396529842287,0.396883442524,0.518808996142,0.408934292687,0.227100897822,0.0778339936377,0.076537354025,0.0755231321055,0.504489047583,0.0831190288561
hepatitis,3.89873356336,0.40119537582,0.567896570299,0.388380960547,0.517441333586,0.436402755316,2.15432589497,0.161653108875,0.0871356891127,0.0920693575713,0.438126930184,0.0986311551865
horse,5.09644261438,0.51420663854,0.682017348311,0.543294776456,0.712926257889,0.630895698746,2.45361078754,0.0535991074461,0.0579409433995,0.0527643397882,0.408872080099,0.0482343824047
ionosphere,1.16560671444,0.293868499341,0.29530115561,0.292639117223,0.387421747682,0.325219579996,0.406314698084,0.0611462012967,0.0589731211323,0.0594221306104,0.362618758744,0.0704368899907
iris,8.92109725393e-07,3.43065852792e-05,3.66822279772e-05,4.42712784667e-05,7.94625444941e-07,1.35936570505e-05,4.17064143303e-06,5.43248449941e-05,6.27300342908e-05,8.37854718792e-05,4.12046423139e-06,1.90848422957e-07
landsat-satellite,0.650373876232,0.180613936721,0.184081119771,0.182992025152,0.19065687501,0.222844858388,0.0968843566659,0.0158508540066,0.01574078478,0.0159014100093,0.025093015484,0.0174782647985
letter,0.0878582083478,0.0808269615427,0.0840895402773,0.0829427596573,0.0786039849253,0.0858321039799,0.00643710961255,0.00339358044311,0.00442647151319,0.00429247271764,0.00458377105127,0.00324758698376
libras-movement,0.542463225485,0.130124206057,0.157888562639,0.137598175751,0.233730079744,0.139480158398,0.514304781129,0.0732904899089,0.0734574839637,0.0647758255725,0.331499667282,0.0613916305463
lung-cancer,0.384769648072,0.100339660835,0.101815630328,0.0901440374158,0.113651540492,0.110109916413,0.777462486833,0.0606380571477,0.0611113497339,0.060216867655,0.064782805793,0.0631332794084
mfeat-karhunen,0.132662957558,0.0557881006569,0.0571417838097,0.0606679196197,0.095943582319,0.0678442703192,0.0830741803847,0.0189867179382,0.0190509640729,0.0214790904927,0.0826069248555,0.0213402468377
mfeat-morphological,0.0552620429963,0.0128208351414,0.0128227186664,0.0128684308706,0.0158917478378,0.0127098186687,0.0720673022521,0.0173159286757,0.0173207379462,0.0170352753668,0.0393887095314,0.0169472326187
mfeat-zernike,1.26941875722,0.0924738583378,0.136350091002,0.0966987333764,0.102790229264,0.139381600972,0.189554911155,0.0215198857633,0.0157875590731,0.0209327543555,0.0569799672641,0.0165956318599
mushroom,0.625923362143,0.258968724999,0.316368270714,0.309799862345,0.226649370719,0.267121157375,0.0894353933021,0.0153537890265,0.0158407989899,0.0234197226902,0.0142460002961,0.0165494093012
optdigits,13.9060563847,0.245752518601,0.321929055559,0.250739835929,0.243496000645,0.271934148375,0.924017723395,0.00951234900154,0.00640445381498,0.00977234507051,0.0127453909865,0.00601706807176
page-blocks,1.06201574258,0.211630141063,0.211800737468,0.227948817506,0.189095843494,0.264775766848,0.149608616808,0.0119444280337,0.0121552155329,0.0115639635293,0.0158447291366,0.0114088542895
pendigits,0.335324783219,0.0763631904435,0.0767407512551,0.0766481755293,0.0792368354912,0.0864018978098,0.037421376058,0.00560501751173,0.00551622238491,0.00563239336077,0.0133405147665,0.00618165398877
scene-classification,12.4225986074,0.452063749438,0.482749088582,0.453564456628,0.460000397113,0.465250392681,0.748267383037,0.015286376526,0.015061888547,0.0152999344542,0.0238240191824,0.0136020587431
segment,1.31565689246,0.109072807023,0.240783869984,0.111387472483,0.132091565966,0.196826804932,0.130888128466,0.0216749134356,0.0143131145663,0.0216221525167,0.0816451315269,0.021525210509
shuttle,0.686725962695,0.277163625061,0.277623480447,0.286112507302,0.218019933049,0.322669576734,0.024295996044,0.00294253565899,0.00299311201853,0.00328251030513,0.006099732583,0.00318364003541
sonar,2.50368911988,0.544564251913,0.571363651426,0.566505202137,0.610087281158,0.602990379417,1.02113608034,0.0737678311967,0.0709368785394,0.0723477471819,0.377512162029,0.0665198870385
spambase,5.36895158924,0.359033975478,0.393239756181,0.371423794788,0.314956165374,0.406853125785,0.508420075878,0.0244474090569,0.0181405083903,0.0210590176079,0.0383724696013,0.0156040030468
