,,mean,mean,std,std
,,acc,loss,acc,loss
dataset,method,,,,
abalone,None,0.618482438027,1.18136721571,0.0141712436486,0.0758643617455
abalone,beta,0.63321120447,0.621390090056,0.00937045111188,0.00768340204885
abalone,beta_ab,0.61343019734,0.631437168762,0.0141500683637,0.00805008235129
abalone,beta_am,0.633833817011,0.621737018584,0.00947609408917,0.0076766126752
abalone,isotonic,0.633018497185,0.625971061553,0.00992708447794,0.0237585577836
abalone,sigmoid,0.630027144803,0.622930607828,0.0137412403699,0.00842551287311
autos,None,0.674834033012,1.1486956857,0.0766730897855,0.414741594611
autos,beta,0.693592303738,0.547017313493,0.0564171221668,0.0468525801606
autos,beta_ab,0.674432319085,0.553916449342,0.0695513870328,0.0506417367287
autos,beta_am,0.701046044426,0.552785180643,0.0458629306781,0.0402115605243
autos,isotonic,0.70066577317,0.581634094559,0.0536434585152,0.154519516781
autos,sigmoid,0.692536645738,0.564911395075,0.0515912442866,0.0466228283048
balance-scale,None,0.953615763116,0.283482263204,0.0172665448955,0.0126028623297
balance-scale,beta,0.957612178887,0.113610297617,0.0207792523291,0.0349603176109
balance-scale,beta_ab,0.953615763116,0.118133435044,0.0172665448955,0.0358039957378
balance-scale,beta_am,0.958416195222,0.11504043607,0.0206678652617,0.0348093747974
balance-scale,isotonic,0.957152848026,0.181913882603,0.0202193231177,0.188519077478
balance-scale,sigmoid,0.95856974261,0.114378339775,0.0204715334808,0.0350875572661
car,None,0.787448245732,0.395690141264,0.0220972338887,0.0147134382214
car,beta,0.783218846619,0.3830244303,0.0224110455382,0.0222153328576
car,beta_ab,0.787448245732,0.389413153243,0.0220972338887,0.0192142382759
car,beta_am,0.784955975265,0.382935310146,0.0230440319921,0.0224898343312
car,isotonic,0.783279002554,0.381198240134,0.0210642876672,0.0577742218316
car,sigmoid,0.785826387955,0.397370253841,0.0225238078044,0.0264570521894
cleveland,None,0.836750827976,0.677199882846,0.045889335356,0.2398389115
cleveland,beta,0.834750827976,0.414234376738,0.0449294165309,0.071169944658
cleveland,beta_ab,0.836750827976,0.411692318468,0.045889335356,0.0704451447329
cleveland,beta_am,0.836745373076,0.414060512143,0.0443391742124,0.0697718993057
cleveland,isotonic,0.829688291447,0.583217470429,0.0450596440218,0.375084142789
cleveland,sigmoid,0.835394700955,0.425492039551,0.0447710633882,0.0762367962653
credit-approval,None,0.802313582092,1.18630615193,0.0361732997034,0.386992992095
credit-approval,beta,0.843962170145,0.39132450966,0.0283117236122,0.0488151863473
credit-approval,beta_ab,0.802313582092,0.419775251356,0.0361732997034,0.0498579715439
credit-approval,beta_am,0.830201391484,0.413007752086,0.029714417667,0.0595283375088
credit-approval,isotonic,0.843361945942,0.474794458262,0.0282203459711,0.16116419088
