,mean,mean,mean,std,std,std
,brier,brier,brier,brier,brier,brier
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,0.221595168763,0.221324579069,0.222709433696,0.00318053515852,0.00256583107934,0.00302352767761
autos,0.114311575802,0.126878304454,0.11441023274,0.029066225704,0.0191481017768,0.0288788794867
balance-scale,0.0243011561923,0.0243381375593,0.024324362357,0.00886880259899,0.00924830947549,0.00882128084084
car,0.0324301540714,0.0327182222832,0.0322111991896,0.00714705514144,0.00720006337263,0.00703977444463
cleveland,0.125810203116,0.125594821637,0.125603747519,0.0308096927884,0.0305825832555,0.0305532623155
credit-approval,0.105125997489,0.105569794501,0.104718013607,0.0214947797518,0.0215454054268,0.0214688142294
dermatology,0.00160046276906,0.000716672235169,0.00160284625199,0.00341896822467,0.00222186610497,0.00341825437888
diabetes,0.161342288068,0.161949877155,0.161976823496,0.013327885332,0.012564954134,0.0133625845672
ecoli,0.0262817099573,0.0255176513164,0.0267815431941,0.0183959639747,0.0190391247972,0.0179000540158
flare,0.142896785413,0.142503332972,0.143281748503,0.00770490749882,0.00721653683492,0.00784500535444
german,0.163289545048,0.163488694439,0.163078418301,0.00946302535119,0.00920241180194,0.00940244019653
glass,0.168869023959,0.172924237659,0.169059863393,0.0340092124552,0.0298481440542,0.0325485965341
heart-statlog,0.122597251675,0.122220080275,0.122603307968,0.0283171372751,0.0280049232013,0.0276775077914
hepatitis,0.120824060343,0.125771781054,0.120319058269,0.0348054272543,0.0256720679212,0.0343689864045
horse,0.110957180352,0.112435441337,0.110489150987,0.0218136740379,0.0211510687331,0.0216618484809
ionosphere,0.0409402175265,0.0439734707324,0.0407003306407,0.0186282725159,0.0185505904254,0.0183639219058
iris,0.00148967738812,0.00163008387106,0.00148631627256,0.00337019232366,0.00358523642855,0.00335635305996
landsat-satellite,0.00897805615268,0.00898711501011,0.00893119629066,0.00214168416757,0.00216083613945,0.00212505374746
letter,0.00188960559661,0.00243731772511,0.00188265456853,0.000396178298903,0.000454541707053,0.000395931696328
libras-movement,0.0126434492032,0.0200193189649,0.0126362831318,0.0107327546,0.0111176654089,0.0107729881531
lung-cancer,0.000580511251139,0.0205523377306,0.000635872591547,0.00139610457042,0.0219673689972,0.00168611337682
mfeat-karhunen,0.00345654656835,0.00426499155071,0.00344000778869,0.00258546120608,0.0028512560626,0.00257407914833
mfeat-morphological,0.0017670907813,0.0014991491365,0.00176497841948,0.00184293283771,0.00195179520817,0.00184348170429
mfeat-zernike,0.00472090426461,0.00476789244119,0.00467498686593,0.00262615195499,0.00292880486726,0.0025920424466
mushroom,5.40441742648e-07,1.05971364823e-07,5.35264040204e-07,3.05321431875e-06,2.57148187492e-07,3.10662221321e-06
optdigits,0.00334570665321,0.00413368851422,0.00332941776811,0.00145583513449,0.00159562760903,0.00142636345702
page-blocks,0.026852855457,0.0279870020011,0.0275645446595,0.00343538291031,0.00314818777381,0.00338294857408
pendigits,0.00125455674475,0.00130944989342,0.00124420903778,0.000525056955103,0.000594000513735,0.000511964828365
scene-classification,0.10605366267,0.107160712754,0.106134548912,0.0074235009345,0.00704131666986,0.00762663647791
segment,0.00270265351583,0.00283209457645,0.00270513242434,0.0017812462121,0.00196196483266,0.00179190832306
shuttle,0.000713389846353,0.00079362203689,0.000706439713533,0.000146703066778,0.0001624570705,0.000144789837019
sonar,0.105979757256,0.11010590309,0.106542458519,0.0281921039363,0.0280557236811,0.0281753887078
spambase,0.0530181143178,0.0535432198502,0.0532288467059,0.00575169058523,0.00582240177559,0.00577749677386
tic-tac,0.0703108655176,0.0826330030173,0.0702431581806,0.0103090551919,0.0111177613496,0.0102684013375
vehicle,0.0192042712298,0.019832746326,0.0191707854855,0.00754941723652,0.00781250611083,0.0075568397468
vowel,0.0141031636011,0.0160707637055,0.0140485084855,0.00581520790605,0.00656703154395,0.00576918604127
waveform-5000,0.0733163759816,0.073333014672,0.0732732285942,0.00486616053809,0.00486727345793,0.00489575459236
wdbc,0.0205177246413,0.019899270161,0.0207736559836,0.00890669450636,0.00895567670373,0.00883100794375
wpbc,0.16084657152,0.162206061885,0.160413570491,0.0235725757547,0.0175031966785,0.0226887334714
yeast,0.171412155466,0.172041170984,0.172394988299,0.00931647994973,0.00766444611585,0.00982451863584
zoo,0.00184239813818,0.00276795622772,0.00186175567521,0.00431167424103,0.0062008753521,0.00436596114606
